UniqueIdentifier,Date,Amount
bri-3717bec47a95697fa485edce3b12113c,2024-12-20,-49100
bri-34174a7f98a79527686d995e397965fc,2024-12-20,71300
bri-ea4e5259c0b8fac62aa079c4be5307e1,2024-12-20,61500
bri-34e98df171287aeff0d38aca6d44ba50,2024-12-19,20900
bri-8bb8e6beb4cb7e0058a4b840bb37a5ec,2024-12-19,19800
bri-2df0681ab27a22f5a6dc79a2bc94667c,2024-12-19,8300
bri-a3b767fd629246314be27a960cd14c25,2024-12-19,77000
bri-4b7c397e3fef3b6c2d451fef39ce3cbb,2024-12-19,-50800
bri-16534528ad639f5de57b4a6ef8233025,2024-12-19,47800
bri-b0e06ed8d5597fd5043666d2e7338f0a,2024-12-19,-92500
bri-9a5de4a0de643de0a744a7324c9e8ac8,2024-12-19,-45500
bri-7d661d7d9fbe0defe90c1dc9c489348e,2024-12-20,73500
bri-becf601ee06da0a224eb1daf91746c25,2024-12-19,-21100
bri-e3097586d4a150c7e892914360541b3a,2024-12-19,-20700
bri-44a97352fe0b2381e7b3a3c74a20cd5d,2024-12-20,21200
bri-47f6dfd55e3a54081c0451f965a38425,2024-12-20,27300
bri-a730130c3b496d1bfb37bfdab6157066,2024-12-20,1900
bri-ecb289e34a1aa756f9d47fd751a0ea95,2024-12-20,66900
bri-fbbaa1f5333f670fd062a0b82642f73d,2024-12-20,83300
bri-5f881f3f5037ed92122ae2ae4788faf0,2024-12-20,27600
bri-f6d1a38ef4675c148db16c4aad37baac,2024-12-20,31000
bri-c51a7d9755e8f521aae07eccc37e7bfb,2024-12-19,-67900
bri-9f4dcccc809d921eabab91eef90b8f0e,2024-12-20,20700
bri-1bf449d8a11ab5e3f64aaf9c3cb9393a,2024-12-19,-18500
bri-ce21a1169857026cc6b51f8808efd0c3,2024-12-19,-29700
bri-57d5f519c153b3dace405a93b5129c7c,2024-12-19,-62400
bri-484a19b3c8889d1847c33c08915b699d,2024-12-20,80300
bri-49f509b79c7e1a11395c785c954cdda8,2024-12-19,36300
bri-321a10a64b22b1b54a437acb62a5a782,2024-12-20,73900
bri-50d1d01367ab10535c991132d5183a29,2024-12-19,26200
bri-6265095f74fdd6cacf6e6073bcbf2ae2,2024-12-19,-52800
bri-4c77c3d60869e766ced3805da6685679,2024-12-19,33800
bri-532d6d4f3f1c94a6658e0a0ec4a3fa16,2024-12-20,-25100
bri-b8f3637b4d75a84b890c51d9da8fa305,2024-12-19,99300
bri-d959f85a6bd39ce8abeb16c37191934f,2024-12-20,-11400
bri-2601307f614513336158fcce41d043a3,2024-12-19,-25700
bri-49e54f3efb4ca02e8686b8eb796d83ef,2024-12-20,35500
bri-cc156d487eccca0012bc797ba12b2243,2024-12-19,18800
bri-c6d26dd567fbeeb27b2e06d8225d49f1,2024-12-19,11900
bri-4486bc9c13331ff777ef623a9a3674f5,2024-12-19,-79800
bri-13195b6e24f0756636e01768a5cbad22,2024-12-20,68100
bri-1fda2e014857def7df77e639cf0adc5e,2024-12-19,30900
bri-8efafd3882ed2410863658968463914c,2024-12-19,-71300
bri-3a027de7debe1068a3b26bd501340249,2024-12-20,84300
bri-63d4dcb0fb6f6a3e06400161695662d6,2024-12-19,11600
bri-2c85193617082c6e53150dd7af667970,2024-12-20,-57300
bri-992fc7269729018185350a25079e1304,2024-12-19,83500
bri-8eab8325781067a61cc64fe9b0d22b66,2024-12-20,35100
bri-8761e6ba8d304133152210aad68e9e32,2024-12-20,-43400
bri-b77b14d42a39b1ffbc749a53e3585370,2024-12-19,95900
bri-671d608ab8b6a209208c2769eb6b4dcd,2024-12-19,73100
bri-17bfd98f729e050388cf797e7766dd8d,2024-12-19,59400
bri-f2b23d87fa424be06c1d4854e4fd031a,2024-12-19,90200
bri-184747448bfd324a6ef4595f2bf6449e,2024-12-20,28400
bri-83edd8f8c5a8f800ec1430706a5555d6,2024-12-20,-13600
bri-6713153603bd79d719260d72b4574f6b,2024-12-20,33000
