UniqueIdentifier,Date,Amount
bri-ab8863dd1b534f1a46efddff23d513fa,2024-12-14,84700
bri-01073a33a63fc7183865b62fa5e43234,2024-12-17,86000
bri-d6947e5f181ac45bba00ec0b7494c000,2024-12-16,52100
bri-728d84465549a64ef9c4de0f90b99e18,2024-12-19,88300
bri-ba9193d13a41011ac9886f6267c2320c,2024-12-14,-20100
bri-4282dd2a9b30c850dc9d62369dd50b91,2024-12-09,91200
bri-00e60bad93be662f4f89347035ae0965,2024-12-06,43100
bri-b49e5afdf5d48ddeedc76bea59340696,2024-12-18,55200
bri-523a37fd199a9c8c620250851f661210,2024-12-13,49400
bri-353e9b3db5ab36b0ff6cdbf80eeb2406,2024-12-18,2800
bri-9391e72e76dd9ebd2259a5b8e3ea72ce,2024-12-07,90700
bri-52a2c49056f71d5a7e16a8dcc251750e,2024-12-18,-77500
bri-9ed37641a68314db41d9759a8a38bc9f,2024-12-13,14900
bri-d27be2fc1119dbdb2cb285c820d5066a,2024-12-15,-4200
bri-88f1bd499845d9c6833fef84a0a49eea,2024-12-13,47800
bri-61465acc6b03797aac1a00cac88d82e1,2024-12-19,24500
bri-5a588586145b694e25cf7269319e5200,2024-12-16,-9500
bri-2b93b82f8e00f83330f7a7d2507e951a,2024-12-14,44800
bri-4eeaab624b0bdc740c0b6ad19a25cce1,2024-12-06,93200
bri-1f031029e4c87be29b84b23d295e1ce2,2024-12-19,28400
bri-62e62608a7553bdade69075206f55710,2024-12-06,63600
bri-4cb7ebf7f4732ee4f4f63d6d978930c3,2024-12-14,47800
bri-10b43316210f7c356dd0ce412800b414,2024-12-18,33500
bri-7e929cc07bd57209616580b17e2b1460,2024-12-07,32200
bri-044679b51c861e2c30e160ea02664c32,2024-12-06,43400
bri-af01f53f622d37b5826e8dc208b12c6d,2024-12-06,19100
bri-94acc9df23881b1c3e40f3ff703754bb,2024-12-07,28400
bri-7bdf7c9d2ad096958505cd827d949588,2024-12-12,-14400
bri-4d1ccbdb2b3249e58eff76379c30448f,2024-12-18,-6600
bri-d61a2d2b791a5f55e490c1b28c1700a3,2024-12-20,3400
bri-5a51e661e521465c1fee27df1ede6f3e,2024-12-06,46500
bri-8e305dbb90ee4aacef20bd3a51e176de,2024-12-18,84300
bri-6d36478fc5630c219665c541ac64af81,2024-12-20,58800
bri-ddd7ab08ac0174755f52911399f6f2fb,2024-12-09,-65300
bri-f5ed837f5ae30b8e3e57552d6475fa7b,2024-12-08,63500
bri-5007d94571dd29adba4372e8ede7133a,2024-12-07,-5600
bri-68e7d3a2e42604962acb0f7cb8307ca4,2024-12-17,9700
bri-985a818312199723a5d5ad0bb09281d5,2024-12-18,-30200
bri-dec365ddc03dcc15c00a7695181ca936,2024-12-08,32600
bri-52ee3147b65e8da6bbc6705343058ed1,2024-12-10,14800
bri-e46bf60a5fb601f30f19bc1aeb8e2071,2024-12-11,77100
bri-916cdd64147baef082c1dc0b666b5d38,2024-12-14,3700
bri-527de1cf2fa9aae4ed753d8aeed81327,2024-12-19,81600
bri-3f6e0ed2a89378b9ad3781944a7cab67,2024-12-06,91900
bri-c2ae4573fa2fc1d516e1bc1136f9d957,2024-12-20,94500
bri-cbb7d978164a4a7a87461547b0be0326,2024-12-17,19400
bri-468647eb40510a364bf90a58dee489f6,2024-12-07,83800
bri-165d85815f5445b60a2617a5836046db,2024-12-16,36500
bri-981cff4a9bbff9b3024675292cca1c04,2024-12-07,13900
bri-c4dff835969854bbc160214080135228,2024-12-15,58500
bri-5cf5ddc6ee51e8c3f4795b439f5ab2ed,2024-12-10,82900
bri-47c24105b70a82cd8831fc5fd62ae89d,2024-12-17,79000
bri-c621d978d183d7d3229f1fd05cd22f78,2024-12-08,-54200
bri-c16545ffbfc707bd9e45f8f81ff24d80,2024-12-11,91100
bri-b1056f71bfae24fbfd152cbc97a72db8,2024-12-08,-48600
bri-247c427f9894544b26474c9aef53dada,2024-12-20,72300
bri-5acc2df79c8cba21001149e4803c5d60,2024-12-14,-23900
bri-68d2f5f0739f1d675f56c20dc01cb6a1,2024-12-17,19100
bri-53fc35e0998a0d44f53c16a9cec70431,2024-12-09,34800
bri-e7b73bfb010fdc44523e4a6579ba56fb,2024-12-13,14000
bri-cd5943dd2634ba09e50a38604211c9da,2024-12-12,-83600
bri-6c9c7ef08d912f43e6147a47167fc4aa,2024-12-14,23500
bri-95749764cb88eebbf9daa56aa8202e4f,2024-12-14,92500
bri-8eba96674e0e9737f3594235fab8d0cf,2024-12-12,10900
bri-1b42475607f449904b785d507559c275,2024-12-17,81300
bri-ade3549002690d0ef27fb864e6ff0764,2024-12-11,50400
bri-6b85fba38e55696c4f78d8d0bf5e58d3,2024-12-20,39500
bri-7cab245529731289a1c6b75d7abd86a8,2024-12-20,82600
bri-3ea5233f293f6a9f750427a5d95d9034,2024-12-14,-6600
bri-50019ba6fed73ffcc4451e57e0d9cf9f,2024-12-11,15500
bri-e751d07629f68006dcf1e147ccef27bd,2024-12-18,13100
bri-af3d895c968d91eadd7b28db279dfd17,2024-12-11,53000
bri-1324e477050ef9a52d0c6f5788b47fba,2024-12-09,-33800
bri-452528120238d963d1d4c3e26776d798,2024-12-18,-41300
bri-313a19618f6616119259b532e53677fd,2024-12-12,24800
bri-efd30cefd442c9bbd0ba0abd63915c25,2024-12-15,88200
bri-70957fe2fae46b95978a1a7ca851eb52,2024-12-18,-26400
bri-6617c8f8af0dfb9c8a7e5e2bfe9b2e38,2024-12-11,65000
bri-de87773e444a50eedc302a4dfe5aa8a5,2024-12-14,3300
bri-e4f7b3ea54fe15b408d09f5188db3232,2024-12-12,12500
bri-14cbee21f4bf205b2b182a6b69a36c53,2024-12-18,79100
bri-782efcc574031feac9d38e4d70602242,2024-12-08,75400
bri-db26a8b26bdee339c1e7420a1b5db9b5,2024-12-13,-95000
bri-c0830638efbb97c52964d358928dcd7e,2024-12-15,64400
bri-73d0b4570d5526f0b320f91001e72d2e,2024-12-08,67900
bri-e28ad462e6cf0434d0784d6bb1f94497,2024-12-10,-26200
bri-fb3edc7b77e7a0c223e25e8ed1befb60,2024-12-12,90800
bri-7bdb38e470b6e9668f0ec686da3f5705,2024-12-12,-40600
bri-c16e10b1491539231ae7fecbf1bc077b,2024-12-06,35200
bri-b3af9e9b8a7151231a7faacd09503027,2024-12-09,-99800
bri-9fc6ebc6f880245e06542de4c95b25c6,2024-12-14,-26800
bri-faf9ab6c1ee92603f49a1dcfe34ad5c2,2024-12-06,49700
bri-4f21ebba87a75ea4dd0c9934168614ef,2024-12-15,91800
bri-183e94025ae18257846a63454f88a253,2024-12-09,-97500
bri-81805392ecd1ce2a645dbc4da219f457,2024-12-11,64900
bri-dd84f75728081877ff45cdcd41561fff,2024-12-12,-12100
bri-37a2e259d9905eae5896d447b2383805,2024-12-16,-3100
bri-f6fcac5286c1e49d369429fd65463ed6,2024-12-19,94000
bri-acdc598a519359d497337830fcce9c85,2024-12-09,82500
bri-d37b0df07afebe11766a370eaf2fa894,2024-12-08,24400
bri-df736166a905ccb70c04020fee8726a8,2024-12-06,-45600
bri-d30c23fdecac03a6e604b4c7f696880d,2024-12-14,19600
bri-7daea57a5c8370d3ccaf6bec69808571,2024-12-12,84100
bri-d0f29eaa6b55d3d43c40c608eb4d0782,2024-12-11,53400
bri-f714b25d0855e88706991e1b99b14d78,2024-12-14,53800
bri-17648ec675e39c49790b78c892c5a4a6,2024-12-07,-88400
