UniqueIdentifier,Date,Amount
bri-c985f8ea86af2a7f8533f315619ef8b1,2024-12-13,47800
bri-b88f10cb1625ddf98efea3662a7f9b87,2024-12-19,75900
bri-6a2dbe5ead96bc6cc61f5f712916b5b5,2024-12-16,-17300
bri-809a8d68c990e3ee110c7485001f430c,2024-12-12,91700
bri-749602ce4c190e1637b3b3690511af99,2024-12-13,-52800
bri-d11532eb56481ddd738f1895b90767ce,2024-12-16,-67800
bri-5aef4f0e0d731949576d20e37922fffa,2024-12-08,99900
bri-57e34a77b1d8ba28143308ee59eeaa9d,2024-12-14,42600
bri-f55f88a9975956f5b605892d713b6449,2024-12-07,97400
bri-76b119f228827622f4f58382df7ec526,2024-12-13,2400
bri-d66223f8b9284941e0ea9e86cd91281c,2024-12-19,25700
bri-d853109ca30d9aa0fe9d981b805aa29c,2024-12-07,99400
bri-bb5d959314726769537b9cda081f909c,2024-12-07,-74700
bri-4fd9de35a42d22f92344a052bae93448,2024-12-14,11700
bri-80668dc77807a1c49919a1b383e142a5,2024-12-06,96900
bri-ce3747fdcb250c307c829ce5d63260ad,2024-12-12,-32700
bri-03f90f696c5a3cf1ac56f23a8e909593,2024-12-15,-46800
bri-1b641a820d0ccc3bffbf52745ff0a0b1,2024-12-13,23400
bri-c09500ae1daca94d75389c5e081013a1,2024-12-16,57400
bri-2645a2efb998c4e29db4774dc84f38d1,2024-12-12,-22400
bri-c744f26cfb5d38659ec6b002cf37eed3,2024-12-20,15200
bri-72a2ecd0d4fbe1d3e42115c11efe56d1,2024-12-10,74600
bri-d85b2c22fb0bcddd5caf5f782f071478,2024-12-13,13300
bri-d1c9db21bb2b462ff3c7671d11737003,2024-12-13,-16000
bri-c9f47a1f891dbb516fb6ba8bd46de089,2024-12-06,21800
bri-fbf7c025f08b84cbc11250bcb0202f5c,2024-12-08,70100
bri-67052e08089c923eb2420ce45ee19509,2024-12-08,91500
bri-2cd4ba9fc426a97e0a016aae6bdf9650,2024-12-18,-75400
bri-445c6eb2e9eeaedc4a0e77a5b56fc3db,2024-12-20,-11200
bri-7ffc223e4ae0153894d7e9616273fa5b,2024-12-14,78000
bri-690c9c3ecdaf35b1ec4c430f12cd4620,2024-12-10,-4800
bri-1fc4b5510bf59a4845b6f39359e01983,2024-12-14,-54600
bri-6fa0a2c1fbffc9f36dbab6e199150660,2024-12-19,11800
bri-7b31665bb159f0a57b6d9231c4aa0bb0,2024-12-07,64400
bri-9a25087236f59e1e27c5e4649c991b3d,2024-12-14,27800
bri-535965723ee4644e562c8ffec18dec08,2024-12-19,48900
bri-19b09b1390f3c216096b4b55ba888730,2024-12-20,10000
bri-bf91960dcc35ede2dfdfe13e7311acc7,2024-12-16,-85500
bri-d452448587f6a874ae7b3de2e309119b,2024-12-19,60300
bri-e656e37cf2bf690c30f70893add0f589,2024-12-15,-54100
bri-5b3a95250eaa60bd0eaad7446b9b0140,2024-12-07,58200
bri-409c96d1f1b36c5645b09ab22ad294a5,2024-12-09,32100
bri-2c87589e4215ce2ed281e7c9bd505782,2024-12-20,22300
bri-716c75e4d9db8c924893b350944addb2,2024-12-12,73800
bri-1cb38692e6e2a44e11e83e421d8094ea,2024-12-13,-83700
bri-aeb39e943114a25406dc65c0035947a2,2024-12-13,-96200
bri-71eb67762f03ab6e79584f5abd5e09bc,2024-12-08,55100
bri-df3b0a4e5bee2887b80dacdd7632b4d8,2024-12-15,-69300
bri-c7230a137857be25ce14f93f519446c8,2024-12-15,13400
bri-05edb1bb96286117e66507fca2ab64b0,2024-12-14,84400
bri-361e6452f10a6bef02cdbf81ab7d0460,2024-12-09,64800
bri-eddd51e116faeab183cbdb00334876b6,2024-12-17,-61400
bri-8670245017357b1c6aca386d05c442c1,2024-12-11,73900
bri-5470065e06420854c743aabf0c1b65bd,2024-12-12,-98300
bri-e464ff97d7394ca234ec1698ea62f9c7,2024-12-06,61800
bri-9bf89b025a0c9ffb3e18039c5cfdc43a,2024-12-15,2900
bri-c05322ddc9ffb6e5da8c989631ff2476,2024-12-18,-36400
bri-881258c5022534422fc96844b7ad34e3,2024-12-06,-51700
bri-e0965a6d8d3cac719856297a4ec55a93,2024-12-13,13500
bri-2b548587d62fe16c6e8660b7b2be342e,2024-12-19,-21100
bri-6d9a6c824917ea5c2185b0cf6f1bdd81,2024-12-06,69000
bri-1e47573124cb20e00afd993c7787800c,2024-12-06,80100
bri-75cf0dcb0703a14e4a7ab52d6b655a2f,2024-12-14,88400
bri-65cd48739a0ec39fc2b3782ad790cb1d,2024-12-17,5500
bri-d3f373d9050a533e479e694849094770,2024-12-09,24500
bri-e738783efc4552fe9becbfb4683c4ebe,2024-12-09,-84400
bri-c0b6c2cb47132251f737ba33c74f911e,2024-12-06,-72200
bri-70cc0bbe613555ec68d48b082e7dcd5d,2024-12-14,21100
bri-f798d1abb6ea72a89cdb3016fd40be5f,2024-12-15,-79300
bri-6b9bd3cf79ded041c488d0cce4e03bb3,2024-12-13,22000
bri-8ea6c2e368e85cb0426441d0ecba99d8,2024-12-09,14800
bri-e15d25aadaa76b516d56738a3a2ace7a,2024-12-06,-28800
bri-b2dbfd5ee3588e0fabf035f394942526,2024-12-12,14800
bri-4d3b12659105e41c6fbba9bd00324ec8,2024-12-15,1200
bri-c662dcad6138a96470cafbd912cb6899,2024-12-10,50800
bri-8ef92ec528909bafe921f351d2336b5c,2024-12-09,52500
bri-cdee8e992cc879bbaa80401a4a0a3f9a,2024-12-17,69800
bri-6770406773c70b2029ecd2f747e1ac3f,2024-12-18,72400
bri-3fa620da52629c9d6164be7c5b72bb46,2024-12-06,3500
bri-a033417ed437b8b5aa8a1db43069576a,2024-12-08,87800
bri-cf9b8fc342c4a1ef89d82cb2516abe8c,2024-12-13,27600
bri-4e3b15f8f1fa256f0a0b8bc45098f515,2024-12-15,2200
bri-d093631eb6b65995be74e3b4bbdcf621,2024-12-10,40200
bri-bf66be800e2bdeed2461762c562d0223,2024-12-11,69100
bri-21e547a62538ba26f7c1ccf7bd0e406b,2024-12-20,59800
bri-54fb8aeb592997622eb358ccad5e1f7b,2024-12-10,10800
bri-a9a8a230b8d39032a3f54cdc8a3f8fc9,2024-12-14,85000
bri-7a93e6b118cf04be6df4f4d29cb9f10d,2024-12-07,48600
bri-408be80ab1d6728b0d8402fe5149c7b9,2024-12-06,53700
bri-d5544bda076bc98eb72f9426381f3964,2024-12-07,76800
bri-81238f603a308cf7f15935e5b48f6c1d,2024-12-08,58000
bri-f61a190bf964f2717c7c5815d34ca597,2024-12-14,-37200
bri-c8924e3649d6402d73cea89248e195da,2024-12-13,4700
bri-6119076e3f017f1b401d6bd06e9e6c75,2024-12-07,82700
bri-cadb7fa698d8b8c2c2ed2d683ae6f862,2024-12-19,-11300
bri-67b2ae8c30645487f2e364e24ecc9bea,2024-12-20,49700
bri-9bb8d12d2468ef54b05942a9ca351a98,2024-12-11,31800
bri-2d2c7f28fce09cfedad77ab44ee7a0dc,2024-12-19,50300
bri-d5ff136335c311d41a050253bf549d1d,2024-12-14,44800
bri-45a14bee29537620a754ea526ebdc660,2024-12-17,-69500
bri-298152a42d0eca01940f4943bea271c6,2024-12-07,-18600
bri-1d138291c4cb0c00bdf6092b24957abd,2024-12-06,46400
bri-5a38bdec8f45a4fb4be9b72456166590,2024-12-15,84500
bri-dd838fa988e8e631d98a06211eb5f720,2024-12-11,-84300
bri-b1b208889ec25c622fac21a128863f77,2024-12-18,25000
bri-942d47d14cf560f9542991ee3696b401,2024-12-06,22000
bri-74da3e9afd13a690ca210eb83f78d50d,2024-12-09,16800
bri-6c4e2c75f555b3600694c07d9a538b84,2024-12-17,21000
bri-730fbb1456d3ecb9b214fcc7e5b7e65f,2024-12-11,-8400
bri-9eb308d79ddbc9ed439ca9ee366db682,2024-12-09,87600
bri-f6ecc98e82d0176a4aae5d885da3979f,2024-12-17,63500
bri-c97957bc5d39636c2e778a53801ee73a,2024-12-17,75300
bri-cb4732699b439fed74de78279e34f845,2024-12-17,-91200
bri-38304e0d6d27bf0db506d1ca670ff68c,2024-12-10,75100
bri-fb790a2531c09f64ac48ad54ecc70558,2024-12-10,27100
bri-961b116afdb508671951ef7fcb5032a6,2024-12-19,13200
bri-212e30e5a5f11092fa83df51e56693c7,2024-12-07,40900
bri-e8edb015aac04afdf959c49f2b89c65e,2024-12-12,50800
bri-22a201beda047d1ad975db90d0c50da4,2024-12-19,32000
bri-0e3ab9c31483c344cb23bc42031be422,2024-12-11,33500
bri-081dc24aefbc00abba39b398e37f517f,2024-12-18,-40900
bri-68e0591b3bdef8b300a4fe2693942307,2024-12-08,-19500
bri-c28b40eca7d9b37723eabd1972b31f7f,2024-12-13,7100
bri-954d29e55f9ac94a59e800ad1960d46e,2024-12-19,-32200
bri-13783713215b1ec677a8c1c2d4aed437,2024-12-18,88700
bri-706de1c93de8957b49e8c2ec6b6cc56b,2024-12-06,-40300
bri-4153ab322fb5d7065fdad838f8a7dc62,2024-12-09,15300
bri-a6daeae34cf987ee6fcac39d52197c71,2024-12-17,46700
bri-c9918ee501fa8f87a1675628ce46d7f1,2024-12-11,43400
bri-bd1ea8a68185ccb986db8e45fae8c68e,2024-12-13,-57400
bri-289f1005528c9b3f956bdec1a63fea01,2024-12-15,28500
bri-ee3866e202fea8ef76bd8336236524ba,2024-12-08,59100
bri-3e769e2f6e50189c2873b836b575a0ef,2024-12-11,48700
bri-824ca7de87b6a2b98fff90f389247aa2,2024-12-11,-26400
bri-b7cc93412746e4ffd383e816becf40c1,2024-12-16,98100
bri-be1ca91a0c40fdf9074169ab41ea5ccc,2024-12-13,61500
bri-309e46abba90073e43b36225017bfcc9,2024-12-13,6500
bri-ec768f31c89daaa77cbf55cc21dd6e6f,2024-12-10,-17800
bri-db7cf9ad8f684610b808b0009a7aed74,2024-12-17,8700
bri-59aed881f866b9da25a69e95b0b1be13,2024-12-19,99200
bri-9ace76e4c28a00ecfb2f0dd96fc1faf3,2024-12-11,-15600
