UniqueIdentifier,Date,Amount
bri-ffa48178da8281bcdfcc25a16e211524,2024-12-20,24800
bri-1cfd895f4051bbf5668def1a4dc2b09a,2024-12-19,-6600
bri-fb5a230d1689446390af1322617b63e7,2024-12-19,64900
bri-d59bb981ec08a7253326f837289e3cc9,2024-12-19,-97900
bri-77b7bd767662049e2ae5ab6f26e0ff20,2024-12-20,-23400
bri-d3ad27303652ebe02919d17765214340,2024-12-19,-78600
bri-a66a61ce7c47971a7589c5303798b994,2024-12-19,98700
bri-c6eacd61cb0b0e87c1c1943216ad7f00,2024-12-19,88600
bri-fb2407513edf49594bf0fb45febdf948,2024-12-19,15600
bri-98c0c45675e55f8012f12785fd3e3ef8,2024-12-19,25700
bri-0aca0ba6012c25ccefd4ef23481c189d,2024-12-20,17900
bri-ea41c97c6cc217af2a30c104373d2de6,2024-12-20,-20300
bri-fd52de6e3a396bcf8b5e706a33895eb1,2024-12-20,98600
bri-b079e913f1d1e5db5c2ea73bc3365f07,2024-12-19,87200
bri-aa0a3795efd537a90cc1eec04f2d8078,2024-12-20,30300
bri-eb3dd6c4b803aeaa9580ab3eed69077e,2024-12-19,78400
bri-3ea4fbc6e2fd3eaf617ee35498ab4876,2024-12-20,26500
bri-e7e2021023758f2592eb8b6bd8aa5f4c,2024-12-20,81700
bri-e74711b3ee8bcb1a2713b6bd517cb6b6,2024-12-19,50000
bri-e9de5d5588d9faed2070bd6c60786877,2024-12-19,-41500
bri-a8343f65dd4c850e570cddf9cd772be8,2024-12-19,40600
bri-68cd302d7fd0bb10f40277928f563851,2024-12-20,51100
bri-e7518d6e5815c9c09b692c4d6c723956,2024-12-19,79300
bri-abc6044d98afed4d3beeb5ba7f7a8f32,2024-12-19,75400
bri-e46968f09687299d2576166d031114d5,2024-12-20,16900
bri-dbce9959a2e3c4294251b50892553ecf,2024-12-20,81400
bri-cb264f1fcf79ecf87560ed44d95f5746,2024-12-20,40300
bri-f87f9ec169b1dcfde9a50130abe54ff9,2024-12-20,99400
bri-c6687e9edd94a39ee30bc08a2366d993,2024-12-19,45000
bri-441e4e26a10117ec104cbaa526225da0,2024-12-19,-92900
bri-6d34f3917a3a3305bf6c570db6711ee3,2024-12-19,72600
bri-f8f017bd0f327dab17fad86ce0f907ff,2024-12-19,24700
bri-cc47d4ca207c7a3cc0b920aac1704389,2024-12-19,59800
bri-2bac4c70ba11ae6970b93f4070d6d740,2024-12-19,58100
bri-43bd79537b68da8932ccd0805cb1d51f,2024-12-20,2900
bri-2a561972b954d1d23464688e7f5d18b6,2024-12-20,-57600
bri-b5f5b266343b1a36346bbc6c2b76c73b,2024-12-19,94200
bri-feeda8cca301b8ac3d8a30a2ddfe2eee,2024-12-20,98000
bri-cf510bbf009301cbb314b6fbeafb09b7,2024-12-20,-5300
bri-3fafe45298c2787b97f94bb80efcfc7a,2024-12-20,23700
bri-cddc515f4bfeb3e80a93c434fb7ba80d,2024-12-19,-14900
bri-7ade78e8266755a74a1821de01353f31,2024-12-19,20600
bri-ba9864d116d3f1b4fc1da9c65a9201a2,2024-12-19,96400
bri-5566f3c3afc5828482af65707aaef09e,2024-12-19,57000
bri-69e5c667891daf299a535862e3ae2b10,2024-12-20,-56400
bri-5409824c07973ac28bf0135311926b6e,2024-12-19,-72200
