TrxID,TransactionTime,Type,Amount
000435134276c4662de6d2521591e597,2024-12-20 09:26:22,CREDIT,45900
000eda27c85f36cccaf4b946cf4f4ce9,2024-12-19 16:20:32,CREDIT,47100
0014960b333b00eec3b6349bbdbe420e,2024-12-19 06:56:57,DEBIT,53800
0023d1acdf6d4f6d26148be7ce07c90d,2024-12-19 20:22:57,CREDIT,30900
0025d150e908a1a9d98e09a0d76e0907,2024-12-19 08:49:48,DEBIT,50500
003a63da5c87ff1d5fc05a77c96a20dd,2024-12-19 22:23:47,DEBIT,14300
006da9d65d8bda06545314184fc5a988,2024-12-19 09:44:57,CREDIT,98500
0080808de5c2fcff2a25b7189b541511,2024-12-19 17:50:34,CREDIT,57900
010175b83b1053e541a04fb421e83f67,2024-12-20 19:57:40,DEBIT,48200
013fea28c054a29cdf30811ce89ca56c,2024-12-19 21:29:30,DEBIT,45600
0155e29dedae44f252bc45d595f25924,2024-12-19 04:49:07,DEBIT,75100
01ceb440940dd141e50924642cb64192,2024-12-19 21:52:09,CREDIT,55800
020e1e467463ffcb1037352c56ab11f1,2024-12-19 05:54:48,CREDIT,43200
021f908e34af02baf81b2694b566beee,2024-12-19 12:54:36,CREDIT,51400
0241343d046543f72141fb2b39c35836,2024-12-19 00:02:41,CREDIT,69500
0279320a4ef19cb66ac5fbd7a07b7159,2024-12-20 01:21:40,CREDIT,18300
0284a597a8df48bacb43602abb56f969,2024-12-19 14:05:55,CREDIT,58600
02a3f9ea72c24521032c7f05235291b8,2024-12-19 16:25:40,DEBIT,30700
02dcd26b2980aecef36c249c76bf6ce0,2024-12-19 14:54:54,CREDIT,6100
02fb9d517b436c33f701b3bdb7c340ae,2024-12-19 10:47:21,CREDIT,24200
0338f02b99ec40100b0b984bf6a0676e,2024-12-19 10:47:47,CREDIT,48900
03dbb82984ac5fcd7daf73785841131e,2024-12-20 14:38:36,CREDIT,83500
03e8ce948aa0db4c3ae551afdaad8431,2024-12-19 07:24:01,DEBIT,81600
045361f8e628b5ba1d650c38cda17fec,2024-12-19 12:07:41,DEBIT,12100
0487841d67e1fd520c404ea7beaad6d0,2024-12-19 10:00:30,CREDIT,29900
