TrxID,Type,TransactionTime,Amount
010ed0325748c0a840483f6eeb6dd4cd,CREDIT,2024-12-12 15:26:00,57600
040213db8a2f6d95dbedf20bb99cc9f1,CREDIT,2024-12-06 04:49:45,58100
0579f4d2dd40681490f2b2eb5c323366,DEBIT,2024-12-14 11:05:57,82000
05efaaa50b8b16e2fff6f7fc0e319417,DEBIT,2024-12-05 21:49:49,49200
098537d1a2f0cd5ac8da5377651d40b5,CREDIT,2024-12-07 15:45:32,98800
0c33f500d0bb0292a4576df7e2598192,CREDIT,2024-12-05 05:31:58,1500
0dd5fbe258f6625be5483ad03c0f2ba8,CREDIT,2024-12-09 08:34:40,31900
15a9aea31c774b8baea1fafc42b31b98,CREDIT,2024-12-08 14:36:08,11900
1863311bda9fcc791a88e33f668ebbc1,CREDIT,2024-12-11 09:23:58,67300
18cc2606bc13216e0d63f5438c9fd197,CREDIT,2024-12-04 20:54:38,14600
1a146d65bb19a924a3d08b3f46cfd46d,DEBIT,2024-12-04 04:54:24,89400
1c8415cd862e864ac6d6f4de753c119b,CREDIT,2024-12-10 23:08:32,16500
1dc82a70b3a804440e991ff5ad98be68,DEBIT,2024-12-08 21:38:17,41500
1eb0cd2f0204d45e412d20e12e5e3b52,CREDIT,2024-12-02 12:52:58,95200
208684a1affd3a929252dde997760598,DEBIT,2024-12-07 07:51:11,92600
20aab39cf51eb712fcb7a076f5ebe8fd,CREDIT,2024-12-06 10:09:48,95400
20d9e691c56119b08fa9d766c6e9b7d8,DEBIT,2024-12-01 13:56:10,7200
25a82a58d111742feab232375cc37fcf,CREDIT,2024-12-07 14:37:13,18900
2665443b56c142acbaa0566ec84e0863,CREDIT,2024-12-09 22:07:40,62100
27afa32ef3c83fc578303da4126a5ea2,CREDIT,2024-12-13 06:21:29,23700
28ea56909076460f2c1f2bf0b02ef364,CREDIT,2024-12-13 13:45:38,23700
297a8b91cccc40ee1f154ab0dfa1ec6c,CREDIT,2024-12-15 16:39:49,17900
2e502e1553df56fe22ff95439cc2fa4e,CREDIT,2024-12-08 19:16:00,3200
3150bab11554c3508bd50be26547cdbf,CREDIT,2024-12-07 16:29:41,62900
33c7cee7cab84d714b7c85571c6e19c4,CREDIT,2024-12-02 11:24:58,85000
34cc3193e6a8063e8050bcd1dd49e9e2,CREDIT,2024-12-06 20:29:25,51200
