TrxID,Type,TransactionTime,Amount
003347e4114da4f5456d73eb24e55f5e,DEBIT,2024-12-01 20:23:26,65300
004350da8eb6a1e0523e5676dc0e20b7,CREDIT,2024-12-01 16:38:30,58200
006bd64729fd2b1d4e74994b61a1b65d,CREDIT,2024-12-01 15:59:22,80300
00bed68d4d4e7d3ce36c40c44b48e120,CREDIT,2024-12-01 06:12:54,24600
00c417caf1b651d230f66c33bc0c718f,DEBIT,2024-12-01 07:08:00,12800
00eba7618820ffe321c7b8b47c622fd2,CREDIT,2024-12-01 14:11:00,65900
00ec2df5eeb349504a5baeca2b5d742f,CREDIT,2024-12-01 23:07:37,65300
012f53d2a7f1be572a6a5835c9bb7f43,CREDIT,2024-12-01 10:33:50,95100
01450d77e4bdc2f9bbb92089c0d7793e,CREDIT,2024-12-01 02:20:59,38400
016e35ab5dec7f6f48903b0430c943f3,CREDIT,2024-12-01 08:29:48,55500
019e1634c19936bac19b0c35129c52f1,CREDIT,2024-12-01 05:52:15,47500
0208014aa5af16f572ff78a4aa6bf464,CREDIT,2024-12-01 20:27:32,46600
024aa2fdec613851e55e5836277f7649,CREDIT,2024-12-01 02:17:55,44400
02616dab6234f01312712d5fe368555c,DEBIT,2024-12-01 06:54:11,56700
02b772ec04e91498ee7f6e848581738e,CREDIT,2024-12-01 06:58:00,93300
03d0cd8e29df91af78a4a1510d952503,CREDIT,2024-12-01 02:02:52,95900
03ec8c4430cb313d7f727edf83f423e8,CREDIT,2024-12-01 23:24:08,69100
041e766d371f9bf4dae2a2055cbcd690,CREDIT,2024-12-01 07:49:36,58000
0421f037548f6e9aa93c4c9037c892ff,DEBIT,2024-12-01 19:07:07,9300
04a8a2372ae223f32f95d83ad07784ca,DEBIT,2024-12-01 16:30:20,67200
04ad2e6958c38ee4c1301c3e7bacc189,CREDIT,2024-12-01 05:07:40,6400
04ca76c4743e1b6507eb0f21323ca659,DEBIT,2024-12-01 19:30:24,96400
04e4ea0e68f6c3e0cfe14bab88a05472,CREDIT,2024-12-01 19:23:27,76200
04f932cbb22d42e1e1f5a0f5c8f6921d,CREDIT,2024-12-01 09:00:11,48700
050b434a2a6597bd69d260d9aecca636,DEBIT,2024-12-01 17:25:33,21200
0537f55dd08a040ada16ecca5c25c88a,DEBIT,2024-12-01 21:19:44,49400
05c60fe1f5e619cee8444aab3c527004,DEBIT,2024-12-01 18:40:57,42700
066701dc3d41fdb035844fbdcffbf795,CREDIT,2024-12-01 05:34:00,80100
066a7bf2a0870c12a9ef7db78e8f680c,CREDIT,2024-12-01 13:18:23,60000
0702858fa7cdf32a9306f91bf3e84bbf,CREDIT,2024-12-01 10:26:25,67000
0720c04d83d8119298621e79d19f7c5c,CREDIT,2024-12-01 08:13:42,7400
079e688a0ab59b181d31979fd7caaddf,CREDIT,2024-12-01 21:02:34,8400
07f097d6855b680b591606dd9cf89289,CREDIT,2024-12-01 07:31:47,95900
07f159b30c6595e4aaaebc8f71f4dc22,CREDIT,2024-12-01 07:28:08,49900
084c202a55acee4654a4fc691984c4f9,DEBIT,2024-12-01 07:25:42,11700
0863c9b29c4e8509831e6a37664f7493,DEBIT,2024-12-01 11:12:07,17100
0896fc18386998744450dbf8b7831cd6,DEBIT,2024-12-01 13:24:38,40700
08ac12b0775a409659d145042e871a0f,CREDIT,2024-12-01 02:55:51,49800
08c8bfa2c08a31d814d60c8a49c74685,CREDIT,2024-12-01 11:21:56,43300
08efbdc2a6998b9c988685590f4f4a95,CREDIT,2024-12-01 16:39:55,46300
08ff915e0a5ea62448756ac594a8187c,DEBIT,2024-12-01 13:23:48,17200
090f77d7d0499c8db3012e583da989d6,DEBIT,2024-12-01 05:08:16,60800
093407b38659a709f5f05cbc4085fd09,CREDIT,2024-12-01 22:14:46,36200
097c7c01975fc15640c60857c6e790a9,CREDIT,2024-12-01 22:09:18,39900
0986d114fbfbf6281de4fe9c7d12e463,DEBIT,2024-12-01 14:24:57,33500
09abf228fb9f2f6374280a228d49ab7e,CREDIT,2024-12-01 23:32:18,18800
09c2e5545b2f8f094aa4e420b8d21a02,DEBIT,2024-12-01 12:30:06,64100
09f53d8d6111035ab543bf7ddb255d37,DEBIT,2024-12-01 18:31:04,41700
0a7e761725223bfa8a0f48aaa71c625c,CREDIT,2024-12-01 11:08:12,84000
0ab64100a747f3bca65471858c1ed002,CREDIT,2024-12-01 18:43:56,99400
0ad4c6a208071dbd214b480edfee5811,CREDIT,2024-12-01 01:01:35,21600
0ae207a20a886176f6c16b165a65094c,CREDIT,2024-12-01 13:43:54,82500
0b6475f7278a20bbeb5fcf5a862a1e2c,CREDIT,2024-12-01 01:02:44,34100
0bc9135b938ca74c91c34d4b9f40d439,CREDIT,2024-12-01 02:10:39,98600
0c0908581081fa49aa89f7f3e1389e66,CREDIT,2024-12-01 21:38:09,42900
0c5840bab3f52f21ac04f92538e77831,DEBIT,2024-12-01 12:57:20,6300
0c72a7969931894049e9372dc07c93ae,CREDIT,2024-12-01 23:33:30,85400
0c77cb8084081b5adf50d5957ea2d9d7,CREDIT,2024-12-01 08:26:42,51700
0d2d000f05272bc8b331adf29e1fd607,DEBIT,2024-12-01 13:03:09,76000
0d420ca03f302b2e2af7836365368aee,CREDIT,2024-12-01 09:55:26,25900
0d5a9e48e63b6dc88adb1e8483473d29,CREDIT,2024-12-01 02:19:41,77800
0d705a6939c91a123e18bae1b43d5190,CREDIT,2024-12-01 16:03:22,45400
