BNIUniqueIdentifier,BNIDate,BNIAmount
bni-fed254783758ad361269ca1603681d03,2024-12-01,93700
bni-3cab2f360730cfa9886c0270df7b232f,2024-12-01,7300
bni-ef5b412aafb945f5d49a4e9b175064e9,2024-12-01,75200
bni-c79fec492e74ef28c6541129bd90830f,2024-12-01,-96700
bni-9a0302cdd309d60360e623f54b3c4620,2024-12-01,-61800
bni-608930492f4f7a24afedb56277e401b6,2024-12-01,38900
bni-a9e1ec67f66f1cb0c3bcfe4b15e7e349,2024-12-01,19900
bni-d85ec533b9681848ecb65753a52499d6,2024-12-01,67200
bni-49f2942c6dd788b6049f106568ddac48,2024-12-01,8400
bni-ba8311bf9ecd9b2647a25b11b334e149,2024-12-01,75200
bni-4fe16aa9493289b6583d9dfbedec06dd,2024-12-01,-57400
bni-6957f24f0424eeabff6e97c4a289fa7a,2024-12-01,-11300
bni-8eafacda6cb44f2b466164dcd9deefe7,2024-12-01,-18300
bni-98e813b3bf7e79b22f4187053928e089,2024-12-01,44000
bni-a01567707182e09961edff796dffb9d6,2024-12-01,-49400
bni-2ec83784766dcbf6045337d05d71674f,2024-12-01,17000
bni-d35f4cc21d17921cc82ac844e194f9a0,2024-12-01,50500
bni-84b27970fccbd73559fe2b05178994e2,2024-12-01,75500
bni-07a46d6d32b8e333243c4e1bfb93ceca,2024-12-01,1200
bni-76c6e79f46621296c675470263a00f18,2024-12-01,97800
bni-fad2596c32aa18c4c2986ecc79f8f460,2024-12-01,18300
bni-626c01abe65364780bbc7b710278d24b,2024-12-01,-45700
bni-f4e08cc5368c45dfaead0ad3d5c145af,2024-12-01,42300
bni-ade9900d91ccae97a3227b71795e8d9b,2024-12-01,-38900
bni-ba2371830309ef0419102ef661b7a6b5,2024-12-01,32000
bni-632af9b1f80de0f42ffb8d8104a125ea,2024-12-01,34000
bni-bd2cf0a7404e4d923e5b64aa8e48aed9,2024-12-01,5500
bni-7019e2051619b7fbf00913bf81207fa8,2024-12-01,-9400
bni-6a17936789a92c7046f12d979a4b3a78,2024-12-01,-86200
bni-2b70c8cdb66a8fec85c81edf163c68c9,2024-12-01,-57600
bni-b221611618e37c4dd061f606feb581c2,2024-12-01,-11100
bni-eaecc5d8c637db134b936602e49e3eea,2024-12-01,88600
bni-fe75677939f599580e3eca09d7e7a5e8,2024-12-01,-40600
bni-4ac9cd460e7c50c1d2c408aa2083e58d,2024-12-01,-4900
bni-fabbd11313873d91badc2d3e1afe0f0d,2024-12-01,84100
bni-e816eea402d0b6b97aca1a484c960d7b,2024-12-01,46200
bni-8702516248fc53304430e425dccbcee7,2024-12-01,96800
bni-33f224b2c2234b19000c6433c1e465e5,2024-12-01,85200
bni-7a5760eda1d84f4b91323f840260f3d2,2024-12-01,42100
bni-c8e05e2a92b6863e1d8fccb94e8c588a,2024-12-01,11800
bni-59dc2e2a6f51bc86ac5ce76211cbb90e,2024-12-01,-27500
bni-b946938f145bb95c09ab1a4848308539,2024-12-01,51100
bni-e2b91bdb3b1e2dff8bc760d7475afb94,2024-12-01,44900
bni-7d75e05c362b80d6a425ea769c0be3d0,2024-12-01,41200
bni-8a99c03cefeac658538a6286d7070850,2024-12-01,41800
bni-ab08736051ec4b6ade20d222334deded,2024-12-01,94100
bni-909e3ac39bf09ca06f7645ce6e6ede82,2024-12-01,32000
bni-42ce4697857c91ddd8861c1d25d285c0,2024-12-01,88600
bni-a5f5a150ea5e2ac94772bfb1c837cc92,2024-12-01,3500
bni-d9ac0ad646994a30089ab9465f641a88,2024-12-01,-82100
bni-0f943d4bccd42d92ac5636e47b87432c,2024-12-01,19900
bni-f621e58a0fb77e3373aa3b4fe3e7f289,2024-12-01,17700
bni-3388b9b707fd6c4118a012252bc52cff,2024-12-01,71000
bni-fde675bfe67a5125c7baf1fbfe55969c,2024-12-01,49800
bni-91f856368cda10b0973ddf9f2a778450,2024-12-01,14800
bni-21962ae509e103744c48bf7a4114d4e8,2024-12-01,-7000
bni-2acfd711fa3692a1a0294bdfa58f73f2,2024-12-01,-83900
bni-0c8cb9e5cc5e99a81dc02969cc92f855,2024-12-01,46400
bni-b888fbfeaa4a44abb2eedf2d0262362f,2024-12-01,76000
bni-1b7f9ada7775b70c5e12df0b79742f79,2024-12-01,96300
bni-9a63d9fc504bef66f52e685b87ba7918,2024-12-01,-26900
bni-ff470206cc5506a0b6bba76adeefbef3,2024-12-01,96700
bni-7bbdda701d821fc71c79c1496b4d031c,2024-12-01,37000
bni-01b346f6406cd672a22e940f16e17d38,2024-12-01,14800
bni-1f33afd03b693a2a8592bdbbe586cbc0,2024-12-01,27700
bni-35df32e62396e4cf048007cb46836e9d,2024-12-01,-50000
bni-c1f9b9e0c8f892241a7b226f284a3dc3,2024-12-01,21200
bni-7d771fbb877af72440f1f5059701d699,2024-12-01,93700
bni-3b1d312e6303c5f58168ec559e34c481,2024-12-01,-28100
bni-66034ea0c7b1e44543daadcfbec941fe,2024-12-01,85400
bni-4ecbc90d69184134bb1250d112c03b38,2024-12-01,2700
bni-6b3315a14c08f45021a50a58feac80c6,2024-12-01,-19100
bni-c4982450d7ddf199941fbf809c6a608a,2024-12-01,10600
bni-cf899465d05ed6a856259a0742a28fee,2024-12-01,-48600
bni-af2441567986f6c7a67e9bcc8d8551d1,2024-12-01,96200
bni-514bfaa3e1005c4d6fe16f359093d5af,2024-12-01,-27800
bni-b3a74570f71b15c4177356449f75fb6f,2024-12-01,34600
bni-9b07fcc3d338ea52d4f202d518048361,2024-12-01,70500
bni-f4a34c5628af9ac0257bcffd12ac74ef,2024-12-01,52700
bni-8eef1362993345ab15a4369875083920,2024-12-01,-91800
bni-0ba622d4dfb10ae453637e45e72fba73,2024-12-01,-61900
bni-a915ae2d226567b588bc3e6989304fbf,2024-12-01,6500
bni-56d2faf3880591b8648803704d19705c,2024-12-01,-38700
bni-a78450126ced824a0c03f3f2108ba51c,2024-12-01,22200
bni-8ad76a3734cc704c495219b862b7feab,2024-12-01,-90600
bni-f551bfdccdd50a73f1fb56d6958c78b4,2024-12-01,-4000
bni-0e093cd66437a5bac93095cdec9d9b76,2024-12-01,75600
bni-1d1f9951115c67102fae8801293265e9,2024-12-01,23300
bni-3f6a2e26b164181641308705d7d45e4f,2024-12-01,77800
bni-5220dfb65c9966a5aa05e3cfd2a771bb,2024-12-01,58300
bni-1e06b305f5f00ef103edff481dc98608,2024-12-01,6200
bni-f556ce3b260a54c7ddbb65bae703ba6e,2024-12-01,8200
bni-75eb4db8d360accb12b89b07abe3098e,2024-12-01,82900
bni-1ef6d8da9b74f8bc494e290cef33a936,2024-12-01,85100
bni-1929531832c7c2bc92159c84c58376e5,2024-12-01,39900
