BNIUniqueIdentifier,BNIDate,BNIAmount
bni-a234565554336f7cf2fc2c79d01a2e9a,2024-12-20,-48200
bni-cb71cf0fdf01709914a21f809e657008,2024-12-19,43200
bni-ad6dd12439e1201408a953b8f645a86f,2024-12-19,51400
bni-f1be87b956cbd1848e35907ef2db4482,2024-12-19,69500
bni-19267abd3eb40a9af5b62c0519a51f7c,2024-12-19,-12100
bni-0d26bbc1a16b77be6c73f5cc2b7c65e2,2024-12-19,29900
bni-c3a68480841b3a6fa97513b04c224c99,2024-12-20,9600
bni-9983fbf3008b580d4e05bb6b2ff3e49d,2024-12-20,3500
bni-2875030563800f2a1d7f4f4c98a9bdab,2024-12-20,-44500
bni-f0efba6e31d37bfbef05e701d0bcece4,2024-12-19,6200
bni-e22ae11142b1f47f885e6e1b6776366f,2024-12-20,44600
bni-a15197411e62aaf19abced569f90980f,2024-12-20,20800
bni-204ac38ef535c7f9343aa3ef68ef72e5,2024-12-19,53300
bni-c8f6753d4f5d3172f76ef76d18ce29a4,2024-12-20,29000
bni-ec63a2cc9ee16487f64d6b2f62840572,2024-12-19,49500
bni-bbc8eaeb449670f484a980592ac83d9f,2024-12-20,61600
bni-6a7b0e4190f22a8d660fe2177b0c96d9,2024-12-19,69800
bni-212ca3099ffed8c25ee5129d16e525ca,2024-12-20,99200
bni-70f0e89a65263f71da52f5681649f94e,2024-12-19,70900
bni-5aafa9c26cd83ceadeda0f8e2ec2ac0a,2024-12-19,42400
bni-88f71262c9347465846893b0fd442a51,2024-12-19,76100
bni-522e5c1aa02a92fa1ff8ae62d7881785,2024-12-19,79400
bni-75bcfe577ff8ccbdc27d1b8b7c5e354c,2024-12-19,10400
bni-206f24390df7bd3871ae4d9219983072,2024-12-19,-54700
bni-d81f5d0e5bba020b4d93d4a734038056,2024-12-19,61200
bni-77728953cfdace986a5d716fa8517e75,2024-12-19,19900
bni-3f572cf88f29748e93a6ea58605ce34d,2024-12-19,18400
bni-09a38597e9a1868e40ea96ea78c0d6cb,2024-12-20,56600
bni-89fa2e01a3c375cca3b9a623da04bff8,2024-12-19,-7900
bni-caca1aaadbad2f2c1aa9500d7ddc1616,2024-12-19,2000
bni-f422044c9f697589e0d73ff0f48b9d3d,2024-12-19,1500
bni-8d2e4119a6d86b11a1ff8e92bb91f94c,2024-12-20,30500
bni-6d32e067b004bdc5edf54ce28641ffda,2024-12-19,51200
bni-7ab93bb60950bf147a40b8c95b58aa42,2024-12-19,79600
bni-461a686b98dbd8337f2651419c7d290f,2024-12-20,87500
bni-1ba63d074f38305c0868060594d66a47,2024-12-20,80900
bni-8a8767b6cc25665b154b8a9264fa5f9a,2024-12-19,97700
bni-d959d85772f26640a1e8c4a12c97afb1,2024-12-20,24400
bni-ad52642ff910835f9bb2f298a05df2d0,2024-12-19,-94800
bni-02a9fff0b2257ac08ad1d5045916510f,2024-12-19,68000
bni-49e556ef6c8fe85b1a1ab164b2407ab3,2024-12-20,90500
bni-18150fac7d8a8431cddadefdc79ca9c6,2024-12-19,1700
bni-d9e24817b57f1926c1e5eea75b9d2124,2024-12-19,-33300
bni-10a5f4874d06b9309958360cf3e6648a,2024-12-20,4900
bni-439b513e88f7551e9d8f15b445b710c0,2024-12-20,47900
bni-4e0fc3bc07bc5783622f9cb6cd73231a,2024-12-20,-90300
bni-6b8dfd073adef969e0019fef620f58a5,2024-12-19,4400
bni-8643c7ef6b726f5a29f72a1f77248416,2024-12-20,-81600
bni-f37ef797fcaac2ff59a2fd6a6b7e4354,2024-12-20,2700
bni-4b1de95d4d0fb936086f6b37bbc97de0,2024-12-20,11900
bni-8feafb7844109ac96230dbc71a3fe284,2024-12-19,-83100
bni-1e7dfc725035aee6d2d2b96db4339007,2024-12-19,43600
bni-8e050f1dcd43eafb462970e7dde485e0,2024-12-19,71300
bni-06c63b1789e7cb1e268acc50aaa9bf30,2024-12-20,-1300
bni-a5af222a1d8e77687e99ad68c7423391,2024-12-20,83100
bni-b3c60dd5f4e0d88801554ec6a1a9e68d,2024-12-20,1700
bni-9266171eab627f8db436d2d992989f41,2024-12-19,-45400
bni-1bac51ee11eb09b79ceaa026f021564b,2024-12-20,92400
bni-83551803162ba17b7aa760c7a02baef7,2024-12-20,49800
bni-d29d8f4b82a56d25da785b69cf244aa8,2024-12-20,62200
bni-a5a3e15ae37620373275aac825376546,2024-12-20,47900
bni-94887c810ae7b745188979074d0017bf,2024-12-19,9700
bni-1e59b5bbdedecde36f41ea9a41d71550,2024-12-20,24100
bni-021c08ef8285da90e849374ea44ea11a,2024-12-19,-92700
bni-02d7094644500b70c8f3f999ae424bed,2024-12-19,-47200
bni-52519e11b866f80cfd7c66f97cfb30d5,2024-12-19,66300
bni-6e97c4f43f705ebe90028e088b08495b,2024-12-19,60500
bni-f4118059fc32fff8c26354800320207c,2024-12-20,-58800
bni-68d84738a1e17bc90b48b6ffc10c264e,2024-12-19,47900
bni-2442b3ce60783a60ecd5e4c297f9722f,2024-12-20,57500
