BNIUniqueIdentifier,BNIDate,BNIAmount
bni-8760bdcf8e406ac8f09dd08871adfa2b,2024-12-19,47100
bni-33ac04ed2b9b4e2999af066b85c7e3b9,2024-12-19,58200
bni-4e0c34890cde0d2d6873d58a0652f0a0,2024-12-20,10400
bni-011b012f0b0984b711396a19fbc9349e,2024-12-20,79900
bni-c827103e1c99e6e05bfb070b2f773688,2024-12-20,-77900
bni-fe8a4071e7bd17e87505b3c9a8b96672,2024-12-20,-45500
bni-a0254d14662a403e85e2c0f70ad4f78a,2024-12-19,97400
bni-a319854b7cedde4e765041e39038b3b9,2024-12-20,46600
bni-aa986d4d4b10dabdcfa34fd599cf89ce,2024-12-20,63800
bni-4cf3c703e6b43fee2f4ca95dbf72656a,2024-12-19,-7300
bni-6a47e11f8ea9626163c8626d65a10b22,2024-12-19,66300
bni-4d92b8adbc8f83c6bf75661cd1fb8337,2024-12-20,85500
bni-d0d678a7b6f88f7769c6f00aae2d4dad,2024-12-19,5500
bni-ee3c38e4d98fdcb1257ffd3aef9f58d2,2024-12-19,-41600
bni-f56d527fd5b295925628881d1e45c801,2024-12-19,36700
bni-0a3e428860e6bcec3cd671c2a4d3b64f,2024-12-20,46200
bni-f73a01aeec56b08997bbe51e7a66471c,2024-12-19,33400
bni-46762ffc1482c8c4b2b70db8ea3be809,2024-12-19,26600
bni-e13e7f58387e22554c9b55b47dd5689c,2024-12-19,48100
bni-230945c962757ca477288f9d781c2461,2024-12-19,38000
bni-58cc463d6512c405f5cf39b0250a99a6,2024-12-20,31600
bni-9006836b65a32d1f43d4947c6b487ba8,2024-12-19,16300
bni-5911050b0605d8fb3cafa6fedc6fef82,2024-12-19,52300
bni-670c080424681dd5c0e6dd74e240a1e5,2024-12-19,-93600
bni-5b389e5fa041f64d8fb6bc3237062468,2024-12-20,48900
bni-c51ec701f280004f5ffe8a85f234d5df,2024-12-19,29800
bni-b58625dbf6cbc96c0b92209f7d84ba1d,2024-12-20,8000
bni-f8f64fcca9c741ef68250604165afc89,2024-12-20,72700
