BNIUniqueIdentifier,BNIDate,BNIAmount
bni-8b04798d553c00fab35bca0f875a4faf,2025-02-27,-91700
bni-85f3882f997daa37845e3b9bb2ac2f25,2025-03-04,-6600
bni-2d68d923d46ce817b8173fb2a2b258f0,2025-03-02,-62000
bni-9d99f28eee02508709665d5e13a8f3ae,2025-03-02,69900
bni-672b3541b1d021c2572ab5e4a692ff17,2025-03-04,-56200
bni-654452ec6c2d1e92b697d83ebb27c0cf,2025-03-06,-29500
bni-84dbf6c5e295ef5d411816f6552fe3b3,2025-02-28,-67300
bni-0ba669facdccd4039163b54581a535da,2025-03-03,86100
bni-44a50eed2b93ab2c24ae3823af7db3f0,2025-03-05,47500
bni-37b111d393fe7c2d023c450aba6cf6f6,2025-03-08,18700
bni-261fb9d146a2de0447b1c51fbf6fb124,2025-03-06,58300
bni-9161c5dd870c53f3ad9c048ff10b4714,2025-03-09,-39500
bni-99eca9b46799c3fe62c3168253d13f23,2025-03-06,51900
bni-16936e2f3b79cc7057763d58c79696ce,2025-03-04,3300
bni-e889f4e9d80c99ab4034956855b0f25a,2025-03-07,84500
bni-c052a4ca8686d04d1112d85344c54724,2025-02-28,83400
bni-a7d5f963da96a1df6c20fc2f016f6780,2025-02-27,65200
bni-cb1f5baf51f8a4545a4e170b21ed137d,2025-03-03,-52300
bni-37822f4b2c7f35d7a82dc5f7bacc06dd,2025-03-04,-2000
bni-ce3998fc05ccbd183804557270b0b8dd,2025-03-05,29900
bni-2ee56c9162aebcd4bce1093110a5c558,2025-03-03,74700
bni-2c3be86070a96b7167d7c81cde686ccf,2025-03-08,70400
bni-c6c2d474ac2d14e67a27a5085ea24d44,2025-03-02,-55400
bni-b2762235da110e595c7c650c6507a593,2025-03-08,-31100
bni-7807b8bf776182da57a7d9e8929ad4fc,2025-03-02,-72700
bni-733fcc8aaad80fe18abc0e9347746e45,2025-03-06,11300
bni-b4fd9525e4fee0ffa422cbc576e68ca4,2025-02-27,45600
bni-a58091b13c0ce26b9a7587d94e3d6b02,2025-03-08,89900
bni-2a8ef1afacc74039493cfc76a5479f48,2025-03-08,68200
bni-912628a0bca19c1f31e0b06881d6dd9b,2025-02-27,7500
bni-46931872ac98c501f26f7e251a9aca7b,2025-03-04,-67200
bni-d7285f072f66834c9b67b3f93847b21a,2025-03-09,61600
bni-5713855329cef1d912531297415620ba,2025-03-07,71300
bni-b4b21c0c70d08e0e3b6dc54faa9d229c,2025-03-03,34700
bni-58511f35a63ee7cc72552c35fb2ebe4a,2025-03-04,-43000
bni-2971b3c97f9ad10771425f7e06044a26,2025-03-01,-78600
bni-078309981db613525f23896c4ed915c8,2025-03-07,-37900
bni-3c725b9f05841ead2940f73a69ba1706,2025-03-02,94400
bni-b150fe90c7918294dbc825e1bff28ade,2025-02-27,-10100
bni-418bf4187abde3f333a6b624331c63d0,2025-02-28,59900
bni-8b7c2d1560801a9b5dde3e3dff5e68a5,2025-03-05,95300
bni-607965ffbdf6cb2c76868e44b49a3dc2,2025-03-01,8400
bni-62b558683691c9eadd533e1c40817980,2025-03-08,-77300
bni-afa3cc6be974312157e1c16cda9834fc,2025-03-01,-44600
bni-cabe783de6e0eeacb194d2697f5ca4f3,2025-03-09,65700
bni-7b5e894c81bcfe116f13dd8dfed84384,2025-03-02,34500
bni-37a8cc1dd0eafcab8966e690f0b9fb71,2025-03-04,-91700
bni-074e0152831af478493c19ed7b9d4f09,2025-02-27,-33800
bni-5644486e1f9cc136842592ee8598bd73,2025-03-05,74400
bni-ba7b9b45fd4e6430c980f78bbaa4e519,2025-03-07,-56900
bni-1ad2a2f9f38efcb0439beb075ad2f7fc,2025-03-02,-16000
bni-2a4274d376b43556eba8762665e64d07,2025-03-07,44300
bni-10a353ad964891b56b51c9893dbfa885,2025-02-28,33000
bni-29d90163c2c747efb01f1be6503a8502,2025-03-04,36300
bni-cda8d3ca0cf5e734d25faabd83e30b1a,2025-03-06,13600
bni-d962481476ceac62bf1da8824e3ac391,2025-03-02,64900
bni-cf89967f830bd5ba54ad75afa6ec3b42,2025-03-08,94200
bni-a94bbd0db524929ccc7baee3c17361a8,2025-03-02,-82800
bni-722dcf5b931bd1cfbaa490df72075137,2025-02-27,76500
bni-14ef1e2f740fc199bced902348b2a395,2025-03-02,73200
bni-f3d2d6672fc3ae4c2c33b9dc4a76a5ab,2025-03-08,99100
bni-07dc420c2cb76fce2f44f3a4f40cf78a,2025-03-01,68400
bni-3cc4ea1e290a76521c52621c922b2259,2025-03-07,-54400
bni-424c386b3520b999cc0875549636b68e,2025-03-06,75800
bni-0bc23636571c414765cbcfccd0fa1afa,2025-03-03,-91600
bni-af52c2b12b149be2fe20c14409386bea,2025-03-02,-59600
bni-349b4bd8c1be96da97522d1be2f383e7,2025-03-06,-41100
bni-941e2293e1b814a44e7bcfb6707414ad,2025-03-01,-77400
bni-971d2937fe19edeb9a7d919880cc4e85,2025-03-06,-70300
bni-54867d1877d2ad4d14aa1f30e4e802a1,2025-03-07,-82200
bni-a4c430c53df17a546ea4845cc8dfbf93,2025-03-01,5200
bni-32a303ec0d306f847e192f137ba3d0e9,2025-03-01,12800
bni-4441a955d663616de4bd51ef08939d82,2025-03-02,-70900
bni-07c0c990f5d64e707eba2b796b72ab62,2025-03-07,-78800
bni-3e0b1d8f9186a40b7081079cce8648c7,2025-03-02,-36200
bni-0753efe64bd8d8be42af9144cd53c179,2025-03-05,-87800
bni-1f5961005ddee119d12e35fd93d7fa86,2025-03-03,72100
bni-2fccc35f9e3941e8357105d9e8419891,2025-03-08,45900
bni-75fd369c3f0f95bdf9e460e75212738b,2025-03-09,8400
bni-55ef7adce03092a82e225abe5a6610a7,2025-03-05,25700
bni-ca0879befb00c962b636d43b352e4867,2025-03-04,27500
bni-6392d245a07b5bc52cbe491c70a2ee54,2025-03-08,73900
bni-2cd7b3f4b8b99bac73c47c230cbe9093,2025-02-27,1100
