BNIUniqueIdentifier,BNIDate,BNIAmount
bni-6f223f3a1069e91d0e4689c0649329f1,2024-12-02,22200
bni-62edd1e1223c18e082de555cae643deb,2024-12-02,-8400
bni-c72624ba230afe37ac08078e518d4730,2024-12-02,1300
bni-54fb9e2e6104fd3457157cf0e1016bb4,2024-12-02,44500
bni-3b13c72b69bebc14311f76feebfa363f,2024-12-02,61500
bni-71837b23800db8a40a0d45b4bcde98e0,2024-12-02,16100
bni-2e3cfeefb4247d09efde6e17d65a84f1,2024-12-02,18300
bni-b31bc64fe6ddf42ffae82e687d5be506,2024-12-02,29300
bni-361afeec359193482d0a28819bee0faf,2024-12-02,23100
bni-21ef60057bb4a2528094c36c2cb2a1bf,2024-12-02,1400
bni-6b51eb53e3f9bde78f7354df1a5ec04e,2024-12-02,33200
bni-824c22c241ed711d01ec49bec4c31eb0,2024-12-02,-42800
bni-eb47fe93c8a1645c603f9094d974c214,2024-12-02,28800
bni-b7e7ee9721eef5f4d1d15c6b82f60b3f,2024-12-02,16400
bni-6807fd0c828478a8512f50755d60ad53,2024-12-02,19200
bni-383f69af0e354b90fafa840a28662552,2024-12-02,67600
bni-10b079b2bd166ff4acaed3d98c6b389b,2024-12-02,48500
bni-c30ac10827b8d13d3af331786511846f,2024-12-02,-56100
bni-48485a7e2b4ed8e087a4888a2742145f,2024-12-02,-91400
bni-59bc0d43e7b2a7a78149625639636a66,2024-12-02,-24300
bni-b2f4ccf872a90ae5637121ce08e8c36a,2024-12-02,70900
bni-9f3f07a57f1969242b58b3ce06a3a878,2024-12-02,-2300
bni-ee68212dd23733409a5ac377fa6215d5,2024-12-02,38100
bni-c2e0774b1ef865c81f4b46ca28a1fd49,2024-12-02,25000
bni-ebc71bccaab482a1f0f8f25f022a2d9e,2024-12-02,-28700
bni-0cf5d557fa0c94e7472079952e092843,2024-12-02,54800
bni-fa643c98381ce1bc93c8d7d54c4d0306,2024-12-02,84500
bni-6d43b12bf06ce1658d0fe6d9a0b8f22d,2024-12-02,47400
bni-d14b86299050abb00e0af8631bb4e96f,2024-12-02,7800
bni-0805b0df2b813fc7075a15c17b4d9d54,2024-12-02,-35800
bni-d2739b81b237ff9b31da80d67cf563a7,2024-12-02,66200
bni-e7f55157788be701d4a556b7abf1edea,2024-12-02,-40100
bni-b8a143173d1d945e3d6e5ed775e4b535,2024-12-02,23900
bni-65f724b14e02427847f94abb1e3ed170,2024-12-02,95700
bni-f5c463bdda0910e3cfdcb490515a62cd,2024-12-02,71800
bni-805bdd9147640470634eafbee2ec77a0,2024-12-02,33300
bni-b2eaaf65c44b6e153e1eeebb17867922,2024-12-02,91300
bni-a3aeb3a70c840ddaa16d20d2bd6c2cb8,2024-12-02,39200
bni-02bf63a34cf24b3ef77aab34e11b0cf4,2024-12-02,-68300
bni-64822a27c0691a04e0ae7aa1b4966c08,2024-12-02,18000
bni-427ec3fc15b8574e329c166e2ed8228a,2024-12-02,46300
bni-19ed7ec98e997195c7fc2f1e7055c4ef,2024-12-02,87600
bni-17a71663c97d8b329051142e6b9327ff,2024-12-02,-35600
bni-ee45f7e8c73e64f0cb363282d99d6b35,2024-12-02,-26200
bni-56e91ce094871d6b60450563c63cf58c,2024-12-02,96200
bni-f6830ed2f02647271139650b8e1b7959,2024-12-02,-12300
bni-ea00bfde12f5a996ec1920bd0a5f9ea4,2024-12-02,19100
bni-4b9ede658a80cc492bff35978ae099a2,2024-12-02,-67200
bni-c0605a697831f9f9d3639f249fbf4aa7,2024-12-02,-30200
bni-0002af8741218a6e59cf38a096ecbac2,2024-12-02,98400
bni-74991e3edc00bdf79e419336d990ac20,2024-12-02,31700
bni-4c144b41be12000c2de5f1d7b72dcb4a,2024-12-02,57500
bni-6507c6e7b1da425481c68005ced28cc9,2024-12-02,-10500
bni-659cf683429a5d4050573aa12ad8cc88,2024-12-02,22500
bni-9c00a24b21d514f339cdd37f4be573c3,2024-12-02,-66200
bni-edccf38290292f7fb7a1588524bd5f09,2024-12-02,16500
bni-9ae67ec9e11e0ab3d0f21d66d2b9e2e7,2024-12-02,31900
bni-7d6cb3c838c5cb0c7ca596bed2efe411,2024-12-02,67700
bni-f8f754dc33d313ec3f5ab2756c1212bf,2024-12-02,90700
bni-daca19940427a588d1a3742e386c2a48,2024-12-02,85500
bni-31a63c93a9708f472bbdb05d2dd1aa6a,2024-12-02,23500
bni-537708750d8db6723a1101dca47d31d7,2024-12-02,-79600
bni-6d0af652be0b6094f9998db3a1ecd700,2024-12-02,7200
bni-3fa6e9421e70d0a8140d88efe881c163,2024-12-02,72000
bni-274cee5a31b3e2a020a1ade5a92298a7,2024-12-02,-88900
bni-5f75551b1173243573791bc2c2abed40,2024-12-02,-67000
bni-3f52bcd9672b7b5860e6f065b8af6376,2024-12-02,22900
bni-7789f0c8cceef27e8b7f8da94c405a98,2024-12-02,97900
bni-1df5e5661c4eb3a63842f301a919f258,2024-12-02,59300
bni-04c409e0cf9320ebcbe023736771f589,2024-12-02,-35800
bni-4499947872788825692857692c242b20,2024-12-02,-48600
bni-252f6db18ba43d4ee350a1a414e5e645,2024-12-02,15000
bni-64dcc77f7ebc107ae393d3f446f1361e,2024-12-02,55900
bni-373f86e3a0401eda6f60db24ca3deda7,2024-12-02,-43800
bni-0e176d2d254a96bdcfbc9365eeea1b74,2024-12-02,1900
bni-ab03f0599d55c409839413e68ab7b80d,2024-12-02,-9000
bni-944e79936cbf8f3c3c7b7f65d13ac549,2024-12-02,68800
bni-81edf02c51680f302c87131ba827276a,2024-12-02,-58500
bni-0117202ba40620465e8ea40359ee55e3,2024-12-02,14900
bni-1bf6c3e00ae43bd0628d204aeba6455d,2024-12-02,-66400
bni-531d31ac217b6690949597a4096deade,2024-12-02,-33100
bni-676b29def98061950c9af849b5dfddc6,2024-12-02,28000
bni-06a0ff34d01a027bd13dd875c3cbc390,2024-12-02,69700
bni-4da348c6a0f5076f88471bd1b8092726,2024-12-02,93300
bni-109e4340c48cbbb47e381fd911e91ae8,2024-12-02,66200
bni-a16afc022e05c2060386b75a78d8bdfe,2024-12-02,41600
bni-5130017033de31e0d6eed1f2ca2a35e0,2024-12-02,29900
bni-bf3d9ccfce3ecd0a91552035c278385b,2024-12-02,8300
bni-06d8f70b31aa829df7b9b2cdeeeca52d,2024-12-02,78000
bni-83e228be8bbed29a048a9e4b759c21d3,2024-12-02,72200
bni-8f9cff308084458f040cce7cf8fbdfdd,2024-12-02,18200
bni-609330263320d5d4c5c8d6fd38645143,2024-12-02,-52100
bni-8a77859f018c36a50938f1817c7ffc85,2024-12-02,-81700
bni-3e567a731907cdb730d0176be7557a79,2024-12-02,-74700
