BNIUniqueIdentifier,BNIDate,BNIAmount
bni-03b3eaa2e20d6caf71a610e2299ebb53,2024-11-05,39000
bni-d939a2aafc6dd128b6461642909ed244,2024-12-01,62800
bni-5bd35b9bc32baa23126b29a2780f5af7,2024-11-06,23100
bni-f59e6f382b4fd94a1f565c90ea23634d,2024-11-03,-60800
bni-e2bf5b96eef500a881fe385e291e24d3,2024-08-29,-29800
bni-0685e4d4632d2e09ab3bb649b59ca90d,2024-12-06,-19100
bni-88bfe6f95c3cbeec7134559b2f726a17,2024-10-20,32400
bni-e887683a465e7639b95b67590c858902,2024-10-01,36300
bni-869b6433e543bad21f22349b8cb71096,2024-09-13,-27300
bni-700aa682cbe34095a2bb9af6ff28e9d8,2024-10-21,-88600
bni-d465958146d57b8c568bb91017ec7710,2024-08-28,46300
bni-11e28fc441a4cbba4633ba60ba920682,2024-10-21,67800
bni-502bc3c233ec18c261031d14d840613e,2024-09-04,56200
bni-60b2538eab4bfe7742eb013971341ecb,2024-11-04,-17900
bni-14827368c871da8b66eae97688e00352,2024-09-14,14500
bni-507562c48a80be8739e05303d1e74d3b,2024-10-09,40700
bni-67718c0720e4428f542ea6b8fc5c3891,2024-10-05,38500
bni-53ef82c11a7ef3ce221fbadc4809b8e2,2024-09-17,73300
bni-33070a4007c69ec34c8d408dfdf158bf,2024-12-08,44200
bni-0306ea7b6e1f9439f019e17937f086b7,2024-09-14,36100
bni-0d18c1c9254c344d3e2da0e8b1e373dc,2024-09-16,17700
bni-e8b0a6ab1458a9d11fac3dd27649edef,2024-08-18,29700
bni-241050a82a331d7dd3082636f5ec1d34,2024-10-05,75700
bni-64eaea19f14ef0f23c0439ffdbc987a6,2024-10-05,-56300
bni-4f1a51125bf1c898b6fd5e3b2b599c5f,2024-11-19,14200
bni-eef1c10450c146b37b59b517fdce1b00,2024-08-30,91900
bni-bbf22f2b3cd551b511a052891dbf5b24,2024-10-08,4800
bni-5be98fefcc79282d5170176c3c1cc06c,2024-11-30,79800
bni-fd22efde65c7a0b66e473f3caea59aab,2024-11-04,15200
bni-e1953ace534cfac4af489c7dfb463cb5,2024-10-26,86400
bni-6d1e85f9eacd49c63cf836d04a72e879,2024-12-05,49200
bni-592c426e4aa52d1382ffb4d776c9af5d,2024-09-30,31500
bni-2fa8a51af1910611e626c65e3c3fd1a4,2024-11-26,-34600
bni-69b32d3dd4a504426c955e2d71d47d25,2024-12-08,-73900
bni-a00c1d31c71f5d597faf7d9478545dc3,2024-09-15,-84000
bni-ce6bfd3ba4af6cab4427c01910c01567,2024-08-30,9700
bni-9febea46a27e61c81e9e438c380099b0,2024-09-12,-27300
bni-f1f0f665f41a9a544e55566924b62b61,2024-12-08,95700
bni-8af3f4c3dda5b9c15c4d017a930248fa,2024-08-19,-70700
bni-2222940072abf0ab23962579d732fe25,2024-12-11,51500
bni-142c1dd52def9f26b4bc5c0356579f91,2024-10-09,47000
bni-ad84b805b8f1c6cc326afba690cae5aa,2024-08-31,91400
bni-58b352c174beb14cb2a2961feb3caa88,2024-12-05,2100
bni-642b424af02a452d2d5850c15d41e33c,2024-11-04,42600
bni-1de9e2dd1e97e76e77c6b3a65a3a4b51,2024-08-15,20200
bni-0964e1210bca5a2b1413d677e427fc51,2024-11-14,82100
bni-606262512fabc16250c6d46314b81af6,2024-10-02,72700
bni-5ed38079e268fb642f971789652f6876,2024-10-11,37200
bni-54816f53187b67e9bf01c5905bf30cd7,2024-09-17,67600
bni-245ecbbed22c6bac4144c33ec888436f,2024-10-16,43700
bni-c9807716edfb801b73a7e08f7bd3ead9,2024-09-16,74000
bni-43f2058a967755085b1ef7350322c2a0,2024-11-03,-83000
bni-ac037b84000d5b9343848527724b0a91,2024-08-23,51900
bni-f5dee17c960ef3770be642acfaec0e8e,2024-10-03,31500
bni-bde781561265e46b06450c5d803053af,2024-08-22,33100
bni-253ca962fc462603bbba756bc39f6402,2024-11-30,76000
bni-3275ef141234a9cd754a55a8005171b4,2024-11-15,47000
bni-5d7374c4173b598a3d3723b52c26f692,2024-09-04,-44000
bni-77790e0e3e01cc51c61b4f49b0250967,2024-10-01,56100
bni-1c7e9f85dcc83c1f531d4a21ced20f50,2024-08-21,12500
bni-26d6d30fdbed66adce77339d70ee9ead,2024-08-22,92800
bni-eb814a43b19baafb3c9b79ede63a01f6,2024-09-06,17300
bni-ba8bd93db0be4699e64618449846330a,2024-09-24,-7800
bni-993280895efbe7e89eee74079ac81faa,2024-08-24,79600
bni-562cd478bf5a32805da0eaf2e624502d,2024-11-11,-63800
bni-0a98acfe0e6457e0fa66516ab753a53f,2024-09-11,27200
bni-42e377fe6cb79197c5de08ba7aa61b4c,2024-11-08,88800
bni-7418d172596c67f447880852863a22d2,2024-11-15,61800
bni-1cdba676912a4e1921e8f86f3d998ade,2024-09-05,46200
bni-893514634fae41f1bfb6def7ea58b5aa,2024-08-16,17700
bni-e826f36ba38d78bbf04f744cf3940334,2024-08-26,96200
bni-e3f5237ecada2ab7aa19b02ad2606f29,2024-11-13,71600
bni-f5b4c220d4dc83f1cb7684993fa87f26,2024-12-04,10900
