BNIUniqueIdentifier,BNIDate,BNIAmount
bni-b267ea7b5d40d6ccd19fff4afb2d02f2,2024-10-21,58800
bni-e884a044ca4a31aab425d193300f0e02,2024-10-20,83400
bni-68dd93e978498bf30bd87dbd3b6ac6d8,2024-10-17,55100
bni-99ae0f0fdb44885166ac29f5ff18c550,2024-08-27,-65900
bni-80fbda380a564e107f9161676190c03c,2024-09-21,4800
bni-d35e3f32f17347819c14dbe79d82341c,2024-10-06,27500
bni-bcc277afcf50aef3328292a8f7284c07,2024-10-30,-66200
bni-48952b08f4e0cb36e0295f46cf86047b,2024-09-09,79800
bni-3e6e14e9fa9e88113469b30d1bfcdfd6,2024-11-01,28100
bni-ca51fc86c0596caacb2f9f089888d034,2024-10-14,-16900
bni-5945f18713d2ef973f8d48215fe521fb,2024-12-08,82800
bni-c727b07364da607a1e805394eaa94531,2024-11-05,-97800
bni-b73b0e6a430107c94a44cb001b5d44ef,2024-10-16,-36200
bni-23302ae37fe73c8179d7d83536d5b095,2024-11-05,10300
bni-2c863d45c1bf7f912dd4a26b3f72bbf3,2024-08-18,76700
bni-afb9b062dab319f0f4ea77e13df7c495,2024-09-26,-25000
bni-b041f07a6174a9101ba75524ac31328a,2024-10-17,-41700
bni-fb85db46d2888883b877c0f0b3a55db1,2024-10-16,92500
bni-ebee13d4cd50913756fd7e6e8bb7e772,2024-12-03,83900
bni-b961ff0b5aed02d28f98915acd326d9f,2024-08-28,-61500
bni-8d83d49cfff751e9d1e044528bf53163,2024-09-03,49800
bni-8df02d7915af1cd9c40d3c90022b668a,2024-08-20,82600
bni-30ca19d41d1a86e0bad3de91d5b06f8b,2024-09-26,31700
bni-4322af49bc5920904d96c99d8feec741,2024-11-26,38800
bni-6cd962bd36f8d43cb933202cd2e6f56e,2024-10-22,42800
bni-691e9835774688b37314597aa77a0fc9,2024-11-03,23000
bni-68717a1084d6d66a2a64ffcc12646aaf,2024-11-18,27100
bni-765e0a2b225f51b94d78a9fa47fcfbf7,2024-12-01,83100
bni-b0c0ae0f951835574aa2544f73864caf,2024-08-15,33500
bni-be66c65f73e7146f2ba40bb51d2d8fd7,2024-11-22,84200
bni-b5e60a63aa9905c9d6e2bb9e50358d49,2024-10-29,33400
bni-659654c4001be67c5a724a1ae3154202,2024-09-17,52500
bni-581bf7875ffcb219be00d8bc3445ab1f,2024-10-16,92300
bni-ea19a2cb4f774ce7ab17866226480e6a,2024-11-06,38000
bni-ca386f8e2c3c16c43f9033c96ac1f120,2024-11-28,54100
bni-cc6abfe0a5ccad554bea7cb14df09df1,2024-09-10,32500
bni-5caedb38a026bef5319af04db64f447c,2024-08-31,25700
bni-a2db3b6c69082a4648c44b01345f2a96,2024-12-08,-79700
bni-54e24ca8b83ad537d85a7115d2f6baec,2024-09-30,63700
bni-508201091e3827b8312100eb3baa34dc,2024-11-03,77200
