BNIUniqueIdentifier,BNIDate,BNIAmount
bni-3a11466d31662b936932964abfe06df4,2024-12-16,69200
bni-bb10f6db78c4e3bee2bc0d6cf0265d4b,2024-12-17,37400
bni-9a65e85189f444e12d731b1946d7ff3d,2024-12-16,-50600
bni-2284557d93b007ea0b7a969d90a60a87,2024-12-16,26600
bni-194e740fa94a5d1f0e417a625d491ff8,2024-12-16,6100
bni-21f1cf91a644bd615f2916395a746d0b,2024-12-16,13600
bni-d613649ffc7d1f14adec891293d23cec,2024-12-16,73600
bni-095be7b0793ba0515afc8b81ca0602f1,2024-12-16,37700
bni-25d84d0e98c883f9a12784408f8a7fca,2024-12-17,13300
bni-791b35a044150f1878641af7d28d76f7,2024-12-17,87200
bni-513b8c63f8919bf2af950e5ec2c52a9e,2024-12-17,57600
bni-c65b6fe1742c72cc8461844c6cdf59f6,2024-12-17,-71800
bni-77bfbd03197507d4f56fc5c688a9e443,2024-12-17,9200
bni-ec120e852166a994131649268491590f,2024-12-17,25900
bni-3492cbf66d85cf59fddd86a2ea2c5f7e,2024-12-17,82200
bni-094156c2d58aaf04dd0a458033506fad,2024-12-17,66100
bni-ebf04e0c1aa4c8be998f613aa50a3b98,2024-12-16,83000
bni-0dabc170630e94857578a92f72678303,2024-12-16,70600
bni-fabe2a4668c44dbae5c61a1651f572c7,2024-12-16,-65900
bni-36b9fee1c7834ecfe78e1fb9a5d3d568,2024-12-16,91200
bni-92c087131fd85dfaed0d1080b5c14b72,2024-12-17,27800
bni-88ff09a8984d75a5890bc6d5ff8e3396,2024-12-16,50700
bni-321b7edae9fb14b407b73fc0e0e31c4b,2024-12-17,24200
bni-0ddc7e54d9023265f28babfdbbba9375,2024-12-17,3100
bni-dc96d4a3e9d56da8671af676937abab8,2024-12-16,72800
bni-ee759f417612e000e0c8a6fc7c5eda2e,2024-12-17,73200
bni-6fc636284f4214ddf794bfb90e09886c,2024-12-17,12600
bni-a5b82112f5b104d51810115bf30a2663,2024-12-17,-81900
bni-7f9330a62c16db88e65ca2e94926b612,2024-12-16,54400
bni-b4b3661b40d3c4d61c98c5947c7198a4,2024-12-17,8100
bni-41287e37efc02e34959af1f5b1ffb836,2024-12-16,30100
bni-ac9d85d47ff7027a01b7d9c1020c8d97,2024-12-17,-63400
bni-ec2c32c711b27e9f549df9e3f376ce74,2024-12-17,8800
bni-49d019174321c101f7b9fed8a1b5c7c5,2024-12-17,-57900
bni-1b9ac3c704b5e89fff0c280ab938b522,2024-12-17,92800
bni-841a4f42ccc37f5ec25b0bd1661376e7,2024-12-17,11700
bni-3737024e0d10e679be6d25531415b9a2,2024-12-16,97300
bni-b0d0a239756b48d248096beb379eaf02,2024-12-16,89000
