BNIUniqueIdentifier,BNIDate,BNIAmount
bni-6cbbf9ca4dbc0d4cbb281d4205924866,2024-10-17,69900
bni-f18853f2901cb8ce5e75bedc38ae593e,2024-08-22,13700
bni-90d6323bc536614231780d64bcbf29a4,2024-11-09,39100
bni-0d556138332f9f2ca3eeba6b9cf8a13c,2024-12-02,2800
bni-4e7f19adb5c005af06e86c1a28037bbb,2024-11-01,31200
bni-103f4f1688948828d9eafe2faaa10040,2024-08-15,-31000
bni-9d72f629423000d97d7c2739a9a9f9f5,2024-11-01,41100
bni-7aba5d64bcba8726ec4be6e33614fccf,2024-08-30,27700
bni-7b50cfedb33208daeb98f030765482a0,2024-09-01,-37700
bni-410a68a208f43e39e5f9fda22dceb0be,2024-08-28,62900
bni-b9a65dd302fcabd4f8f1e992548da015,2024-08-31,33500
bni-88353fc07d458e848560e2f43835cccc,2024-09-21,62800
bni-11fda1ca4062a46276c726560fec95b3,2024-08-20,72800
bni-d4db43f87449eb39a542d29c3b51d202,2024-09-02,-81200
bni-68f4efc8debe7e097021d07b3fdb7870,2024-11-17,87000
bni-58463d1cfa5a8f6f86dcd622da6c3238,2024-11-04,96600
bni-6a777ee77c2b4c9ac21a5e95f15152e8,2024-09-26,16800
bni-f741aae5f212b2cb328fecb65ff71eb2,2024-09-09,77600
bni-8794788c305c49d726059f9e3338e395,2024-11-29,1400
bni-e9aac1442e5192e568eb5f9d26718cef,2024-09-21,9600
bni-743ceef42abd3218125888847df92567,2024-10-06,52500
bni-d27d067dacdcc0a26d78991851cf538a,2024-11-18,-26900
bni-a4fb40ca5398f12be3c316d2aea75fb5,2024-11-21,47800
bni-be054323704e464858b400054a380cdb,2024-11-22,-61400
bni-fe6e86221fccfecf0851e2af9f4424bf,2024-10-08,94900
bni-d60c300df932bbed9557ca0bbb6a88e9,2024-09-19,45600
bni-14809fb4df02b5726cd3cbd12dc8aa12,2024-09-16,81300
bni-333b0ca62af0f20921cbe93c77567a56,2024-09-02,32700
bni-a74ddee2438130041ce31629cc28edd9,2024-08-30,11500
bni-aa76aab8a15933494ea701e2fa0b0c22,2024-10-25,-25900
