BNIUniqueIdentifier,BNIDate,BNIAmount
bni-f16cc61961abac2a9d4239efccf9c6b5,2024-12-02,80600
bni-cc6b05402a976718d43d78abc5261e38,2024-12-02,89200
bni-3161581aa29dc69867cf3665bc25ebf6,2024-12-02,20200
bni-709aaa180ea74fe5bc2f55fda855efb2,2024-12-02,3800
bni-6f1ffa3d91bb4c29138d1935fe7575cd,2024-12-02,60300
bni-dd882879370cecb87e935ffa17500e50,2024-12-02,74200
bni-eb346a19771bdf00daef979d51dc852c,2024-12-02,-75000
bni-43a29f902f099028dbec29632b606801,2024-12-02,-96600
bni-a6bc372d92bf223e126531b72371a4f9,2024-12-02,-8400
bni-ab693c253ee787b769d3c5ebc9ca5133,2024-12-02,-71300
bni-a1f4d29033a35e1a89592f1a26c1782d,2024-12-02,48300
bni-4e129d4bfcfc62885899d8f8c3e800fc,2024-12-02,25000
bni-4bff5d02d98bcf9871ce2acc3589165c,2024-12-02,65600
bni-ae134e03fd7e3f7f094c1efd714928e9,2024-12-02,-18300
bni-549de4874236cbbf9e5de191e945730c,2024-12-02,6400
bni-781473b025281aa52d7d40e21ec9b821,2024-12-02,1600
bni-34d586002e87b860bacf94167dbd8984,2024-12-02,-94100
bni-a368891ea67268a2720380aef0fc92d8,2024-12-02,-99700
bni-e15f819822d0519b56636850606422b0,2024-12-02,39300
bni-7359e8c47ea2687f63877a5f21d40779,2024-12-02,-55500
bni-4eecf1f93fe0828ba21c4d47c9ef6bb2,2024-12-02,4800
bni-66e1e4c2317cc241f54c36bac7dca37d,2024-12-02,16400
bni-b2384e836671910ec152bf804cf67654,2024-12-02,82900
bni-9f06632140e99dd53fb0d4a01436b1ee,2024-12-02,96800
bni-3331683e22909495a2f6e646b4e9ea7f,2024-12-02,80900
bni-5c2ad0ff54bd7f43781899ee8984f43d,2024-12-02,62600
bni-3cb5c164c0692aa8e8152cdf5a8567e5,2024-12-02,47300
bni-1a09c9b27223ed047325a36a53245b1b,2024-12-02,55800
bni-58058a583441f831b0fb22c029467685,2024-12-02,84800
bni-851672f296bcf87c79274bbe8cf771ca,2024-12-02,50500
bni-c70b28ffa678bbb993e60c6710f95dc6,2024-12-02,-30200
bni-738baef652df7c3b9bfa3f80a920baae,2024-12-02,46700
bni-7138a5804c3e4d2903dca0569db94d55,2024-12-02,13100
bni-337b8cee8fba4b5f013048ca696f2461,2024-12-02,94600
bni-0f65b15aabb5dee0056fdf4e0a56c09c,2024-12-02,9600
bni-10c0de744539a19af40a74a686a81da0,2024-12-02,67600
bni-df1d5aa32aa48738f8c219c9397f8bc4,2024-12-02,-32000
bni-dcd5fdd779768768a003d816b70b4cb1,2024-12-02,36000
bni-c83a957b93f5fe9f72e774461fcc59bf,2024-12-02,43800
bni-9fd45ff6c594d20d76e7b12e564145b7,2024-12-02,4600
bni-7272d2f450ce612a4ff3a008b4202d1d,2024-12-02,-95400
bni-1c5b1b06efdb7df6de0dd3469aebd9fb,2024-12-02,27800
bni-cb5c45cd4412a90f96584d85399aeb58,2024-12-02,-52500
