BNIUniqueIdentifier,BNIDate,BNIAmount
bni-30e5bd0229fd06d02facfe473ae77901,2024-12-02,70700
bni-f5b6e6cd6099d4db3cf4f27da7f3c561,2024-12-15,53500
bni-47f303530f824781f42b4d46fc3a6403,2024-12-02,-84500
bni-a57a5a5e2a6fdb23a727f31bcef64c9a,2024-12-04,59100
bni-e05eabcfb93ca393af4d112871d817c9,2024-12-07,50200
bni-46a573defaf66c3f406f3d0c4ed1bc99,2024-12-14,55600
bni-1322ad39eca2ca80cb5fc22a445c8f17,2024-12-01,17800
bni-f0e6ef4ff2ed1b12039e9136b34d7bcc,2024-12-07,-11400
bni-d76d9e0841250791e52e4529d0389b01,2024-12-05,75800
bni-e470251ba89b374d5067ee03f8ce3d4c,2024-12-06,57100
bni-5e2063464863c94ee7578445f13fda3f,2024-12-11,90000
bni-224428a5ea434f7eaac0246e238b116c,2024-12-08,-17500
bni-e99a89dc08368d97ac4e90299e7e61ba,2024-12-04,9000
bni-db54af026b79c804d7a2c3f180d7661c,2024-12-01,-95700
bni-c8e6e1883a8ecaff1d13e7a77fe51c11,2024-12-15,55900
bni-5f1bd6d966718f1e7010c20674aa9532,2024-12-15,89200
bni-23929aa844e36a6c304a1282cf468b5b,2024-12-07,2500
bni-f576ceb8800daf465941fae053a890da,2024-12-01,53500
bni-003c43241c765820544a47cf5ef96417,2024-12-05,-12600
bni-c4747dfe2925777cdfdace45f4c5c561,2024-12-12,83600
bni-1ca213d4e6ecc4c8bb7dd3420f8b83f2,2024-12-01,92400
bni-dec1ca7de799ff892394fe3cdaad4842,2024-12-01,68800
bni-2c8d3b7f146527ccbd4948c7f9c3ea2b,2024-12-14,8800
bni-7c6b5edb285abe777a41c7779e72814d,2024-12-15,16800
bni-adf60477fecdb3b37064ca51bb6e61c0,2024-12-12,81200
bni-9ec65894f5c879598ea69eaa6fbfecaa,2024-12-15,43200
bni-91864339005b99f88aa4fc2cc192c1d6,2024-12-15,-47400
bni-8d3ed8bdcd9dceacb8962b28d7d43445,2024-12-01,38900
bni-8cc3eee98d2de767e8f9572d78ff30e1,2024-12-11,-75300
bni-23bef9205b76bbcb57341cd4615067e9,2024-12-04,38500
bni-e4eb34be781eedb8b87510f3832f3434,2024-12-13,26900
bni-2ab46c42e21c17d90d3e5f366d497ba4,2024-12-02,29300
bni-14ef3006c6488d3e9ba95554c5c60e00,2024-12-08,-83900
bni-25c3c15ac1b25f842097f18fa2674671,2024-12-06,-61600
bni-0000e69d81118d34f7995de850ed2c96,2024-12-14,-60000
bni-939bd8be8197b8556e4b1d9f0e0510f5,2024-12-06,-56800
bni-014bdbc1570fd1769227994b2eb4a8c6,2024-12-09,13600
bni-502dbc7cb2ddc5d58e36f8ecc31d1e1b,2024-12-09,-40800
bni-1fa3836c2e7f0dba5177ed35cbb6bbcb,2024-12-08,66700
