BNIUniqueIdentifier,BNIDate,BNIAmount
bni-36739d2fb84006124b752c2d01e46856,2024-12-13,40800
bni-8d2e4898b99d31e68e25051735816a3e,2024-11-16,93100
bni-d81b1a1f6056b9a9f319bd21447e2bd3,2025-01-07,13000
bni-01757b3a032d8c9ef498afbde5996ffa,2025-02-16,-62600
bni-e358c2eadd29d2a71a5d17debba96bd6,2024-10-30,61900
bni-40b5c3248aacc6c7f8485f52d1aae3b7,2025-01-15,61400
bni-56f736bd10b3f6675670772b76d3deec,2024-11-20,-25100
bni-326a110e577f1b4664930733978adab1,2025-01-09,55100
bni-e0ba16325f9e52e705e44f87efb6db69,2025-01-23,47600
bni-f60e9e3d9e648fa430f00d8dd88df6f3,2025-02-12,53500
bni-3ad55b63b6748d5087ce0c75859f2f09,2024-12-11,-64400
bni-31b82803dc881fb3ae8a859c8895f3e4,2024-11-05,61300
bni-c299fb8cf4130f663c7b4be3c8855d6e,2025-02-17,53900
bni-056c3cfce77eab388a8ec6dfdef03e10,2024-12-01,96200
bni-ca18a4011f5e74cf3ce3400bbac27a9e,2025-01-12,28300
bni-de3fffc955b7225a04f4ec52ab30b8f6,2024-12-02,49600
bni-5761d8cc87da0fc6cfbe2a007a07e075,2024-12-16,40400
bni-3b3a5bb88daa35431ce45e330ed0abe0,2025-01-10,20400
bni-c421692499f61baadbda5548b86da0c5,2024-11-16,7700
bni-6e0c191f1a1ecbe76c3bc4d1102fbeec,2025-01-05,8800
bni-828828fb50aea06b50a2111c010c4dcf,2025-01-24,96500
bni-fcc1eb4bdbcd3fb26cbcf9ed9c87fc6b,2025-02-10,19900
bni-4d893b31e466d4b0b069800570e01a30,2024-11-04,58500
bni-aafa7efb0e6a45376ad2f77960df10ad,2024-11-15,5700
bni-14e3dc1e3636aa5d73cec207c21d60be,2024-11-29,25700
bni-b064655c721298c4f7dbfa6eaae1333b,2025-02-11,-75500
bni-6c7c35fcbcd1251919a7f979b492d70e,2024-11-11,32300
bni-f858b1745deb10fe200fc53e9bd9aab8,2024-11-15,59700
bni-050d93d740765f6de2fe9933bb475ad3,2024-11-21,5600
bni-a457fc9196c59d8a4f552a0337780d44,2024-10-27,91000
bni-5c53105991a79aad11a9655df931c864,2025-02-04,26200
bni-17a3001f0efa8e392c408eafc4fbbb9d,2024-12-19,66300
bni-65aaed11bfaaf8ae392847361a1ab2dd,2024-10-23,29100
bni-45f3bfb6b93082ceae246a87ad939138,2024-11-10,37100
bni-198dc614ada4cb9c55b05ab78b321738,2024-11-22,91900
bni-3c4839ee4498378ab601b80364669f2e,2024-11-01,-22300
bni-0ff24cf9f6515ca4df339dcd6c2e7302,2025-01-24,-98500
bni-2d549de5b8aa154f6991b5567fff009e,2025-02-11,73700
bni-0edb34fe3eb4fab9b58c6ce292ee338e,2024-12-23,99700
bni-4d8562f2629a35960b868ebdde72349a,2024-11-17,-70800
bni-ad1e3d78bae9bbcd3c9bc4a661f9e501,2025-02-15,85600
bni-4b87f5e24248f5a5fa3fba54ade788aa,2025-02-10,7600
bni-34e07ab135acb14c476767122f752f9e,2024-11-21,18800
bni-fdcbc5cec53b0ae318231b46b3117707,2025-02-13,48900
bni-381d10274717272df41b215a28d07222,2024-11-14,30800
bni-e4c4a1e92b5fd4a695c4a3a0ab821750,2024-11-17,9600
bni-e3cbc8f2b105478678348666761a648d,2024-11-18,2400
bni-811bcf1f76121803166ae3bc3cbe49d3,2025-01-02,88100
bni-9755b4b8e6f4d82292292d7947c2eb9c,2024-11-08,4400
bni-b8510eb3888e16be01d86238fdcfddbc,2024-10-30,-49800
bni-f12f59c8d89d8c2db47195a5ec660134,2025-01-04,-69500
bni-219fd4699a941551c22e2a9319c66569,2024-12-07,37700
bni-7988476f2f1fd46d7ae772e1cfe232e9,2024-10-25,33300
bni-48d861fed8ed84803e8ec28800880353,2025-02-07,47900
bni-d37aeccd5c1f2625b58007bfe403baf0,2024-10-25,-17700
bni-0df4c6776e41b52adff0371b40102a3e,2024-12-03,23000
bni-8de57416b0fcb2d82889d0b4baf72e5f,2024-11-15,83400
bni-531838561c423da80453eac8242703e6,2025-01-29,61500
bni-d2ec570535dba89e2c77dcd39037b026,2025-01-30,33200
bni-bec371dd20a770c940f2182b012313cb,2024-10-23,54500
bni-1174c0c5fec0565ec39c6155e88e8d61,2025-01-13,93300
bni-98fd78f52ff2d89122bae54836043b8f,2024-12-07,37300
bni-4df01ffce42e4297cfac2ba9e2019f18,2024-11-15,-83500
