BNIUniqueIdentifier,BNIDate,BNIAmount
bni-5c3d07157d8d9990b1b207195da5fbe4,2024-12-10,52400
bni-891121515c5037b1b06718fda8a6510e,2024-12-11,77100
bni-18cfd1441d341d560b18d783da510256,2024-12-17,70000
bni-80a328cc7566e8b41eaec049697b559c,2024-12-13,10600
bni-3704775939e85568424c5a8c48003bb4,2024-12-10,11100
bni-9f8bff62af0e1cdd49bdcf5492d67931,2024-12-20,41300
bni-eda80f52abb21d5ea5bed72aa3452cfe,2024-12-06,15800
bni-b0d67d1d5ae2aabf6682067b7eb75dc5,2024-12-13,-41000
bni-fa35491c445595df5fbda41534ea07b0,2024-12-13,20800
bni-d57659512cd5d2c1ba81afa4bf6ba1af,2024-12-15,36600
bni-8cca03585fdf6ae993f11e8014fd4f73,2024-12-13,-96900
bni-67c2c92e6203e6505cff093d1f289a1d,2024-12-10,40700
bni-0734b58d7881d67cb1ae6ecdf1c9dc6e,2024-12-18,76700
bni-3133fc0b54bd7967789a4b8a246f947d,2024-12-15,43500
bni-c6403a07aff276e5f2a1cf3864bd215c,2024-12-18,65900
bni-ad4275738a79074a6b71615937f1bed9,2024-12-11,25900
bni-c6f5ed35b9f43e7f111992c16156fbe5,2024-12-15,5900
bni-333a370ea1fd00b8f7f4dec35fbb1913,2024-12-09,78100
bni-62256cd4b8cc10971bf4c5dabf135b61,2024-12-11,82800
bni-d9ce22dbd64628c16caf0e92513b75df,2024-12-15,96000
bni-7d46488861f2a35c78bcf6f384bd9613,2024-12-18,58100
bni-d74885359e73eaa25dcbc97cd5f42253,2024-12-11,13200
bni-ea5346750fbbea14faf7c5248e2ccf43,2024-12-06,68100
bni-262a3c4746c8a307d8cbbb2b9ca7f4bb,2024-12-15,-7800
bni-d2b700d6a511637754c5e1f71fe971a3,2024-12-14,21000
bni-c177e982229e384f2c06f381b9ee235f,2024-12-16,16600
bni-6a7ef90f5c90c5acf9923a13383495f3,2024-12-20,-41200
bni-72779e09d4dfdcb420c166f65987056b,2024-12-19,95600
bni-4e49ab539dd31fb6fb6b2e3fbc2a82e5,2024-12-06,17300
bni-9c25d7d3bc66f64b09939ebe30769073,2024-12-13,67700
bni-1eed82f4d0213d6919c4547ed35f49cf,2024-12-18,-96300
bni-12843a2c3d07e819dcccf03794a18c70,2024-12-16,-56300
bni-c26ce98bd62819b7347948c673661bdd,2024-12-11,94800
bni-1c061eb5f9b563066eeb27f2d69378b7,2024-12-09,45000
bni-1e144a58dc2c14b8f244102bc32b0a5f,2024-12-19,90800
bni-a590e98dcc50457713987f4291673f2b,2024-12-16,26100
bni-740484ffa95ee594cbc48795044f2be2,2024-12-07,73200
bni-e0ad9793b431a31c128f662567a783ca,2024-12-10,82900
bni-0fca0d071ca4258227777886d9a2071a,2024-12-15,-4000
bni-e18bf5cbb8ae626988fcb67898eff7c8,2024-12-20,-75100
bni-9ed6facc3f1cef214b65f05e9155c7ac,2024-12-08,-29800
bni-cbd3b69f9d8bc1d50848639578ad6725,2024-12-11,-69600
bni-fe43ab66228c65e3f94c35b23f9e7d57,2024-12-10,43600
bni-53262b48a2df6a66692675269a982241,2024-12-16,38000
bni-57b8cec061a5f0211717a3b4de10d751,2024-12-09,-71400
bni-c18ff32909497613dc545a25b3f2f127,2024-12-07,-61000
bni-25be616678476573b3f41706d7ae631e,2024-12-16,8200
bni-9902e63b031a53c76870a6b46552f498,2024-12-19,99300
bni-263b3597a4cc58e7d0a9f4dd221fb1d7,2024-12-14,-52500
bni-6e22f9b8467dbe780252467ede2a23c5,2024-12-11,12100
bni-e94c7edad92a1ea76bd0e8f33cf01b77,2024-12-12,96600
bni-136bf573eedfe09d69a62384b3d75ce0,2024-12-19,26400
bni-100286113b2b435475ef200bfc77431f,2024-12-16,42900
