BNIUniqueIdentifier,BNIDate,BNIAmount
bni-e9aaf0cb57d7b4484325ccc39c2ded26,2024-12-06,58100
bni-3e44ca5a38a735b76ec24d0566448e68,2024-12-07,98800
bni-d2a71d7effe9ba58c02ecaf948fbddfc,2024-12-04,14600
bni-8ae02451fccc704f1722139576fe1eaa,2024-12-08,-41500
bni-28e161dcc8f6d6cf531e2080138dc075,2024-12-02,85000
bni-347008121d90d105fe2a3e28eb9d8b5c,2024-12-05,-56700
bni-fc4f48dd26377f1d977c9fee52251cc7,2024-12-05,-44300
bni-f68e0e1e016459ac4e0f60e2617d47a5,2024-12-10,86200
bni-f2bbc4fe2fd96b34f8b5e46bc6be9df1,2024-12-04,-8000
bni-3bfbcaaac3804781e696e01cc4727b21,2024-12-04,25700
bni-10f0865d05cc263cb7e3622617c70840,2024-12-07,91300
bni-6b638d428cdc4536d437c43cf939e070,2024-12-09,-54500
bni-aa5bebd489c6d7113fafd003cd84fea7,2024-12-14,29500
bni-4b5cf97036ffdc1f58c07d5f049828b0,2024-12-05,-31300
bni-71ae0c5d437b2f658cb6e7698e8c8ae6,2024-12-02,51700
bni-e6a5fb8844579c3f8cfa3d8f23c0ca23,2024-12-04,77400
bni-9f6aae8d73b3c0566c0106d55488e6ef,2024-12-11,14600
bni-e6d9ba985ef1d512e15e77490102d4b9,2024-12-12,55400
bni-1710207213d63f07159873caaa47530d,2024-12-05,32900
bni-dec494e9e2acf2d6da4fb64340f0e01b,2024-12-09,7100
bni-285fd3c2eba0722d287cea9be086ae86,2024-12-08,48800
bni-8d6890d83ed656c595c543fa43f23252,2024-12-12,68900
bni-3798da5c45493c2972ab33c5ca4bedc2,2024-12-01,27700
bni-a84d0f357cb11ef71ff05b765a6e82c9,2024-12-14,-31400
bni-b57df522e2be3dcc3d4b39aa424e223f,2024-12-07,28200
bni-3af8511fc33f6111f992044c0a71822b,2024-12-05,-95400
bni-6877af452248a2ced19982185687e8bc,2024-12-10,58500
bni-2e06fad9f559c7bbfed3a172db0f6737,2024-12-14,53000
bni-8036013ef1d988df36f7cf12daa966cf,2024-12-13,96400
bni-8432227dc132014f2f87564852a18f40,2024-12-06,7100
bni-84992382a7c96059627cb12b58bc37b4,2024-12-11,62800
bni-b1c52345e0361d1d99fa9e838deb3798,2024-12-12,99800
bni-47c14e92c5c079d42af0c5a769e04983,2024-12-07,-15200
bni-005c726e540d573e86b4dc9359a3bd36,2024-12-01,-38000
bni-bc2b9b4168071e591dcda06b94345ed6,2024-12-04,12700
bni-7bf757a5dd4b1fa799887b5dbc92f984,2024-12-03,40000
bni-865973e6a2f4a656cf1a48d2b1ca697e,2024-12-01,59300
bni-94434e2d0c096686179de86a9ec3402d,2024-12-13,24700
bni-b2c74ac099cb848a1e9fc2cd0103e3b0,2024-12-08,-97400
bni-d9fba57a5b935701c95f4f1e86503cfa,2024-12-08,37300
bni-9416126b210436d2db5e0a8dc44be39a,2024-12-13,-90100
bni-d2d134b54bb4f5a7cf73bfa0df1ab69e,2024-12-12,53000
bni-aec0b71d0ebfd8832564a9319aee98cb,2024-12-15,-16400
