BNIUniqueIdentifier,BNIDate,BNIAmount
bni-c46257bfa18be0a2130d6058d1cab918,2024-12-20,22000
bni-52286ae9f35200d1cfa5af2a51de207a,2024-12-12,3300
bni-ae0c03469ee69962bb32e566b6c46634,2024-12-22,71600
bni-ed70120a08e4f9fe14f8eed270b540d0,2024-12-07,60300
bni-38a0815e5fc9ffeba4a397c189e0164e,2024-11-28,96500
bni-c4a548376d354d34102770ba99bd37f6,2024-11-23,82000
bni-d2d87913ccfdc70baf6fc3f93eb9bd9f,2024-12-03,67400
bni-2d05d2888b346c1d26eac85c1a551d1e,2024-11-24,92800
bni-d5bfdb0f0c6778ad5691ff70fb4394e5,2024-12-14,57600
bni-941632bf5ca4e060f9cd0ea8e0680f5b,2024-12-01,16000
bni-07f36f0f74224fd5824a715692680630,2024-12-02,-2200
bni-5a53c280e8416159f0ef900cddbdcc4e,2024-12-23,-50000
bni-0f7554b0d778b2c8a96a321e904c26a3,2024-11-26,35900
bni-39b79f63c425df9c3f87b67f76a0a0c0,2024-11-25,71900
bni-11c077468d6020ffbebb8537cc8696e8,2024-11-30,60400
bni-abb6ed4208c6b51d4de05ea1fae3b243,2024-11-29,83700
bni-1a665a3f8c7377c452b306560b1141fa,2024-12-16,28100
bni-9e22639ed1f57ae0d4557bd8dbd9421e,2024-11-27,3000
bni-e3b069f856a50588082f703bb7cbc873,2024-12-11,46900
bni-e5e99459c9ef31501843bf4e41ef3832,2024-12-16,-59100
bni-f6e65afb007a868a66c9663b26681785,2024-11-27,52800
bni-7513aa443bd2433941c1ad398d258068,2024-12-22,66400
bni-9c5b8449f479c49dbb122bf9c77cc318,2024-11-26,2200
bni-7682919e6e062ad6a4c2ce0d373fdcbe,2024-12-10,-12900
bni-8c2bbb0e87b5f2c99ac333298f957499,2024-12-07,-41600
bni-60add51b1a2dea51306f8ff964fa3b9c,2024-11-26,-21300
bni-677d783df673c351ce347f3da586f069,2024-12-09,-2400
bni-be4e6584b9c2e39ac08a347d60fa1f99,2024-11-26,11100
bni-bfcf2f97000ff3fd5153116d8f4847d6,2024-11-28,82500
bni-00229e5e81243571b9af7c3c11057921,2024-12-18,33800
bni-800b43292fd83a390ca5e2bcb84c49f9,2024-12-07,80400
bni-2cdd7316ec407fca573a74062b5e81f2,2024-12-11,12200
bni-56bdfba419e14940f4857da3e35d1e20,2024-11-25,42000
bni-e0e9e918e1658f8ec749a54e9dd9c1bb,2024-12-05,86100
bni-42b1e0967d5b69ba92638912d7d9e638,2024-12-05,-44200
bni-42914c5bfdc6f75df7a8617d73c67528,2024-12-08,64000
bni-bc4136a31c33e9ce07d62ed340d5c900,2024-12-10,85400
bni-4978b7d9e0b4b8d94c45ee5ae573b100,2024-12-10,73900
bni-bf2c0dc067e8e57d2c495f0dd8ee2486,2024-12-02,-64000
bni-815d9edfc0e8c9486e30474aae498565,2024-12-13,-25400
bni-1614d38e4d0329171bb3502aef3efaa0,2024-11-30,86300
bni-a02a4e8fef5bdee7fec0bd3b9591cbd0,2024-12-11,86900
bni-cc776ecdd7ef8013aacd345b73529896,2024-12-17,72600
bni-87c71d907fcf7f14d2cdf1467753b04a,2024-11-23,37000
bni-d13013d930545da282393d7b39e00581,2024-12-11,-4300
bni-09ef159ebf7ea72667bac9694b9bc893,2024-12-23,39500
bni-3fa8c4c8446e1c955ea6d993c0a4c992,2024-11-24,44300
bni-e3320eb868252b1be9d86ca4c81566e0,2024-11-30,63000
bni-a366d682f4ac3b0690646a78a325db92,2024-12-02,-57900
bni-2354d20b2a5c3bf0de5b4be35d357b39,2024-11-23,9600
bni-51e54820126acb23313d71c3be50826b,2024-12-06,96800
bni-97354dfc3f5541e2afa7823638fb5dca,2024-12-06,97000
bni-d15b927893e8265c0e89f0a09440f2fc,2024-11-30,33100
bni-b0cb2c518150dcac9ac2301d174bc683,2024-12-03,39900
bni-2471721021d33ad76bf744fd5011ac19,2024-12-23,74000
bni-6d4773a3da082c9af1fd4a5e335bf14b,2024-12-19,62000
bni-c846dbb822e336905457d71d417c3f7e,2024-12-18,54500
bni-9cac276645f0a9a1934c4bd9d8104afe,2024-12-19,-71300
bni-501e14e84974fc7f00d55724493aa616,2024-12-18,-98200
bni-87b7169614a04c6509b31a595cf2c88d,2024-12-08,-49200
bni-85f7faac11fbae9a161902dc3e1171e3,2024-12-14,2800
bni-fa1c24171fde21d1eda812108ab53050,2024-12-01,-78300
bni-7be9d97570dcb4bf6bea5387e542ec4c,2024-12-20,41400
bni-0981114ebfb3a31afe852d62482d3c10,2024-12-22,-74800
bni-78acdd2a882d07617ba39ccb1ed0b620,2024-12-05,-76100
bni-81aa9f8a678ffea2cc9460bad12230d8,2024-11-29,28900
bni-b2f258c410f5339fb631a86056cd8cbf,2024-12-10,-64300
bni-2bfd04ac30ee281096b3bddf725b8432,2024-12-02,69600
bni-dc1f35fb3390207ae2f9c19ac557f0a3,2024-12-15,54500
bni-2510fd56074d19bbaee45c8683338e17,2024-11-28,-61600
bni-177452d5d86b9925a1fc5d160c2ebe6c,2024-12-01,55100
bni-6fd83d6361d7ffa16751d67a16ee5da8,2024-12-12,7600
bni-b2d95d9d301d0e3581d3b9ea8db81ccc,2024-11-26,31000
bni-857cc2ca4196074a78d1e5742af4c117,2024-12-10,-51000
bni-24214ceff33bf96b425d4168ef66817f,2024-12-10,23000
bni-6059e11f86fb948c4cbf4f653146b6ed,2024-11-24,73300
bni-b0bfda94d7d7e6db628ba1102c64be02,2024-11-26,42300
bni-17f45eb00a76eb1f2919c769307f0ef0,2024-12-23,4300
bni-84b581ddd460602e53d08d5fc769d8f0,2024-12-09,41900
