BNIUniqueIdentifier,BNIDate,BNIAmount
bni-44a9074ec665d88b9b7a21eb2b70937a,2024-12-18,-90300
bni-a14c2de44a36e95785e06fcb98639da9,2024-12-17,42200
bni-1d4d6cb6c7d3d68e4ff7dd8bdadee535,2024-12-10,11000
bni-8a32b3540e609e5cb10f58e334811a45,2024-12-17,3000
bni-f262751963f2ab1d5909a9e7a6f1eade,2024-12-19,27700
bni-3e3667b6124e0f9cc9ae114d9d47ea3c,2024-12-14,39100
bni-cb83ac419d0ab723a6492c7d6c7ac5a1,2024-12-12,77300
bni-67aa712d5bc7d8c7743d0319166b45b9,2024-12-19,-13400
bni-534f50b5282c8621ad1fddcea9b06448,2024-12-14,32100
bni-49f39815e22dd930133ab5984c815c72,2024-12-14,34700
bni-b4c1e037431dfb2739e583e4b44096a2,2024-12-12,51900
bni-9d80586350cf8918553e031eab7f4b3f,2024-12-10,-29200
bni-221788c3eba78e344a8b981706764ec4,2024-12-09,8100
bni-51178e6112593f77fd62da778a13e897,2024-12-12,-9200
bni-38c3efa6d19f9caa41ea11861d2f737e,2024-12-17,58200
bni-22d55ff2d353a9d2dd6de046f923e271,2024-12-06,-23400
bni-7fa11aa72c8d4a446481dc6a32c904ec,2024-12-16,99500
bni-99303729062cf80bf896833a777a41e0,2024-12-06,82700
bni-9559d2db181900fcb7ece3c522495d98,2024-12-06,26100
bni-d3287c726854ee5b9ac0724a25343c84,2024-12-13,99600
bni-4949f6027f7a958fc4bf81751a606a06,2024-12-15,19300
bni-5ef00de6cd850661fb4552ddfb54649b,2024-12-07,45500
bni-ee56b4882c040ef9fc5f989aee7d6aa9,2024-12-12,46500
bni-4e8a0358f724f08160817e3f81b9bbd3,2024-12-20,48000
bni-9766519d874d758ff2fdd6baf59c49df,2024-12-06,-57800
bni-0b8f5fc94483f5d0784a6e4af1dfbd12,2024-12-19,43500
bni-3111aaa32e414dbc589b8dbd1dc2581f,2024-12-10,-15000
bni-da78a1151c1c8cc09f2bef1c03803cc4,2024-12-19,23900
bni-bd0e44bcfd2a7b1bf2266339869ba3e3,2024-12-16,1500
bni-f212cd2474d28914b27a35db004ce415,2024-12-11,-33600
bni-9db6cf10faa6efa68fa8e6e03df32bd8,2024-12-09,72500
bni-480d20705e4049268f37153bb1aff4a3,2024-12-08,53500
bni-9985fea25c08954f952a124c4538d035,2024-12-10,91100
bni-75893e0d3450697f245d33d3139b5fc9,2024-12-17,-66400
bni-fb9c868dec5fd2bd1f11d25d8399d84a,2024-12-13,89100
bni-6a0a5eb980d00224af25981d5cfdd4fa,2024-12-07,77900
bni-f362ec7e9f15de845e34fcb5fb623319,2024-12-12,14300
bni-f75b7c1610c28dfd2ab198f347ee2f6f,2024-12-10,24900
bni-1179e0b0e98b80fde6cdfe466a618225,2024-12-09,93900
bni-ffe6555b2f77d26d525964cdcf50d481,2024-12-13,62300
bni-9e484dfc4933a5c53f7431c01d76fb49,2024-12-12,69500
bni-f0e9abc0be92a930d51b099c36487397,2024-12-18,47800
bni-a1afe0cc05e03c3c74a4b1e3bbe44b90,2024-12-09,-76400
bni-11cfbdc95d6445150d1671713b44ec77,2024-12-11,-79300
bni-2d42eb98589b274c503dd3566c8ac2c6,2024-12-20,88300
bni-632ac393c7bc3722ac153e3db5f2cfa8,2024-12-09,50700
bni-e74e1640f7338837893d8e5e725fab7c,2024-12-17,96600
bni-09f33b012445c38bc0afd2f2eec4dbe2,2024-12-11,80600
bni-36abfd16fab4e14fccb94bb60f5aef18,2024-12-06,7300
bni-b7eb19c80e87da2e5635e7fd49669796,2024-12-06,43800
