BNIUniqueIdentifier,BNIDate,BNIAmount
bni-e5c017b33c2bd9b87aae98c7574ff0a2,2025-03-08,76400
bni-7b422b9abac7a628125bc1c6bc7adced,2025-03-04,79500
bni-5f4b1bdf10332ea307813ce402f3d7d4,2025-03-09,-71200
bni-2ae7ec98a835cf75d69ef0584bca67dc,2025-03-14,-36200
bni-dc9f45790c8ad93dea2239b6dbf02a28,2025-03-12,86800
bni-314cb856b5e35eda0718cc8454df124f,2025-03-10,-36300
bni-06e796c86254e335891f2fcb3b7a0dbe,2025-03-06,-55900
bni-2e4cb3a37d30c796eca3e05acd51b356,2025-03-14,21700
bni-1df10f1a36fa7047c45527c3f8a2e4a0,2025-03-08,-62500
bni-923c9f1d6281d5abf18699ec7b139d78,2025-03-10,21200
bni-3f2bc62fd86c5eb3d699131e007e98f8,2025-03-09,-55100
bni-47669ae3b166bf326cc38464627baf29,2025-03-10,51500
bni-1f2c6d5653657990d48d833b6f20d89c,2025-03-12,16100
bni-d3f474f16e53515a5a4ed5684a75e945,2025-03-08,-36600
bni-b47f3a16b199b8e59a252c42f575a24f,2025-03-07,-72800
bni-5c0914ddab786c819e290724b1b0ee6e,2025-03-11,-39300
bni-16a58edefbce506258864ec74688138c,2025-03-06,-74700
bni-20b3689084e1e6e6465c722315311e20,2025-03-10,-74600
bni-33627cb984a638698f24217f8406103b,2025-03-07,63200
bni-aa0f30a7030a4c0dc166131c7a2c312c,2025-03-11,-46900
bni-e14352cc251c44d9e78ff51a69a22144,2025-03-07,53900
bni-d00e34386d27d91880d72dcfeb4334cd,2025-03-07,-7500
bni-5f1ae80d9a18a2af65e3a105ae682bdd,2025-03-13,-14300
bni-47244fa16dae8ec3956e72858f4a1027,2025-03-04,91000
bni-edb939e2c18005ac1b69ed28d0d4a545,2025-03-08,-96800
bni-4b3d71d269ed6ced83121b652753e587,2025-03-08,-27400
bni-585fd8b7ce2d275fe4340fdc02e16cfa,2025-03-07,-93600
bni-435734230abfb235736a6bcb3ea4e763,2025-03-07,5300
bni-192219abecb880867aa59c00f8ccc69e,2025-03-14,22400
