BNIUniqueIdentifier,BNIDate,BNIAmount
bni-55df902bb9ab559a85fb0d149fe29f8a,2024-12-02,84700
bni-a22a3cfa5201d799fe09caa791bf2de8,2024-12-02,-36500
bni-2d8d3aea034b8ea036b2b588d0cf1cd0,2024-12-02,22500
bni-99a6965f2c834db9348a6a2441d9722a,2024-12-02,28600
bni-445e75ef62513752c7d6ab33ebe21f96,2024-12-02,-17800
bni-8fc5873d03750bb39c663ffaf867e15f,2024-12-02,67400
bni-b260491292af7724a95d91a2c2b3611f,2024-12-02,74000
bni-24b53fc445206bf1e3b4b08d85d9a2d5,2024-12-02,49300
bni-ebda1e4981f1973b1a6f0291770883bc,2024-12-02,75200
bni-d15f47b46bd3ce966434d22fc7072856,2024-12-02,-14600
bni-37b0abdf22d6629c4d9a824cd1eb9074,2024-12-02,-35300
bni-12cfc1b9778c2275d11e8094abb04ec2,2024-12-02,45300
bni-a7709acd1df95f83df441a05160984a1,2024-12-02,62500
bni-915bd39e83af652ef5a9747181563713,2024-12-02,36500
bni-d7179d93872bf2633492f007fad5cfe0,2024-12-02,15500
bni-62d9b404922dc3ee9b5df9a233d9bbf7,2024-12-02,16900
bni-543d80c54c4e2f7a868c48e69ae5ebb6,2024-12-02,-73400
bni-29c7d3c45ddf995ee7c794ababde598b,2024-12-02,34400
bni-8a66884258d55e4f511fdc3423dbc88d,2024-12-02,-64400
bni-e6e3e66cc8bc81c482f6d3f321996845,2024-12-02,93300
bni-276bf4c185d5311e9772387f2458e59a,2024-12-02,-16400
bni-e1fca18be621e0e771c875009a394306,2024-12-02,-4000
bni-169c67c3cdc3684b404f3083e97e28b6,2024-12-02,7800
bni-3898ebecca0ca76395188f82f94aff72,2024-12-02,28500
bni-f1c50c6c668309b19d877f46939859eb,2024-12-02,-61700
bni-24292d31324875fd9d44fd83fe1f30a9,2024-12-02,-39800
bni-72f997cd54b21c63793d63e2fd4071a0,2024-12-02,-39700
bni-68b7682faf4c743c4395e6f53e33c6b5,2024-12-02,62300
bni-a44652a9220c13bcb62a99e9b34cf2d5,2024-12-02,10000
bni-34ab5034e414a95e2081440612c08003,2024-12-02,40200
bni-a9937860188a396417d03bc60fe14ab2,2024-12-02,74800
bni-1cb634d21615a589de9b5d54477441cf,2024-12-02,95300
bni-b5bd6c2bb289f32a47396877062d70c1,2024-12-02,3000
bni-849a5506582feb8501786927c1af0a61,2024-12-02,48500
bni-09f1ae9a6b62be86c199916233da037a,2024-12-02,18200
bni-aaad6229be6816f5ccf6d259f20265ed,2024-12-02,14500
bni-401f864d11445eecbc7dfec605095c8c,2024-12-02,-93200
bni-afb6407b77efedd95bf7dbb1d50608a2,2024-12-02,49400
bni-fafe71170fbaa784bffa547a5ebaba9e,2024-12-02,54600
