BNIUniqueIdentifier,BNIDate,BNIAmount
bni-77da016d234d082b53d72351a96f128d,2024-12-02,52500
bni-c6a3970cbd2021fc763af3efa033d799,2024-12-02,78900
bni-0214645d11eec00d4981e3eddff76ac9,2024-12-02,97200
bni-a9184c9950156f5e765f752097190ab6,2024-12-02,-80200
bni-d5a482b2065d57799950119391926a41,2024-12-02,-36700
bni-ea047f1a8e00f9b8281388f92a5daa8b,2024-12-02,36800
bni-10b7acac81e530e8b7fa745d9c87d4d3,2024-12-02,-51900
bni-33b01bd8674822f8529bcef51761df93,2024-12-02,34600
bni-9c1ce31834778a2dfa706c7a0ba90247,2024-12-02,27800
bni-23592236fc9d34af256bdd38a65b6efc,2024-12-02,19500
bni-ded5f35a8b996739ce10970ff6d64080,2024-12-02,-9500
bni-a5be3b23c0c79c41f3bf6ae3adb8cac7,2024-12-02,63300
bni-f45f8fdba5bf27a1618b2660cc57e545,2024-12-02,8400
bni-bf869e3329d9bbc02a27731e2ce5977e,2024-12-02,71900
bni-d06e6a1fe1c2fd7be494e74bded4f08b,2024-12-02,87600
bni-b43cf6d3a615d6b438a046fc445638f1,2024-12-02,-87500
bni-5cc1a27dde2e3f1bbd771df16e470307,2024-12-02,-40500
bni-0f233230f1e8548a4c848d3ee6dfa452,2024-12-02,15400
bni-1cde5ab75274ffadf9b689b5f56f7f51,2024-12-02,44200
bni-fb895a94659e9ff74cd738e8763fc32c,2024-12-02,60400
bni-2c538601ca7c5fd1fc4841bf8ee3e3c4,2024-12-02,75400
bni-6c087d62313cc606eafc4b82688dd5e7,2024-12-02,73000
bni-56c89f84c3d8ad78396567490464eaad,2024-12-02,11100
bni-c32e542afd0a6b22de4cf1292a421789,2024-12-02,39700
bni-c23499890c4cde0520338d42aefae717,2024-12-02,88900
bni-f9b88eff88ba5932e026b6657f623b8c,2024-12-02,67300
bni-957bff7c54c5ec146e0a14269c55482b,2024-12-02,57600
bni-3ea62748bc33fc300ac0facb2be68c7a,2024-12-02,65900
bni-3e7b59c1f8142d69ec875f432099257f,2024-12-02,40300
bni-f9757188ea65429d59eae7752f16da28,2024-12-02,-53000
bni-0502ed75239d4b8d8c25820866b7a7e1,2024-12-02,32400
bni-bd825b9282777c1296e58a9eac50d04c,2024-12-02,66800
bni-475fa92f3f4a236a659d35f3078b40f7,2024-12-02,32400
bni-e61eb5535ff48a49de5159f9cac14e65,2024-12-02,25900
bni-edcb66651e351727d23900a76f3412f0,2024-12-02,64100
bni-f1f95bf3d3fbfb8ebb7ba0862eb9a58e,2024-12-02,3200
bni-80bd854a2633e24062650ee9ce042aeb,2024-12-02,1000
bni-8862d16667226e5670ee6859f0753a6e,2024-12-02,88200
