BNIUniqueIdentifier,BNIDate,BNIAmount
bni-598f0c4c947b9f4408c072b35bb36d35,2024-11-23,-2000
bni-22d43b9d3ae18fac233bc50ccd1034fd,2024-12-05,13500
bni-fff4f2ecc12eed6f9a815b54b2cafaab,2024-11-29,54600
bni-a982cff7d2ad543a34ffb7adda65c6a5,2024-12-01,-1900
bni-91e07f351dc08727f2179176b0ce6483,2024-12-01,12700
bni-d66832c7c81d40d3f9f3e124d51dde74,2024-11-17,-29100
bni-134de7d2ee58779b6c6f19c7346e8a84,2024-11-20,-65600
bni-812006a5c0988fdd9aa135447cb39a9a,2024-11-23,25900
bni-385ba1145ac6d32df5a40669973658f4,2024-11-23,28200
bni-21ea8fb68c3c0ebe15f907b493365298,2024-11-21,13800
bni-18f50656013f8657b0186e629e16abbf,2024-12-02,31100
bni-d785574557cdb370054f56a3dad507bc,2024-11-21,72500
bni-78e8b2bed0695c55b8446aea8ae225e8,2024-11-18,-73000
bni-947e7d6337cacfd5871c529225d49180,2024-12-05,-59000
bni-ebb5d648618d65ad6df81adee22ba89e,2024-11-22,3000
bni-09169ff6a80ecead03412962a72a86c6,2024-12-10,72700
bni-a07c692e58fee265dbc90c05ca9ac128,2024-11-20,10600
bni-d9139c958960e448b190c1433beb3b36,2024-12-07,97900
bni-f2acd794d1ed60b964d6a94c668a20a8,2024-12-13,53300
bni-acda8ac79afb18de827001e1b850ab24,2024-12-01,50600
bni-e35e5e43fc2e5a3ad5c2ae9ac9ca89c9,2024-12-13,-30800
bni-219a4cebb98c0fafbb00b0d83956ce32,2024-12-09,67100
bni-93cb26aa37969d7d7a746b07538b80e0,2024-12-15,94800
bni-cd39f7d6a83cb0638845af2633d6cf76,2024-12-09,80600
bni-2d5c7a4010bd9390262dab1a0bf4c76a,2024-11-26,15800
bni-1f454d901b3de9b4baf010a514156c51,2024-11-24,23300
bni-ea3458385c43d4e0cb9e657178b342fa,2024-12-01,-16800
bni-a18ad76f7598a16656ae46dd7e27281b,2024-12-09,70900
bni-bfe64732d0e1d1a1d3a26eab8da7be41,2024-12-14,52600
bni-ea2208e48e04518bf46462dc3898c95e,2024-12-03,46600
bni-0eb198c4cc4a059ba1dbbe21496c132a,2024-12-17,-89500
bni-377f4174259f2c98985a37a4c8ea5599,2024-12-15,34300
bni-1259b78f82173c69938e0f9e7ec89412,2024-11-22,20900
bni-21d98c3a74c412a10f973743ad4e0f57,2024-12-05,-3600
bni-9fb9c144a56752b328d9fc0210fb26dc,2024-11-18,-42500
bni-9bec669005d4cdb69f707fb89baf498a,2024-11-25,4800
bni-0d32d506e7ef1582d8a9560872058943,2024-11-24,89300
bni-51cee3583b50afc5f43c1a54c84d8d00,2024-11-26,-2600
