BNIUniqueIdentifier,BNIDate,BNIAmount
bni-bcc226e440b50eb9ecce1a452e9540b8,2024-11-07,9300
bni-63eaa3328c3df1b7760ef07dbde238a1,2024-12-12,34500
bni-3b5d36fe8490b19aa9cee1d7cb6ccde7,2024-11-12,-92400
bni-7f4d13185c68e61ffef1af8f2cce0a35,2024-10-10,62000
bni-6c05a44b8e48c3997e810c900368350a,2024-10-24,97100
bni-193623e11fbdc3c06cdb921b8b84a4a2,2024-10-05,84000
bni-ed8e25a42ef5debd85dc560e72771db7,2024-10-28,68700
bni-0abaa1c0f6024da73d499363c2e78c60,2024-10-13,-52700
bni-5b4b8e4f9e95a9038aac03aa4a7401a7,2024-12-11,31200
bni-52b9eaf3c3ce56931572f07bddd0c15f,2024-08-27,50600
bni-ce11def5a512b4e6f8371d4fef4d8a4e,2024-10-03,26100
bni-21886d2ef8e60dc336793097a956d1d4,2024-11-29,12000
bni-fdfb4c5db2429b17ca99923e13962aea,2024-09-27,58700
bni-6e17adb0f4ea23a836d05affa64696e9,2024-11-23,97000
bni-1053a6d4d771325cf57ecc846c3fdc41,2024-09-09,94400
bni-97ea8d8a471fb312cc89c4c12f7a4c9b,2024-10-04,-27700
bni-e0794ae95b659fcfa8728de93930a2f0,2024-09-25,29600
bni-34bcb153dbe9804f0555821d5f79f52d,2024-10-10,94400
bni-3cc73831949f3ce7b36e98ea8ed2554b,2024-09-09,-59500
bni-771785fc9b7416e1f553a7b457afc99a,2024-11-02,86300
bni-f25b32d88556d63058b5d90ec0d522e9,2024-10-19,90900
bni-ff79dba961daf00638f450cc10f6eccc,2024-11-09,64300
bni-277438093378b28131e4c3ce12368a40,2024-12-18,78400
bni-a8e2649efc2978d44606868d8659c8ab,2024-10-15,10900
bni-3ed8e8872b41e548adc3deafbd4d3831,2024-09-24,14400
bni-a89ef01b2eca855dfc43d676d33c5551,2024-10-12,80100
bni-b241bb7f1993b85d3859cfcb170f17dd,2024-10-11,97900
bni-594d9ec74c22160d2f449ed206fbdc6b,2024-11-02,19700
bni-3aed402bd21b8095c1deb0281872353b,2024-09-28,77600
bni-5fc3b9f47cb538f23156a7d9a9d1fd19,2024-11-14,39800
bni-b7fc8491481240fe298808faa67ad18e,2024-12-23,72900
bni-34aab885e9233e2a2f0d9ed79518e2f2,2024-08-26,25400
bni-96cea7a59e1ca471277d08338ad30932,2024-09-05,-68900
bni-ea551fcb1476382cd7aa7ee56953265a,2024-12-17,-38700
bni-855a1ce44ea807cf77ae50f865315498,2024-10-24,-52800
bni-b0bbcb03a2ec39ed307fd7d781067b0b,2024-11-09,14800
bni-fb4b0d4aba95ad4fc090295b519f42e8,2024-09-24,85100
bni-b400ced52046adea25f4897caad1c8c2,2024-10-14,-48200
bni-b2de0b5c1a9f3dc170f2a8cc92945cee,2024-10-06,-3100
bni-6a9aea47fe7b9191b7bb144aaec7c008,2024-11-18,-51300
