BNIUniqueIdentifier,BNIDate,BNIAmount
bni-4964eafe422d08c89d1c56ecb4c21dd1,2024-12-19,-1700
bni-40f51bcfc62dc6320d63f83f3e192e55,2024-12-19,39500
bni-0d0d4ff76974f9839045754d94a340fa,2024-12-19,61200
bni-090c1697aa110aad67ae48d744f59680,2024-12-20,76700
bni-7e0343c282c1cc61713ede8597dccb90,2024-12-20,89000
bni-8dc0998f2b4561c5d47a69923346baba,2024-12-20,15800
bni-25d42656e08d4432ab352bcb980364ec,2024-12-19,66900
bni-17e15d9ffe29603c0f86384e27031204,2024-12-19,1400
bni-c8696c5f1b8509705f08644bd9270f4e,2024-12-20,90300
bni-607305d2f3e7183eeaff173d35840a6e,2024-12-19,21100
bni-4e3434e90efb72f00cf2d3c7bfab99e1,2024-12-20,-67600
bni-7bac362e14a97424afb8165f6aa23156,2024-12-19,-95300
bni-ed54decbcea92f89e29a080374ea5f5f,2024-12-19,58400
bni-176a1d3b099f0c23c5f433dbc2b2b037,2024-12-20,89300
bni-d77751857c03d8748bfa5c59680961f3,2024-12-19,75800
bni-9c07d15cef607b8d8d89c7eefbd988dd,2024-12-20,64200
bni-7340e32a61b2e1558c618b5c007605b1,2024-12-19,9900
bni-4f1ae34041afa2c8b8eeea5cb55a561d,2024-12-19,98000
bni-153f058a97945523070e6e1b87baedd3,2024-12-19,20100
bni-aaf380b4c8d6454aaa427bc89e1dd52a,2024-12-19,98600
bni-8e7925ac6659808da589b556d93ee5e4,2024-12-19,40800
bni-74f03ed1fb65a3ab155e77b3b329898d,2024-12-20,93900
bni-761941c6bc6f1ee0e09ac8f1f1d99d73,2024-12-20,14800
bni-310e66961cc5bda93bc7d265ba2296f3,2024-12-19,34900
bni-a95fc4daf229b736671c15d2712bc1c0,2024-12-19,41800
bni-1eeff8036301f19f8350075c1aeba5c7,2024-12-20,48200
bni-b56b498aefd14092955d667695248328,2024-12-19,16400
bni-7badd745d2eb8cca38ea59b89aeadd6c,2024-12-19,15400
bni-50500b72087d3bd16e0c767b108fbd11,2024-12-20,70500
bni-c658fbe13c4a1316b02268ce979d7224,2024-12-19,-55400
bni-2782102196d1afa14d2fbf07b4fcaebc,2024-12-20,-71100
bni-696f1cd47faaf3de4808c8a03168fb3a,2024-12-19,7400
bni-fb85ecb54cf654ace0dab3204d5cc0d5,2024-12-20,5100
bni-addee7e544f887028e06c6152a22319a,2024-12-20,46200
bni-06c368644e53a67f64c383960ef0b05d,2024-12-20,-65600
bni-e2fb681b48b8300a17d0a921ff86c0e5,2024-12-20,-28500
bni-771e8e3773d76a7b74df791f0d1fe52d,2024-12-20,31600
bni-7dc6b7309471ec0279100fb465d3d037,2024-12-19,78800
bni-9a8afd85a0297061a1a703764a18da8c,2024-12-20,65800
bni-18a3315b3a20a17f6d4dc47917c6ecbb,2024-12-19,20600
bni-7f6336772a1403b3d57cbd6fdb899879,2024-12-19,48300
bni-fd2f997dacce25fe93e747da75b6d997,2024-12-19,88600
bni-0e012b2f6190f81b3c5414fab398f72c,2024-12-19,85600
bni-e6bda1c7f60b962ef42562f1d3461ae5,2024-12-19,14800
bni-78cb98babe55792814ce2e09e5e17571,2024-12-20,63200
bni-9fc5f0edcb12de357a9480faed1c2782,2024-12-20,97600
bni-c0d3b9122b1e6d003f040b2bdf668990,2024-12-19,47000
bni-1679c94aae1da3416b33a4022ddaf713,2024-12-20,20300
bni-b3fde1f28047429cfdec0cf12c229c92,2024-12-19,38300
bni-10a7091fb4eeeef2d310359ad17c0424,2024-12-19,54000
bni-4421856e4ca3023e343deaf26c3a930b,2024-12-20,92500
bni-60813621e80d9bed86e2bf77002b891e,2024-12-19,26200
bni-c8e66f6961276eb8ae5d838b2f77a99c,2024-12-19,-8600
bni-176c712932ddd03fc1309df0f0af0fdb,2024-12-20,41400
bni-a4c0a83bb9ee78348b450be8ca4e7dc4,2024-12-20,84700
bni-1645fc6051d71aba8eb843a5295468d3,2024-12-19,41100
bni-b59cb9cd66de1f24481eb95dfd0a3092,2024-12-20,-87200
bni-655392fb8fdab656beffe9b472637057,2024-12-20,60200
bni-06b4c0c1b8467af737e734d4b3313412,2024-12-20,9200
bni-3c4394ed63338f192df40f9b0a30ce4e,2024-12-19,23700
bni-c0f80b3f21d49af60ae22cf8fe7a5dbc,2024-12-20,10200
bni-ea17485799b47eac1102ffa2267faffc,2024-12-20,96000
bni-3afe40a0d926e82c38c63517677e9c56,2024-12-19,38500
bni-b24fd4e92829ecda7c1f5b40bd65f9a0,2024-12-20,36500
bni-991f249132a7dace2d9ae9c1026f3f14,2024-12-19,36900
bni-682d1cd6f3e61bf3b082e91e9998a694,2024-12-19,-1200
bni-f294426cf73023166249cb8255ec679f,2024-12-20,77600
bni-19825d96df62a63a1ecf9592f5cc26f2,2024-12-20,41600
bni-a718e00678148188c263ae09a01f05a4,2024-12-20,64100
bni-2b6ab02bc9a3421b4a274066fea4075f,2024-12-20,60100
bni-9466099461d1267394559d7dc4b66659,2024-12-19,49500
bni-abecc875cc23d7f7cbb17bcde3711e0f,2024-12-20,13800
bni-582315b6b1771b7bcc789b86086b44b4,2024-12-19,57400
bni-d0ef8d059035ef09976ac256025c484f,2024-12-20,-15200
bni-693d9610874555e2ce9f38500dad378d,2024-12-19,18800
bni-ffe1eff28fe451dc7388a8be854b7e2c,2024-12-19,49600
bni-351fc161116f691b232b99e5ea579866,2024-12-20,42900
bni-4fb194a2a5318843f91dba695d89abf2,2024-12-20,19400
