BNIUniqueIdentifier,BNIDate,BNIAmount
bni-4fb5edefb8412938eca2bef6ec5c31fd,2024-12-02,-74300
bni-76725e8d6dd1fc122788fd57e1b77602,2024-12-02,-93300
bni-1c7f5e00607ac75c31d23ce0ea95eca2,2024-12-02,94700
bni-3ff6a916d7a4739caa97876990d85646,2024-12-02,24700
bni-e3b71d6e06475e5af74f594b612a30c4,2024-12-02,65300
bni-1dadb33396046f66860a623413b5dbe6,2024-12-02,54900
bni-a3f43c5252c54825af41db239072275f,2024-12-02,2000
bni-095e8b96f55d4edbd7f727f669c8448c,2024-12-02,71300
bni-773e1f47cb70a3f2f93db1f71b55425f,2024-12-02,69000
bni-ad2325921ec936450c0e6a2b70dd5bff,2024-12-02,78600
bni-674bcf74ed25640d0fcf4b5a12d67b84,2024-12-02,63200
bni-d548bd9f3301c44f4b2a41279f16cf07,2024-12-02,66900
bni-16641a198fa07ecaba817fafa4ff6ce6,2024-12-02,80700
bni-d9367a9e5c525d9177fd9b679c0ce816,2024-12-02,67700
bni-162bf075754e1fcc8badd62c323bb6c5,2024-12-02,48100
bni-ad4980dd06acb2ccf756187dc042949e,2024-12-02,-21900
bni-dbfedbb3cf42203a2f30e7d9c922751d,2024-12-02,75100
bni-3157dba96ee8bf725d6a4f33807d27eb,2024-12-02,56900
bni-9f1335333077cc2c9d498f75d913992f,2024-12-02,43900
bni-4ee18626240e34670c3b9d8564e6e500,2024-12-02,54000
bni-044e26e1f1f825c72c1f7e8f24c53ddb,2024-12-02,97800
bni-18adf850da8bea2544fc301fc6f6bafa,2024-12-02,15800
bni-48e91b74ac74f84e39987f8575781008,2024-12-02,82500
bni-36dc35b74cf7bbe1df56a7b3bc3594f3,2024-12-02,27000
bni-44335ad675b76cabdb40e968c4fdf92f,2024-12-02,68700
bni-e387d462cd25d510ba3850169159f028,2024-12-02,-35700
bni-c72b9daf54f9e145086e82041bcd7822,2024-12-02,-22200
bni-934edd0dfb0e4f158d15b8397509c38c,2024-12-02,-61600
bni-093d4a578f67ec3cf9bf1662a0427e8f,2024-12-02,23700
bni-462b354ebce6bc320c627af7a2465463,2024-12-02,20500
bni-b2927db15fc2bb3f8f7f69b1c98cdb3c,2024-12-02,78900
bni-0bdca759057c075eb3bc8145c867d6d0,2024-12-02,56900
bni-34f87ae4f5f0a66598f510793e2de7f8,2024-12-02,-25900
bni-4875c712f77618eaa5b8cc8c0e8d66ea,2024-12-02,86400
bni-51665f8b03a43fba42064174a8fe828d,2024-12-02,-5800
bni-10ddc4c133c20e71268d8ee33ea32cdf,2024-12-02,27200
bni-53ed1181984a1b65a994f505e8bb7a9e,2024-12-02,47600
bni-dc5358dcf7cacb156d5a9f7b1a0bd370,2024-12-02,47200
bni-0c9396cd6e264fae8c7dd41bf7ebf6b4,2024-12-02,-34800
bni-68921d1277a3e8974b8f29fc573ff1d6,2024-12-02,83700
bni-1a6adc11a9dcc8be11ca465a4f0ba57c,2024-12-02,-94200
bni-5db201f1234f71b4e905343f0226c567,2024-12-02,90300
bni-4dd2d2d8cea9f9d9ec96dfe227d37c14,2024-12-02,-99900
bni-47cb86bad362b85c9a0cae2fc4d62afd,2024-12-02,73500
bni-e13f25ccef70c7366a9315f2f3361ee1,2024-12-02,96300
bni-69c272874a4428fc64e58378fd2aafbe,2024-12-02,-32800
bni-c8303d2927b50a25f924bfef08eb7dec,2024-12-02,-53500
bni-8f9edb6303f3d242f6fad3abd195d1a6,2024-12-02,-88200
bni-4e218f72488012e69fa243f26d6095d5,2024-12-02,-70900
bni-e8c32b02ac48f4bf9df74805cc57c89a,2024-12-02,-37600
bni-892f7cd32846edc5eeb5da253cc05499,2024-12-02,14300
bni-ba173ba74ca3dbdc5dcf99ddbc3feea0,2024-12-02,55100
bni-6fa0a922dda93802587e85416991a672,2024-12-02,56900
bni-a7308673159296a21aac26ca3c8334c2,2024-12-02,82100
bni-827aebcb5e8eda1d227eb54a7f5c59f3,2024-12-02,56400
bni-5892d300c4e42c9b8cb7b64b06da4843,2024-12-02,-37800
bni-228d4ab46f66806e5a0a324e48d3f144,2024-12-02,3400
bni-b24805809f7b53b6bb7b5da440078ec2,2024-12-02,34200
bni-3d3cd00b6ce36052544582c5bca086fe,2024-12-02,20700
bni-6d39efb6c091f3b4e87764fa999dbb21,2024-12-02,41400
bni-76207c4a295abf6fa1db62d5bbc2f0fd,2024-12-02,76500
bni-f8f8a33a11c1adf158f9ce0e5787a345,2024-12-02,-35700
bni-016261f8f8db3a95b2c8a7b000fa9677,2024-12-02,-83700
bni-eabd213f423871bc5621b74ba37fd229,2024-12-02,-33200
bni-3f3adb221f6f78cf411c076937921a7c,2024-12-02,26600
bni-49cefaed1d6a1b1593b6679d6d1322db,2024-12-02,85500
bni-7c8885f6fc8dd442995834a37f8e90fa,2024-12-02,57200
bni-a272cfee74a62907d58f9c8135179781,2024-12-02,82100
bni-804dc009e998748e306ad49fedf0e9be,2024-12-02,71900
bni-a07cde5d8929486ca001ab4a5583835d,2024-12-02,-6000
bni-7f6831acd86724f962af534285dfd720,2024-12-02,90100
bni-b23cc3da7c0b53718a171886e75331d4,2024-12-02,-72400
bni-a1a082b39e516313b409999c96f21ef4,2024-12-02,69900
bni-708ade6b7b3a1c20d4f3fb12f1db15db,2024-12-02,84500
bni-fce3850536edbc2ade2cfe5a51c153f6,2024-12-02,-34900
bni-f192bfb55fbe64b7ee0e211c8b438d45,2024-12-02,2900
bni-1f405d8d3f119570ee7719cffcedf7a9,2024-12-02,-45900
bni-802a38037c79c3b60c6895852b2a2bbe,2024-12-02,23100
bni-fc91003a9e92f989308b6a5de030fa49,2024-12-02,47100
bni-b6f0299e7bc3c7a9b0570f093a53a2aa,2024-12-02,41500
bni-bf88cbac337766abc2959c7b1307e153,2024-12-02,82900
bni-aa6c952d8f2d70115f71f4d84ad16729,2024-12-02,13900
bni-1772222e7194b2f0703008b523a9e383,2024-12-02,40800
bni-61c28b77639df8be3ad6d4eb3ff95b9f,2024-12-02,-12900
bni-6f30286b86614360d5e187c25f927699,2024-12-02,64300
bni-3206e45843e28e3f7c9d8b9b73fec155,2024-12-02,60300
bni-d64d3df81ce1547d4de551755bfb59d5,2024-12-02,94200
bni-e38ae9b965331f431c7644405a04601f,2024-12-02,77700
bni-44c743510991018f4b81b0acc1c399d4,2024-12-02,86800
bni-8aadfefc531300b87c8157870234476c,2024-12-02,38300
bni-cbedc04110abf6d7252889b947051d04,2024-12-02,5700
bni-37852f99a00f0137e8ce3845d5afb408,2024-12-02,-9000
bni-143a17920b78b8c8d63844db04916aa9,2024-12-02,56500
bni-9d2ea40f0206a82df52b6314fa32f205,2024-12-02,92600
bni-7deb030ddc2e773a954c4bd36692d3a5,2024-12-02,41400
bni-93f90ef0555e34e271adab777b1cb4d5,2024-12-02,81600
bni-9dd6124df6df43d19a2a73edf931b89b,2024-12-02,-21000
