BNIUniqueIdentifier,BNIDate,BNIAmount
bni-994b153c84cc651ce8193b69d97210dd,2024-12-20,-80900
bni-f720f9bee5ce4b57fc3bac203f6603b4,2024-12-20,-17900
bni-4fd83ef6f27063db25bdcfd0e6b3b379,2024-12-19,-59700
bni-2f717bc8afa1a1df9edf609d127c2cc3,2024-12-20,16500
bni-0c058c61158b4761858d6f9b506e586d,2024-12-20,6000
bni-c7ebff3f992c697c3ee3f7d77ff4a802,2024-12-20,63500
bni-959d6b22c1f55ba1e450165956f61e78,2024-12-19,27200
bni-28a929fd0e92441bf8992d7719f5e59f,2024-12-19,32600
bni-d451d74b6e7143ecccd664424f414213,2024-12-19,48400
bni-c9fc1976ce96dac94d4ff945eef7322e,2024-12-19,45200
bni-5b4723d0da04dce88362da1674a11eaf,2024-12-19,26600
bni-76fece723c9ac5552c8f1273df335e80,2024-12-19,20800
bni-9c599b14baf8eb3fb976d149008332a5,2024-12-19,58400
bni-6a7de5cf6175785859aef7ab18de4806,2024-12-20,-22300
bni-fea7d5488988d1941971ab2f65a1c758,2024-12-20,28800
bni-a2c952ccbe8a2c19896d7ec63450744f,2024-12-19,90800
bni-e0c64c48961822f10fff76588c2f3b6e,2024-12-19,-50800
bni-1a5530b42a80149b010beabeb86aa985,2024-12-19,-80900
bni-882a96919bbedbf7f9af65104316ee68,2024-12-20,-95400
bni-6092cfb218a7a1083d50d00a6678c9f1,2024-12-20,66500
bni-a377e3bd3984e963ca130e563a3c762f,2024-12-20,31900
bni-93c4f546f786aacbd2c57db7fce3d0e2,2024-12-19,36700
bni-87d5106882d6037ac23f0896af0048f1,2024-12-20,74100
bni-0a65beff9a3b8adf72392b273c386e88,2024-12-19,61000
bni-68d6fd4515c03a51594a82fb4f2c0f38,2024-12-19,-64700
bni-79d6ab41bf415c13c09b2005ea8a3e84,2024-12-20,-96100
bni-20e1ebb4fa33d8a4983132b5123d923b,2024-12-19,70900
bni-23c51fc808b36c9db9c79f92c97d0390,2024-12-20,-74800
bni-f82559cf764b10dcca120ba0a40dad8b,2024-12-19,30400
bni-e40ae55ee6f039ef64f7bebba348b42d,2024-12-19,84000
bni-7fe86ebc3fd37c14a3941191319e701a,2024-12-19,30600
bni-0339f7edd0d91601045608df0d4978c7,2024-12-20,36700
bni-3057b5fe4b998073c6953b0fcc218afd,2024-12-20,-16100
bni-4c9163357bef1698f5d702ac51bdc375,2024-12-19,19300
bni-44d3783c30e6b4ce3f75a63ea74a39a3,2024-12-19,84100
