UniqueIdentifier,Date,Amount
mandiri-792bd26456b9ad58576351b5e2c215bf,2024-10-13,45700
mandiri-6b1cb40db89201c21a38b8144d39caa1,2024-08-21,-47100
mandiri-df1e889d639a6e80b8a5aa0a6a3b50e9,2024-10-16,-71900
mandiri-47a749bd9ff80dda541a95873165533a,2024-11-16,-66200
mandiri-fe00d2fbc374df0303c02c702f5ae4a8,2024-10-04,61100
mandiri-d51c54289c533d11e2d62b5a16f3198f,2024-11-05,83100
mandiri-d98812431a37dc5d13488924572e21e1,2024-11-05,5100
mandiri-5894eb503edaf1a499d6527bdcf83e50,2024-08-15,55000
mandiri-26dc1af07c37a2668657155e50361ffd,2024-09-09,-7900
mandiri-dba2460b134e2fcb9a94fede97fb677e,2024-09-15,34000
mandiri-d7a9b37720a4541f3bfbf086ede05614,2024-10-14,-59600
mandiri-dbe791c20953024fde6adb0140f33df0,2024-12-04,95000
mandiri-7b06a61548ab7a35cbccf4780e38631f,2024-10-02,-8600
mandiri-fbd3e821057c9cca42640fe878d129fe,2024-08-20,71500
mandiri-f7bdaee7aeec3b65eb066b2ec6ebc81b,2024-08-28,7900
mandiri-b015b09665a15d63c2773781bf1966d4,2024-11-21,39400
mandiri-a997040d3a52128842ef8686f52e9410,2024-11-25,-30700
mandiri-5af59ee47c07485ee37319288ca3714c,2024-11-10,69700
mandiri-697a877a8a9ef7c66bd2bc34c371408b,2024-12-02,86300
mandiri-079d5174340d8a6b09cf45b1c5e2c120,2024-10-12,-25300
mandiri-7cee86f14167a8e0e4f0d13be7e2c5d2,2024-10-22,48600
mandiri-41fe76af0c2714156b3c010757c74610,2024-10-23,73900
mandiri-45e01c6a1063b38208aeb1aa2a752a67,2024-09-05,27200
mandiri-10a769af465ff2ad5919296554b92f99,2024-08-27,92800
mandiri-ec652482612d08cbe9a8aa6cfcc90c96,2024-11-28,2900
mandiri-c64a1afa095e80c0d00507d210bfb979,2024-11-02,27000
mandiri-c2233d7c40a6d8bd2fb3760a5d9084a7,2024-12-04,24500
mandiri-5caa9f0a4e98f795e004f94423371c94,2024-11-28,-65500
mandiri-a5c3c54f3136a8ed4589be3695291119,2024-08-28,94600
mandiri-92187c3549de13147079e0046cf0f754,2024-09-07,78800
mandiri-059fd8bb38fbd145a3451a0a6ccb4149,2024-11-04,96700
mandiri-f696375aa2e487edd3082ffd42c2883d,2024-09-29,65300
mandiri-df3ca145aaa044bb9686f3ca9682545e,2024-10-19,67600
mandiri-04e4800961d6f10e2efda67893ceb47a,2024-10-14,-67400
mandiri-ab22380bc13e6b4207629366521f9c75,2024-11-07,83500
mandiri-57c49431ec3d2d0dde7aa1ccf50d07d5,2024-08-31,-43200
mandiri-853f2c7d08fc17a028a1bac3cdb35244,2024-08-29,-66900
mandiri-2ac92c517ae10ccdeccf6f028e9e7512,2024-09-07,17300
mandiri-015344b39c62d9ac411a6c206e92d9ab,2024-11-21,11900
mandiri-0f23b26784d211bd6a38e7ceebc4c414,2024-09-30,37900
mandiri-9c1db50f2b6585b5dacdff7970bb3b79,2024-12-02,13000
mandiri-e8e3d99cb37d1c516ee7abb539e8a22f,2024-09-27,6300
mandiri-90e81e53ccf4b316849026f3e0afe514,2024-11-01,51200
