UniqueIdentifier,Date,Amount
mandiri-6ac483c2bb79184ddbae10290c47f981,2024-12-16,4800
mandiri-54f09a3881e1c683543a713a90c7e5ef,2024-12-17,48900
mandiri-613f0042aa9844d4367cff8f706456c5,2024-12-17,26400
mandiri-bac1f662aa58ce5193a8691e18107672,2024-12-17,94600
mandiri-9870bb70d02d730e7a5e285f2056ea85,2024-12-17,-29500
mandiri-399b43e322e450a5182b1aec9192cd8b,2024-12-17,16200
mandiri-b6b95a4bc51a3a41f7b035d57a574b5d,2024-12-16,27900
mandiri-f69d46a52b489152ee9e3cbcb426ea9e,2024-12-16,-76100
mandiri-5630a3a9104c75296ca0a54d157c6ac1,2024-12-17,34400
mandiri-2b17a5564fd022882158ae1bf08429d2,2024-12-17,56300
mandiri-6cb2208634f52b3fb8a242497deac37a,2024-12-16,85500
mandiri-6df4eb0c9a4c176ab13ae58204ef8b23,2024-12-17,99100
mandiri-cdd5cab073e56195ce12795837ed58ef,2024-12-16,61600
mandiri-73ca5d8ff5a02a73248c8d3993880b98,2024-12-16,79600
mandiri-a8002e9bd455be36de8aee1f172c019b,2024-12-16,91000
mandiri-06403bc1c8e6700f5c71b750ed3ef3a4,2024-12-17,22300
mandiri-2db3597d2eb9de9b15bbd9ae160d39df,2024-12-16,-2700
mandiri-b6d21de72e92d42609c648e4d61100ab,2024-12-17,2100
mandiri-8bde510623d45ed7256442665ab9e7a3,2024-12-17,13600
mandiri-ff5561aef2ef8381c54b61a0843da9a2,2024-12-17,48500
mandiri-4d1f98e2e7d0ec2c0785ff8bb88f65d7,2024-12-16,23600
mandiri-0f29da36fbdc720ec36fe5c119597fb4,2024-12-16,-72100
mandiri-d6a1ae00cedfceafd532c946c014437a,2024-12-16,-95300
mandiri-64a7a8c86bf77037d614e7249b081527,2024-12-16,26800
mandiri-3975031128908377d99315147ea4fd5c,2024-12-16,5000
mandiri-3bd7fcc5758d85101a0d4bd3d1153885,2024-12-16,-79800
mandiri-d6e86c19c2a3e277e525723ba91db4e9,2024-12-16,17500
mandiri-f2dd4ad44e4b6f423f930e8ff3982af3,2024-12-17,-59200
mandiri-e469d2c9cd0a9267be7cf1af9ba75789,2024-12-17,63900
mandiri-88b95fd87b90818fd92cff1bce166761,2024-12-17,61100
mandiri-f6068805e61289da498f7a6810c44124,2024-12-16,24600
mandiri-51e4f9a38591fae30c2922d634ef7ce8,2024-12-17,-30100
mandiri-e38eb3ecb5ee938133261d47e9d52e9b,2024-12-16,72800
mandiri-47da7ffbf5d97d2f36a7e47a9e8fc2a2,2024-12-16,-58500
mandiri-6d156cd712c71ee4a53fd85e7721cd06,2024-12-16,-99800
mandiri-e34a6da9e47ed1e09a0763df116bb4b4,2024-12-16,71900
mandiri-f08df88de1ef12c8ebc1f0f17524217e,2024-12-16,39800
mandiri-3b2589935f93ddc36df97553fd5075de,2024-12-17,10600
mandiri-a272f81de46baf9eb3eda3790bf50ae2,2024-12-16,96200
mandiri-76a9ac02b36dcba15e10134b26b1c26f,2024-12-17,68200
mandiri-b19316b249921623cfc423310da0acf6,2024-12-17,25500
mandiri-ed4da63b9ebc01863f771f4ae7f3b9c6,2024-12-16,-35400
mandiri-ba7f34344b9c673ccdec552f8f025302,2024-12-17,61100
mandiri-63197321fff9503ff88198143961de42,2024-12-17,26000
mandiri-fa182982cfe88d5263f7fbb35687d3dd,2024-12-16,-80900
