UniqueIdentifier,Date,Amount
mandiri-ee85a5c78de8938c652a21c5c068b59a,2024-12-02,87400
mandiri-3720dfc6265017ea600097aebb294efe,2024-12-02,69200
mandiri-176b34190b9d2966a4e924a8bc9cee11,2024-12-02,-53100
mandiri-f9723f91547ab866c953ea14011f0c08,2024-12-02,31100
mandiri-c180dfc0ac4ddffff7222473becfc49a,2024-12-02,90700
mandiri-0d76f3674c54a3fde366df9ea3fa1a8e,2024-12-02,84100
mandiri-f76b515543326501ce4e8b28a8519888,2024-12-02,1900
mandiri-619bd8e1a0503399862a0e5d7de74fa7,2024-12-02,83600
mandiri-93b74b0660d3a73675a7b41875769934,2024-12-02,68300
mandiri-95688e2cc681f4e2391f2dc35fd3906a,2024-12-02,-6700
mandiri-3d10ac594b5b84e44f221121092ddd7c,2024-12-02,9100
mandiri-ae29aad0509003c9819cb71553d3fcab,2024-12-02,82900
mandiri-538fc1c5122fac1921cc5f004f6deeb2,2024-12-02,3300
mandiri-1da969cf834a0e437f77be4e8c77139e,2024-12-02,15400
mandiri-5e6c6b6e0057565313f8b2232d95d626,2024-12-02,-79400
mandiri-a668559b9d8013e75c1986c8cbe273b3,2024-12-02,35800
mandiri-d9b32077f9af7dd7e179d43303906bfc,2024-12-02,6600
mandiri-a327c4c02261ebcea3d416fc1b61c32b,2024-12-02,68500
mandiri-5cf9b31a952e36211a90ed49da080165,2024-12-02,75900
mandiri-453f22c7654a9b69ee8a4f02dee2edd8,2024-12-02,44000
mandiri-8526ddc3d6334b2e91c6af70bbd1aed6,2024-12-02,42100
mandiri-86d2d4ce9968decf5e1b8116f8880b5b,2024-12-02,-11500
mandiri-bd5aaeecf8b649ecb0bcee1ab0ae4f84,2024-12-02,23300
mandiri-fc6d3d0f83e1ba3499ee492ee10aa1ac,2024-12-02,86600
mandiri-197d529c761e8e60a182dd67f044b19c,2024-12-02,18900
mandiri-4e3027779e527b82b379fedc7b3c35ca,2024-12-02,78800
mandiri-9192b820bbaefefcf02ea3cbfd7a0ad6,2024-12-02,43700
mandiri-b2201f3cf1d66d86293a7870b3d06005,2024-12-02,21300
mandiri-984089027b3016a31ac730fcda644728,2024-12-02,84700
mandiri-21eba2b063d4c3e6431ea7223bced490,2024-12-02,41600
mandiri-986b8474f81c63bae971031abf644e90,2024-12-02,64700
mandiri-f8ff0d1e623dc806a513ad9c33383044,2024-12-02,20100
mandiri-db099ad85d55db9092d4d95c4008ba74,2024-12-02,53500
mandiri-859ccbe8f9fdeec9dd2d62f4341da1d2,2024-12-02,92300
mandiri-2172a43a7dbe22845cc6502b7f795a28,2024-12-02,61700
mandiri-5731c269b8d1f29719e3c2a0ef9e42ba,2024-12-02,-90200
mandiri-43347e1f6249f2db768b1ac885b822de,2024-12-02,54600
mandiri-c516270070e7aeb4b69fa58579d645fe,2024-12-02,90900
mandiri-8b6591974e6759c5a7a2839f65e0516c,2024-12-02,63700
mandiri-48d5c54a3652fceff50b3b8c338a4ac7,2024-12-02,65600
mandiri-955d557ae00bac020be7509c65e3d7f0,2024-12-02,90000
mandiri-bc1e4dc80e3eb160763976fd320e0b18,2024-12-02,-26700
mandiri-d4a0b6a237d408741ab4cfcd11b104b8,2024-12-02,-16000
mandiri-ae8c30030a58807e03154697ba5cc068,2024-12-02,44700
mandiri-f5b172f9a075482737ae4abc89dc7bca,2024-12-02,46500
mandiri-16bb30e391cbe52c46d0f4aabea7ba91,2024-12-02,-64200
mandiri-6405bc90f4e958c5bd7e807ae78f3e5a,2024-12-02,48300
mandiri-e847600078f87d0ad39aa5cc4efaacea,2024-12-02,38000
mandiri-a9c145236b390a038db5c728e9328ba8,2024-12-02,96700
mandiri-219f68f6fd04754cfcc1428c9eb2a763,2024-12-02,12000
mandiri-e6d479095a6025554beed9598fd726c5,2024-12-02,22300
mandiri-64a8695853cbf7fac831d90f6fcc9393,2024-12-02,71400
mandiri-0fef404fd016fbcd01cb3b55e5ecb123,2024-12-02,74100
mandiri-ebdb948ba0ac12f0626be9622b5a9e8d,2024-12-02,4700
mandiri-e214cec260f3fcc5f4bd7c8f5f7beed0,2024-12-02,15000
mandiri-7cceb972382c4523280a3cc0474e8d9a,2024-12-02,90200
mandiri-bba7784cdddbfc806d73c2b492f26a02,2024-12-02,-16000
mandiri-5c425694d9f4385ab04e208207df246d,2024-12-02,70500
mandiri-f1b16cef54361e5148d9028305eeaba2,2024-12-02,-25400
mandiri-023d66af6d4fa4780da66eeaf6995ccd,2024-12-02,-94100
mandiri-58de655d57417f1ad347a60be66e873c,2024-12-02,79600
mandiri-ec8dac533715780a64aa50eac59c1055,2024-12-02,-20600
mandiri-6d1c0d051a4e842bf8b1255731908937,2024-12-02,89800
mandiri-b5701c4d10472ecb2d2ac7a85588ebd8,2024-12-02,41100
mandiri-9fb0c27def446def7d5cef1c7244b0f9,2024-12-02,-8700
mandiri-b5118c202f56e68f702fae7ec5947d44,2024-12-02,25400
mandiri-371597b088a06cedb6a35567b477c906,2024-12-02,-32100
mandiri-f5eba62d887ce637437f1adbb16758d3,2024-12-02,-58000
mandiri-ec12ef46af1c14d34f5da5cc5620b2c4,2024-12-02,23800
mandiri-89dd0d28b1500ab2a223582db4792cc0,2024-12-02,23200
mandiri-1afc19f4aa7ea39cbd1cb3e39e3576c6,2024-12-02,44500
mandiri-f96e7c71baf506ce42d509bc56975f67,2024-12-02,-62400
mandiri-a0692659bccef53d0ac4be08bf5cd1b7,2024-12-02,-36000
mandiri-aa1bf138ab13d7544fea0291531c31b1,2024-12-02,-56000
mandiri-b3e7876c0b9f943e8129f73e5d1eb343,2024-12-02,1000
mandiri-1c1fb1ed160851deef366ebd8ccd6cd1,2024-12-02,-72700
mandiri-868690e020d3e2712dacfe2ac079be8e,2024-12-02,45900
mandiri-a89e1ba6ad243bdab1198a9e56b529bf,2024-12-02,59600
mandiri-52238850840d7952df460dcee242c8e7,2024-12-02,-26200
mandiri-7c75f0731c557d77dac1b06b3fde21ef,2024-12-02,-56100
mandiri-bfa98ffcfb709262e804adfd27bca282,2024-12-02,-59000
mandiri-b404534aa4e7bffba32ceb8de2cf7a88,2024-12-02,62400
mandiri-ba9af4dbea6b5cc1aa4e03b077e7c52c,2024-12-02,-67100
mandiri-742e432580883ac469320e3b9e6ade47,2024-12-02,-16200
mandiri-90947017ba548f5703f914980fde3fa4,2024-12-02,-55800
mandiri-94c37f3ebcf2ba2bfa1bd5506f4409a0,2024-12-02,86500
mandiri-51b0bb6e199291c4699f4fc31e86f812,2024-12-02,35700
mandiri-e44d05ff884c16042e6f43fd34aec911,2024-12-02,-56000
mandiri-ddc2c7659a3a236764b231032e0e0b79,2024-12-02,-46700
mandiri-0064b625bd26d506a11d949ac0408a38,2024-12-02,62900
mandiri-54aac155c8d778b84092719ed0a1435d,2024-12-02,81300
mandiri-3aa4659d0e297684076c268dc8d63809,2024-12-02,29400
mandiri-294d1245fc98efe30ce1463ed58472af,2024-12-02,88100
mandiri-3da74b8b263baf4b52f08a0fb5760d98,2024-12-02,97100
mandiri-9c320120461b78dc78c8a9e94e9736e5,2024-12-02,-15800
mandiri-cc19b3b5660265781679384f6d8076f0,2024-12-02,90500
mandiri-8ab1c18d8dab3b105d654908739872bd,2024-12-02,72000
mandiri-d867cf4f27f0fcaa112b80cf82ad34e0,2024-12-02,67600
mandiri-c1ea3a56b2bcfa7d383b6b6d1e0cd9a8,2024-12-02,82300
mandiri-29285eaa5732a2f9a35c2aba7010a975,2024-12-02,-19000
mandiri-a5078db2eac3caa3323b45bf16394ed9,2024-12-02,87900
mandiri-5fb01be8c56c66abe0129145f5a24af2,2024-12-02,26200
mandiri-337f02cf064dfa5fd785e1a02688aa21,2024-12-02,-42700
