UniqueIdentifier,Date,Amount
mandiri-40f8279f069085e879bb941187d1283a,2024-12-02,23500
mandiri-2d39c6c1826b4ddd19cf42e60b0f3e89,2024-12-02,-59800
mandiri-fd8ff11df95927353b36bf54e2f16681,2024-12-02,16100
mandiri-1db0afcebd2fa683bd01b303ae3c7a1c,2024-12-02,28400
mandiri-c991eb5cea9d2fe34a2e235a1755e992,2024-12-02,59100
mandiri-7a725b65910cdf1000fc2b59ea9ef523,2024-12-02,-29400
mandiri-4faaac4cf1e86867c6ae5d3e3c681d92,2024-12-02,9100
mandiri-de86ef513a19dd2dbae8cdd92ae07377,2024-12-02,87700
mandiri-3db2b5f52150ad3efd8cb1703406a199,2024-12-02,10800
mandiri-315c3b00e33919676e4bcaecfa95c4d4,2024-12-02,27200
mandiri-7133829514224c01faf9ae4abc0f68d9,2024-12-02,11000
mandiri-27b1d6a50856c80f4c3ca08d2a0a50dc,2024-12-02,57300
mandiri-6f7b2968c0d8579e55494952a8377d68,2024-12-02,87300
mandiri-c0a9a7103a9a15382145a53227e0665c,2024-12-02,99100
mandiri-4cd6ef026b4240bebefbc9506b45fb67,2024-12-02,22900
mandiri-6b6ea4fd8a0c7e054016c289742a18d8,2024-12-02,13100
mandiri-2e5b646aa074283d1914e627ca3274b3,2024-12-02,59300
mandiri-8f80f0e969df30956bb49e8a2292345a,2024-12-02,6800
mandiri-8741339f3f754dd8f5b9c65ffa93fed2,2024-12-02,-31500
mandiri-74471db07766aeb36c4763eace91f294,2024-12-02,27700
mandiri-6d6de9434170062c9581a4815b6e46a7,2024-12-02,93700
mandiri-48ad022b79313153744e522824aed971,2024-12-02,32500
mandiri-e1e79185652de2f7e5da8b87313edc54,2024-12-02,40500
mandiri-10efd1c194f8b0b915c48e71e25fc384,2024-12-02,25800
mandiri-afcb9ac1cb1cc38350b2aea5793b4c74,2024-12-02,27000
mandiri-5fadd75f4560919db9ac361093711295,2024-12-02,9600
mandiri-a0edc8a58611a004bf17126b6c500e4e,2024-12-02,42800
mandiri-15c3864ec74a02f504712506ac3f0d15,2024-12-02,-11700
mandiri-57cc12ed9865b2fd574cd3f3c8e54fe2,2024-12-02,91800
mandiri-f85d38940f749196ec47a1ded4855a84,2024-12-02,60900
mandiri-b1c89abafd148ae00f0b59dd5c58bf72,2024-12-02,34700
mandiri-c9bc1a611fdba0e8195948106f6a3e27,2024-12-02,67400
mandiri-478b1074ee67aa8da08520f2bdc61e19,2024-12-02,6700
mandiri-3ca8fe3d3afccaf0d64d7ad457499f45,2024-12-02,9700
mandiri-5433495b6cfec8e1733f9b28330c32f5,2024-12-02,34500
mandiri-6e61cf2d4b2d44c739a656cbd1fa503e,2024-12-02,46400
mandiri-41cddf4247197125436cbc5fc0cd9ebe,2024-12-02,34100
mandiri-fbfb9ceaf31232c44ab8ab02b45bff80,2024-12-02,-52300
mandiri-8023e17eaa22ed5a90d6f69e034b1625,2024-12-02,2100
mandiri-105a0ff8687d9ff3276e32c573c6a851,2024-12-02,77400
mandiri-febcc3658047024c72b5a72c169d7778,2024-12-02,24600
mandiri-be8587a8c3c8040f3adbf62c33dcb45c,2024-12-02,29100
mandiri-8ada8845a84ea80ffe867b56855b345b,2024-12-02,-98400
mandiri-e0c221ee0747008a00623d7910bcc0e5,2024-12-02,57800
mandiri-2991a0e4dcf1ad2501d9d04d4a48da31,2024-12-02,-11500
mandiri-51c7340634c9b5627493f855bd9e3f81,2024-12-02,-98900
mandiri-6d223ab24184e8671b97129b469f977c,2024-12-02,66500
mandiri-d85005c4cc5263b89b7d926a1a31c9d4,2024-12-02,93900
mandiri-ffe8c0d4fab5cc0de8903948d92858c9,2024-12-02,92600
mandiri-90399a9485bd1310f6432cf121dcace5,2024-12-02,17000
mandiri-db67f0973b4b9d8bd30908e72b59e940,2024-12-02,93600
mandiri-13cf3c057dbaa46439d93df06fb46770,2024-12-02,-1400
mandiri-10ca89def504426f51672acd0ce14f9a,2024-12-02,84900
mandiri-0e045848d6af11f0fd571706b314f567,2024-12-02,-29700
mandiri-8254b8be73a77abeda31565d6435156e,2024-12-02,57900
mandiri-ba33c66c3525f974965601af9e2f6e1f,2024-12-02,-35000
mandiri-e68e4535c18c6d9699664c99ad0d4126,2024-12-02,53400
mandiri-1464607ea2eac337f6c2ef87786f7b87,2024-12-02,3200
mandiri-c025372d5cfffa86c613e4b1b279f47a,2024-12-02,73100
mandiri-0cb0cd498770e841c920a926044a9062,2024-12-02,15400
mandiri-5182ff62243cad64d68c8557497f9462,2024-12-02,67200
mandiri-4400858810437c570929a5565c190280,2024-12-02,96000
mandiri-093621ceb76c399c4c684b1d4d60e641,2024-12-02,-87300
mandiri-98dbb0307819d3640c781207b5eb0ce1,2024-12-02,59300
mandiri-f818f1935ae2daba8c819e152c3e26df,2024-12-02,-96600
mandiri-081862cecaf54ee76ecf0c8e00fa2770,2024-12-02,92800
mandiri-5d73ecb4f813e5001b466122bc9c8315,2024-12-02,50000
mandiri-f6ab93553946290b7c01e3624f7ac0e2,2024-12-02,12100
mandiri-641b35e06ffb957252dc6123332b882e,2024-12-02,-87500
mandiri-cd546110c7d0fee13a91ef8204f91b7e,2024-12-02,92100
mandiri-ad2fd3783fe3c919be9f260d16c753a7,2024-12-02,57700
mandiri-f105397522614be7475132d154131f52,2024-12-02,69300
mandiri-f15131b6fc40c02b7a0c2e297e3ca180,2024-12-02,49800
mandiri-f1754c914d0dea47ece9bd88760e1735,2024-12-02,55900
mandiri-bfe3c71222c8b07a00074f33f7576f2c,2024-12-02,-3200
mandiri-a0e044fb320386b66956d9f23a1bc77c,2024-12-02,-48800
mandiri-4c0ab072a7ca67f967e797c20cafedbe,2024-12-02,13600
mandiri-17dddcebde7a97449ed4c4cf182124d5,2024-12-02,31700
mandiri-67fcbb47bdc06a440d8171730e654fb6,2024-12-02,71200
mandiri-99a8de98d9a188c65224e5622058b93c,2024-12-02,39100
mandiri-a0b114e648ad85e56b452bfbe8e4db0e,2024-12-02,8800
mandiri-369b3ced945b47ef6daa38fdcae02400,2024-12-02,91600
mandiri-6700baa6de1592830352ad8425e51379,2024-12-02,43600
mandiri-1e09604b452eefead7b2f8f7a8afef69,2024-12-02,92700
mandiri-25d1cc6f23cbf7ae8cb3235eecce1be8,2024-12-02,92900
mandiri-de737520230213cc1a3f415d3c039471,2024-12-02,81600
mandiri-17626b6be4bfe0ce707ec24d29969127,2024-12-02,30100
mandiri-1a051765bf56d02adf2e44ad52336603,2024-12-02,73800
mandiri-adca2922d25cd3acc601e80e48bbfa86,2024-12-02,-30900
mandiri-d4ec719aced8474199bbe583e9d2e692,2024-12-02,-51700
mandiri-aabce1272a94403c3340d04f55ec1374,2024-12-02,97900
mandiri-dc76631aa7629952eb3def11a4fa60e1,2024-12-02,58400
mandiri-1820fdcb606d7f7e329cd6a6fa6d6660,2024-12-02,44500
mandiri-2d0bb0b572ea8a3dbbf7a0dc7eec8d2f,2024-12-02,63600
mandiri-0b95e601ebbe6d14e201ca9be33d483c,2024-12-02,19500
mandiri-33d0d9f66757ecd5076dd7ccd922358a,2024-12-02,91400
mandiri-bbf849429d9ab335f2410b939e97cd80,2024-12-02,66500
