BCAUniqueIdentifier,BCADate,BCAAmount
bca-d69b65f2f4b4039d2a6123b531609cfe,2024-11-03,79500
bca-c50f8b6ad33a26b84bd227e8123c5102,2025-02-10,-72600
bca-1c75c0ed950424892120bd08fd0f41ec,2025-01-17,10700
bca-a8242e8257033b19be1e9497d6e66714,2025-02-06,23500
bca-863307ebfb4eecc38d8b2bcff5cc8616,2025-01-02,-74900
bca-67708a42d9a48a509f54c60d52c20037,2024-12-21,23300
bca-5f1704905a33a109de2364855dfb1467,2025-01-12,90800
bca-158e53c7b24486b51d5bc11065d879cd,2024-11-23,42300
bca-2be85f55b2a3c6f46001e015e5494a22,2025-01-24,12000
bca-3924c954b79d12ddf37f6e483a4848f2,2025-01-28,73600
bca-10533de865f0c6e83ccd319b4fccdeb4,2024-12-24,52500
bca-5b958b80781a5d47292ca724ead36936,2024-10-23,29400
bca-be6a9e2600bb5cb47e7726e6639b3c2b,2025-01-23,28600
bca-1b7946d2cebedb6670d3ea93961df249,2024-11-05,22800
bca-ea2fcad069b86ed1802bdaf1535c94bd,2024-11-07,-54500
bca-b112b6165314b7b1233f389e1e0d28c3,2024-12-06,68200
bca-59091c3ac5f38a1c6b29d03d48f425d4,2025-01-21,10100
bca-d1d4283afc63ad94a46502dc2a285164,2024-12-12,7900
bca-9fe25ac681ccdf7a017d8faa0cb9a1df,2024-11-13,24000
bca-011f0c65225b54d2d28547bbf11ab486,2024-12-08,-35900
bca-5d5597f52e2708a3776aff21ed6d7df3,2024-12-27,11700
bca-570af5f2c68adaa189c40bd60c592ae6,2024-12-29,-87500
bca-cd1bd8151758aba1d0a6a4580b5947c4,2024-11-01,73700
bca-fec8246d77aa94a2dcf5518fb57adc1f,2024-10-27,-93700
bca-96a225991298d93537500e109452e0a5,2024-11-13,47100
bca-2d9963a2394a7a0cddbefd9c4b2df3fb,2025-02-03,79200
bca-ac8839770a169291e90b29681c193441,2024-10-22,28300
bca-9137c02e17b09d7eea41104c1ea926d7,2024-11-21,23200
bca-ec4e34a03ffd7d0fa7a8869f825d2828,2025-01-23,65900
bca-1b52e2dab55b4138710ae2c12a1ab60c,2024-10-30,-98400
bca-d071fa8235cfe31605b115fa859f1fcd,2025-02-12,50400
bca-a48507bb66051a37b2c217a3e4e5bc66,2024-10-31,94200
bca-ee0e879e459d97f7574ba8ffbcf9fa46,2024-12-10,-93700
bca-7bf810805dbb2420e047c17f1db0ed26,2025-01-10,46900
bca-aa59d68d0853ffa97feb89af880209c3,2024-11-20,84800
bca-6b5131c4e0443e0c39b94e4a4d0fb99b,2024-11-26,91200
bca-4f59a2fa8919286da1c231bbd5071bc7,2024-12-15,-94800
bca-baaa9282f99bc8f294caa8cf8015a73b,2024-12-05,61500
bca-ff0641943600a929d7479b1bd6ff825c,2025-01-10,85100
bca-57c05598da9a497ea5f80d180d2319b5,2024-11-05,56700
bca-ae053522725a3f9913818aa644fc7d45,2024-11-05,84500
bca-45a98031e196eb9caf8f327348170c7e,2024-11-16,54000
