BCAUniqueIdentifier,BCADate,BCAAmount
bca-440f91f8b0aaebd618bd75fd10065c65,2024-12-01,99300
bca-b7a64ef46c5a2122f46cd4f7a443f20e,2024-12-01,16100
bca-f8995d6a9852b1b40e05406eb4b89b94,2024-12-01,27900
bca-1f7d9839fbf334f0962bc81ef136fb1b,2024-12-01,-43100
bca-04c9a7940d0d56a10fd2b0acf124b129,2024-12-01,61800
bca-67193966b1d8e39e0683ae5c3c830085,2024-12-01,83900
bca-622790c28f3c19dd895be64ee58fee66,2024-12-01,18000
bca-6dec0d22776778ea3c80f367af86b183,2024-12-01,-5800
bca-e7bf3af9d514e5f2189c7da67635fc47,2024-12-01,-35100
bca-13c8d10802c4eb4cea3e585b12872558,2024-12-01,-97500
bca-7040445d7c181dc4745e1ec5c1487381,2024-12-01,-50000
bca-b27b9c2b2aa25d19deb5b1de7193b1a9,2024-12-01,12100
bca-e433b899195641c7f50970efd63a72dd,2024-12-01,80600
bca-873436c4f83ae8bcf1e0575004f0e38a,2024-12-01,5000
bca-fc9527474248b04e47f8008386c55542,2024-12-01,-29700
bca-caaf816aa31e883aa23374871c2d1b2d,2024-12-01,-38900
bca-fe5f5aa25337192f99f806b0e21678d5,2024-12-01,60000
bca-0e39843a4cdb01801903a838f1912522,2024-12-01,29000
bca-c98427af8282ffc344b66de05f8fefc6,2024-12-01,71500
bca-d11f86f684daf9cfdd4618b1dd9bde2c,2024-12-01,95300
bca-018e8dbf31ec4826590d79802fbfafec,2024-12-01,33200
bca-4c13eca50043babbfcc673e0215198a9,2024-12-01,-48900
bca-ffbbd3dd85e6f923b0ab3e40b3215ad5,2024-12-01,4000
bca-757d94f91204d83170378608a6134d39,2024-12-01,39500
bca-2e045b8cc633386ef9a3dbb3d6735acf,2024-12-01,29700
bca-49041c549bbf765dbd4a2ad302438c61,2024-12-01,92800
bca-361312a88b93e7f453c612844888c4f3,2024-12-01,90700
bca-7c197b56499ef4b76c296d92aaa9ef17,2024-12-01,-22900
bca-df3ebfeff95c1f1fe1a903b9cf72636e,2024-12-01,-55300
bca-eb3803782e47337ad77804cb7deacc4a,2024-12-01,46300
bca-2769470c1786c9955ebd068ead30d751,2024-12-01,-39200
bca-439af78f1d94be141bab237f8882f763,2024-12-01,12300
bca-c05e486b627144826132b545273269d7,2024-12-01,85200
bca-beb30b5ffab06c124a4067cd3fe9b1d4,2024-12-01,37300
bca-6eaaae9d78467684e26f0b6843dfeaa6,2024-12-01,91200
bca-abce55c80480032695d5d2a45cd40b5e,2024-12-01,4700
bca-7fd42016ac7e15b75d678b5721877bd8,2024-12-01,63600
bca-2894ee73f6ffcd4f2ac5ca68e1a6928f,2024-12-01,3500
bca-d982ab989ffc2e0e115cdc99fcfeb780,2024-12-01,81500
bca-4106f121fac3004038f0c0e9ba52afe4,2024-12-01,-47200
bca-7ec85ba485d0506eb969014ba4c81dac,2024-12-01,-40000
bca-8e677db0762fa6b3e3f8d6858d21ca13,2024-12-01,59700
bca-406f840fb3ff69c325d9cf8ce9831af7,2024-12-01,69300
bca-61eee927b751aa0cc2d128cdc4e3a6a8,2024-12-01,45900
bca-da308c001b20c12a273ac63ed66b4293,2024-12-01,36000
bca-11de0b9d710510a8241fbae2715f7634,2024-12-01,20900
bca-223315111dfc73e04553242be11ceb1c,2024-12-01,-91300
bca-8b7c7dc2a57dd3e4937a58816200c8e1,2024-12-01,79700
bca-aea62caa70da5778ad2579e563040b24,2024-12-01,-34900
bca-5ef6c4a77727f4e3b349169d7fc93f83,2024-12-01,1600
bca-b3804ba792e9b95ee0e354b95d957bd1,2024-12-01,-60100
bca-be0c282467c8e76b72f0c8681e9c76f0,2024-12-01,91800
bca-62fd0edb49ccbba8b6983ea5787e2a7e,2024-12-01,-47200
bca-b50585104b09dc3a59cb105d3458edfe,2024-12-01,-45500
bca-0a7a7072bd32f21dcc21aceda595206e,2024-12-01,75800
bca-66b99540b4851ddaebd851119478b891,2024-12-01,11800
bca-fceadd8259e2110c142bdd1f7cbb37dd,2024-12-01,77900
bca-167a5fdd5a96456639730d23f3df228a,2024-12-01,-89400
bca-9f50ba77976008ba1c4def8fd81c5df2,2024-12-01,-90200
bca-d33ccdb578fe93356e65248de9a4728d,2024-12-01,63100
bca-ff945e1bcf469f70b99fd24880c41789,2024-12-01,12600
bca-c0a83245ac0eaf1208ffd53df922f831,2024-12-01,66000
bca-0c12bdcb960bbabe2605d0efaa1a44fe,2024-12-01,59800
bca-ec63a343b51b35aa186fd378d50a1d75,2024-12-01,-34300
bca-e949b3fc479ad5491bea90c9bc05a5b5,2024-12-01,7500
bca-e151454958bf32c0f44419f80dd3bddc,2024-12-01,46300
bca-3f1400ef8f65433fbab3a6d099865798,2024-12-01,70700
bca-56067ef37f91fc49e0973ab691f33f3a,2024-12-01,70400
bca-d6eeffa8431b6c541dc729d6f02e6224,2024-12-01,37800
bca-c54eec5821e07929049b7f14859d77dc,2024-12-01,-36300
bca-a305d6db253db389c9268ab1dd824cb6,2024-12-01,94600
bca-7192cdb91a9e1c311483830e2bc8498c,2024-12-01,92400
bca-17093c90dda46476aa71ef11b807edd8,2024-12-01,74500
bca-dbdcffbb0ba9e1d2a47a3875f29810b5,2024-12-01,-58600
bca-086b2f5a5fe09d328f1599305723d274,2024-12-01,88300
bca-f67f2a7176b141737ce65c4c2862a66c,2024-12-01,-40200
bca-22f23976f73f70286ca6afa6c00277cd,2024-12-01,52000
bca-daaa15a61ed0270b0e739ef57c3cb889,2024-12-01,98200
bca-56de872ab05b4c11b21addbddaea87b0,2024-12-01,88600
bca-5c1db0995952bff2a8c831c050c48593,2024-12-01,-6200
bca-2aa63165fd793159baebf695b6734a4f,2024-12-01,29300
bca-09a15b77410a9581e0dd60194a545b27,2024-12-01,38900
bca-ded4f7816583500baf299acaf1e9b1d9,2024-12-01,-75400
bca-17da96b869fc9bea89390c7e143f404a,2024-12-01,95500
bca-d68242ed940987be697b8a56e7e9c466,2024-12-01,61900
bca-542d1a328708c8a580e8ed5b37b099f6,2024-12-01,15300
bca-b4bcada9b916651b15e2c464a6599f37,2024-12-01,-38900
bca-f11949ee71300284d708b33029b224fa,2024-12-01,75300
bca-2cac386123db9a4aa2a4f25a2768c480,2024-12-01,86800
bca-62b8f7ac8f2e3ee5935780cecd1d2b1f,2024-12-01,39100
bca-57fa887c1d2a51a3b5dee1cd73460d61,2024-12-01,5700
bca-2bbd79e541fdca9f0512b358f364a13e,2024-12-01,-25300
bca-571971635fda5d3135e4e0d7df4e9ad1,2024-12-01,81700
bca-69d8e15102961553bcc768899eae8572,2024-12-01,-42800
bca-59156851029785dba3ab25a1c7387703,2024-12-01,17700
bca-bb09cd056128fffda10197ca7fc529ba,2024-12-01,49800
bca-ca2680fed035701eb60cd3d87b3fc4c9,2024-12-01,84000
bca-0398f56eba019ee5a0b0bda2058f0bba,2024-12-01,-38900
bca-701e2ed012031946a0369a6aa07729d6,2024-12-01,-37900
bca-137581f2a47b8752b056a213199e1661,2024-12-01,48500
bca-faddbafe3daa290a46519d9cca8c32ff,2024-12-01,-63600
bca-83be3b63974fd732e6ff94696c1e2f3e,2024-12-01,82700
bca-4ef4f39233f889d85822a48641f782e3,2024-12-01,74000
bca-eb3f87f5274227debc10c97f97baf6be,2024-12-01,-83700
bca-78a8ed405056a1333a14e77a66ff256a,2024-12-01,45300
bca-6b98672a67a922438695685720235878,2024-12-01,66700
bca-ed87f6c8d1c5e14fd03c56f59f8350aa,2024-12-01,81500
bca-95996564a76a2784802a169bc72696e2,2024-12-01,59600
bca-60a73966b24e7fdfe15e20a7a1275be2,2024-12-01,82100
bca-735cb94d3165da7a7de0360b4ffc721e,2024-12-01,7700
bca-86c0a1ad5240f74bbfe4eb13b397edd4,2024-12-01,21400
bca-db152f5490e0091d21e49d1123fe070c,2024-12-01,-19200
bca-c7124df1691797cf5dd97c041da375b3,2024-12-01,67700
bca-b325e1a694b6b8e9527dab974902c12a,2024-12-01,98700
bca-41f8a14a391c821ba27ea1dcc81f5e6a,2024-12-01,-62200
bca-7d336727ac58e9c09b6a72fd18670359,2024-12-01,89100
bca-8eea9ea39089935ff047d8af0f0aa88f,2024-12-01,73400
