BCAUniqueIdentifier,BCADate,BCAAmount
bca-83818ec571ab72ee8651741ea874f605,2024-12-19,73700
bca-1818a46ad44e5eb26052c39a2faf1cf6,2024-12-19,60300
bca-13d587e139281b00f4687e3ae47031e0,2024-12-19,-6500
bca-b81287e3c7619483432ecc78975bf32a,2024-12-20,39800
bca-953251305b5aea71d8651b67fbe3b14c,2024-12-19,62000
bca-cf135ce1a563ef9a29d80d2a42933f27,2024-12-20,-98400
bca-0c06d465b8c4d32a1d94740656aa183d,2024-12-20,33300
bca-39b728a454f2ae12c0d71bf275962346,2024-12-19,94800
bca-bf6af044a033f2286ce6933065cec992,2024-12-19,42500
bca-3834db8362fdd2bda43a3c31e48e032d,2024-12-19,97700
bca-4cdfdc11186749c89b9f5168b3241b1a,2024-12-20,-3800
bca-2ac85938e5288d5742bb52d10badde22,2024-12-19,10900
bca-bb331d15a3a9b14902c3022a98606fe0,2024-12-19,56000
bca-48a44f001c39c5391b17e4badef988f2,2024-12-19,10600
bca-8b4f6357be310e2ba43b4d60ff3b16e8,2024-12-20,85500
bca-d5d67f6a8a6edc0e5ae9d5e001c7a8e1,2024-12-19,3800
bca-6e70c66cd7996a36d3e46a21d1082b67,2024-12-19,48100
bca-7c03bd0f4f8af5219449014581e1b0f4,2024-12-19,51800
bca-e349b37eca89ab9605d7bfee3f952431,2024-12-20,44500
bca-8bfd7303137c94aa95737709565dba40,2024-12-20,12500
bca-bdc32de058772610ce2e0c084df0f135,2024-12-20,26700
bca-79d5a62b7c6ac6fa02212b57f4ad82ab,2024-12-19,-97400
bca-558108834343ac8b289064f996a3985c,2024-12-19,29900
bca-9efd0adaa9942f59de1dc8812dcfdf39,2024-12-19,63500
bca-2eb5296b24b03e945fb7feb5e2c3c7bc,2024-12-20,-12300
bca-3ac57d147875efab221950e101a9b979,2024-12-20,80300
bca-f0b2e7a89261ade941df11753445c0c5,2024-12-19,35000
bca-f5a1a46f33074171adc725692e7c1b5b,2024-12-19,79600
bca-91096354ad486b0e6976de157f247c3a,2024-12-19,59700
bca-4c61b47568a692c0983f0c32c3bdc183,2024-12-20,39000
bca-2aef2afdb653b51f52fd00c510b4fcac,2024-12-20,77600
bca-9b0905403f0a3a6b6e9fc6c6345b8573,2024-12-20,83200
bca-d58a4ab3d0d52212e0490eff1112826b,2024-12-20,81200
bca-bf809325a3e75f64285eabf503eea707,2024-12-20,58200
bca-eb112a45162c704edb4d5f32fb02d780,2024-12-20,82400
bca-b65127401865dd6776f2c18e7369d253,2024-12-19,22900
bca-883a5420ddbba717e97209d5b11b08fc,2024-12-20,16300
bca-8349b52fd76c3e6d1f5c06a6a628459d,2024-12-20,47300
bca-f063351970202c17ba2f406ec91461da,2024-12-19,59100
bca-d88443a1b22b7699fa2464bc75179d2f,2024-12-20,65100
bca-e19460e3d74b6f4b25b504d87fb44066,2024-12-19,-39400
bca-b3a3f352480a3a810c312caeedab9afc,2024-12-20,19300
bca-23d0672e896a75fc6496e43f942ba888,2024-12-19,45400
bca-3d8bc81499e4e372f84973de2332e7f5,2024-12-20,15000
bca-2c78b53c2112541f79d45fdee61d9197,2024-12-19,21600
bca-dada7c066bcf7502501df8eff8afba4a,2024-12-19,-57300
bca-332cf5311ed2e4da928b65319c0e6769,2024-12-19,11700
bca-72b3657c7b166a1c0681f796b809b4a7,2024-12-20,-62000
bca-b9103967f578a1c099a88e21994150a8,2024-12-20,69900
bca-a90fad43532f386d4da0cd5a5617b366,2024-12-19,86000
bca-2c20f2c5b5abd983417cbc807f68fbc9,2024-12-20,71500
bca-4737236ee21bcd2f8ba523c83ce68069,2024-12-19,-58400
bca-9df1f8961eae961f0cb3b98408db936b,2024-12-20,-17600
bca-1b369d25bc5b9e001d7a7c7289594f9b,2024-12-20,61400
bca-d68909a8ea5475dbb0b79f4a63162976,2024-12-20,7900
bca-68e351840c1449e26d4c3a6ee68f9d9f,2024-12-20,33300
bca-0fc3ce32eec2042bec3f653ce9dc35ab,2024-12-20,91100
bca-ccdf0ea0236a1b058b0616bd57dccd6e,2024-12-20,30300
bca-3ca734f948b153118a67ba2e9962d69f,2024-12-20,76600
bca-10ae86dd529b86079bd0fe314d7c4cc0,2024-12-20,-81400
bca-3003e5b91404dcf4c30e6fef3b57945d,2024-12-19,64600
bca-90c2ca8845c2f50420b33787e31901ca,2024-12-19,-61400
bca-cad9bb7a43b6489b3f479d83e9671cfb,2024-12-20,-67200
bca-0d214c7527219eefc4e2f4a76acfdb8c,2024-12-19,77900
bca-d5b4cf24bd2ba6535f15424c3e526d0a,2024-12-19,70900
bca-2673fd17feced5eff7cbf8179f97ee4c,2024-12-20,-99100
bca-67da0ff2837166a4dd0f259663fd7168,2024-12-20,58600
bca-e12b689316bcdd74e4bf5ec28127ae6d,2024-12-19,-79000
bca-2a9086ca61d4077e29b175c0dbdd3497,2024-12-19,55700
bca-fabbe4bfbdca833009b97868086ad7c0,2024-12-19,48700
bca-1a25ef9c16cf19eea232e02abd70044d,2024-12-19,5100
bca-9293a111ccdeb9b23982b9ac62be920b,2024-12-19,-7100
bca-d5bb50d52e2fc961d537a0793b33fbf5,2024-12-19,60900
bca-6da05f718462ab5d3e5b9cf9c40be058,2024-12-20,25700
bca-dc17e8cb4a03a98a2e67c6d4136b962e,2024-12-19,32000
bca-94cf14c52b3843447edb31e71ac726f4,2024-12-20,-84200
bca-4e9cdddfe3c97ffe57aeb87c39a7ca8e,2024-12-19,75400
bca-004c012afd838091c00b79f69efffcde,2024-12-20,14500
bca-379ab7cb8c1f314edab53d9364bf1c77,2024-12-19,34000
bca-b14148bdba12a784f414dd821f51145c,2024-12-19,5900
bca-8a514b08c1b76e16324d2f7051525982,2024-12-19,59300
bca-4b0e69757836002d22482e256d52cca7,2024-12-20,33200
bca-1d821cb216b2c595feb89c48643ac8f8,2024-12-19,94900
bca-1df595a3b3c54cdc449196923bfd0c24,2024-12-20,23700
bca-0a149e223e217ae1d9a88b4c55afe584,2024-12-19,47600
bca-302941ab734aff78f327b0cb55e49063,2024-12-19,78200
bca-7dee838d6639736f0d57566ad3c0b31c,2024-12-20,3000
bca-2c834d8ea745c4ff7b29f7be6193ff08,2024-12-19,27900
bca-1a3ede54ba12aa716d248bc213c0ec98,2024-12-19,59100
bca-ca92cf56e1a48f9beb1d4732822aef9b,2024-12-20,16000
bca-b034191613fccb4dbaf1fba50de2b17f,2024-12-20,77300
bca-238ebd20d825282c366cc82986cb8047,2024-12-19,-88600
bca-752db384f61de8450b512917886a2659,2024-12-19,26300
bca-1da1399c6a0c06491929648873115387,2024-12-20,1500
bca-8404a8050d5aa3bb335cc7485b32d1c8,2024-12-19,27300
bca-aea7a6c62ee8982da2e3c3b5b70ec969,2024-12-20,85200
bca-51a7b5ecdc0032adaed275e7eebfe9fd,2024-12-20,-36300
bca-687965a82e792c5c22c5ed3e580c31f6,2024-12-19,86900
bca-d0420dfb4bd4b57c60e469b98490d857,2024-12-19,35700
bca-a5bda9317ee34923a9077693a022f7f1,2024-12-20,-34700
bca-17edb605ba43947ca393dabaa8dd0915,2024-12-20,9300
bca-17a801aab8e4c4996afb614b7462a9aa,2024-12-20,71500
bca-7a4e850afb2eaeb0e71bf95c6ae17c06,2024-12-20,32300
bca-98ed7f2ee0621d2d61c277c6b91ebaf4,2024-12-20,8700
bca-fa2807396f99c3cbc9b4513b3301d62c,2024-12-19,18800
bca-efc005fbb80b55d7bfd064c63587bb1a,2024-12-20,22200
bca-2245221f8256e9ff0fa207e9f387e10c,2024-12-20,-30200
bca-81498432361a7c827ce197b27dd4b731,2024-12-20,10400
bca-86eecfdf70213030b354489878fe9059,2024-12-20,40800
bca-e4fb588c62a447ac6ea0ec224eeab2fd,2024-12-19,90500
bca-828ea14ad284d0ae546c4584c959c581,2024-12-19,5000
bca-8b9bd2152403bbb15c7725144a0017c8,2024-12-20,45800
bca-fcdcf9a52215447a7e618d6b96dcbe21,2024-12-19,36700
bca-c2014e256eff233e0b02df2bf1be68d5,2024-12-20,19900
bca-6d414313e2e67161dc121681000806d8,2024-12-19,70000
bca-4864fd12e080f09d2906e1af8251ee7c,2024-12-19,-66000
bca-1977022c7793c5371371e9d70cc3dae7,2024-12-19,2600
bca-4964087cc34b5bf3b3716c8e1f03d9cb,2024-12-19,2500
bca-b639db74ff73095753fa16ec91d099fa,2024-12-19,81200
bca-131af383d0ecbcafc3890c52807f45d1,2024-12-20,52300
bca-49da868db72a3bfcba12017bafd1c4a2,2024-12-20,-41100
bca-7a12c79593ca280a6fb9a9d223e719d4,2024-12-19,78800
bca-e2755579bb2668cbe5618d69f9d215c6,2024-12-19,97400
bca-158b336e71c8ac9ff6458fcbfa44f969,2024-12-20,18600
bca-07f7f6a76ca345cfae5a7c2b4c244b4f,2024-12-20,96500
bca-cb7976cb1be8dd615b852faae848d349,2024-12-20,-69900
bca-3b5d580f9003f7ef9f4c85aa31b7f6e5,2024-12-20,19200
bca-5e0d62d922c67fef0182ba8bebdf790c,2024-12-19,-89600
bca-fe8a8e256a511685eca200ead5daf9e6,2024-12-19,87500
bca-1cf7e57902f655df1063d4dc51acce9e,2024-12-20,-50600
bca-134017ab74d9c014af9bd786bfae7049,2024-12-19,-79100
bca-b5b71ccab0562936a46dd9fe0ec7766c,2024-12-20,56300
bca-157b5849634627059e76e4aabb67963b,2024-12-20,-48600
bca-c0e3c91d3f6edd1880ac7118de5f0cd7,2024-12-20,-84300
bca-8789da90c77b20186322ee134a09a86f,2024-12-19,99700
bca-46f7b09c1aad463df4af285de5715d55,2024-12-20,-2300
bca-9108d8cfa5f12c38e1f4fe5f20712d04,2024-12-19,22500
