BCAUniqueIdentifier,BCADate,BCAAmount
bca-73c580fbd4b931dac191267ae5ce1f51,2024-12-02,42900
bca-80279844326a1164f2f8780c1d1a5d4f,2024-12-02,50300
bca-635d3678b76f06203b9c3482a0989e8a,2024-12-02,62500
bca-2fc89b27ccda710eadcb2d24b4931162,2024-12-02,55200
bca-499662374bbbaed10ad6bebf81f5a99b,2024-12-02,-60300
bca-840875ec576dc44d0c1d4e61192665be,2024-12-02,46800
bca-46ee6f46f25060fe0a3bb0e08407ebe7,2024-12-02,11500
bca-c24a3f8f55f4f68de4fdc873842d7b5d,2024-12-02,-19300
bca-d5c521366091c50e5e856049cade9942,2024-12-02,-34900
bca-57b58e880c154bcc278399ea4b26b6b8,2024-12-02,71900
bca-d8eebc7d67a6fc134ec70be223e894b0,2024-12-02,-62600
bca-cd0c0c2324fc0c850dfbf23fdfeac1ef,2024-12-02,-88200
bca-754ea6ac85f5aa8fffd0d8d8972f28fb,2024-12-02,50400
bca-22384bf8b5546fd5c502ef167e1f0bf2,2024-12-02,-20300
bca-97145267b13bb0b0b96e270c08255040,2024-12-02,-5200
bca-663952f341b4ca0f44152c9ed7945c0a,2024-12-02,-71100
bca-ca0661d6c1ebc175c23e4e39eaf65c12,2024-12-02,-2100
bca-d17b639fb2c44c6df77e625a3639c47c,2024-12-02,-24800
bca-f4244e1b76721aa09630c4a04c38ce1b,2024-12-02,92700
bca-24b7e57c59dcd9b954ed9ecede92f2fb,2024-12-02,52100
bca-3e44f4ead141ad1763ee4b7c167e83b6,2024-12-02,26700
bca-1df8b284c3103211bce6947372000833,2024-12-02,-36000
bca-a094878be389ef47ebb1df6c7dffae91,2024-12-02,70800
bca-34ec7c54749cb673534b1de33b0eb35c,2024-12-02,-25200
bca-cca042130277bea3858553ad38437b50,2024-12-02,29900
bca-bbe45e9f69c9bfbea73fc248c0909159,2024-12-02,11100
bca-cd703dc234b6c94c0f030e423d8d70d1,2024-12-02,97100
bca-fdb7570944ab834a1ca79811cfe6d3a6,2024-12-02,20300
bca-82353b45b6d9a1fe9d990c41f3ea7a7b,2024-12-02,41300
bca-2129304b556b85b0402bc306b1517b2f,2024-12-02,-78900
bca-7313012a5ce8c7a3cb8334edf78765a2,2024-12-02,78400
bca-37347368b67479daac6c3223c42e0984,2024-12-02,82500
bca-16f051ff6fb8666ea514b292b15cdfc9,2024-12-02,99900
bca-76e2dbf0323750db46a2f33d60b2c94f,2024-12-02,92600
bca-8e8e5b65424b8e74499c3e5f4092123c,2024-12-02,77000
bca-fd231bf7470145710a6bfcdd4978b909,2024-12-02,63800
bca-68e8987518e3c9bd3dd409913547f655,2024-12-02,-47300
bca-28498db3ee3e7ba94c654439cde47d6c,2024-12-02,21700
bca-813e152787c67b1ba57d3dfe86c172fa,2024-12-02,76000
bca-602da93e64a199d6e5dbf7e3f4545c51,2024-12-02,90700
bca-87d57097cb093f5fbe0c96a319ab54e5,2024-12-02,78300
bca-9339a499220c73688d1b03e9f68184b6,2024-12-02,-79700
bca-13da94b1894d496df9ea1c87d2e13133,2024-12-02,6600
bca-5b939aa7206815a54375593227d4b808,2024-12-02,-43000
bca-2fecb2f1b9695ba6790c484153c18700,2024-12-02,40600
bca-d79fbdc2a3dddaa9dd285d6fa8279312,2024-12-02,39200
bca-b82ce99fab3b0c62e0a25faf0e8a2b08,2024-12-02,-80400
bca-6e8967eed1b43557919f9296fd27c775,2024-12-02,90000
bca-866c7ea48d52c878975a8eb3ed4332f7,2024-12-02,47500
bca-5c7a6920dd5ee88dd2e46c3d851025cf,2024-12-02,-80800
bca-16a4abb3afb010de88682b254d9c3814,2024-12-02,49700
bca-82017e55f41dff2007279b8383c0f5ff,2024-12-02,93200
bca-40b2fcbf94d9cba77b026434949f2a71,2024-12-02,-20500
bca-320e3b3a666f0323321be8e121221bcb,2024-12-02,73600
bca-4af6a9574302abdfe1c43c1427f4d2aa,2024-12-02,-38800
bca-3975d1878450fbf14a43e5ee994c4efa,2024-12-02,71600
bca-7ecd68821845323376742ab0c79b9f63,2024-12-02,54200
bca-b386ecc2dc64a60544eade842ce1ff7e,2024-12-02,84900
bca-016cc453d7898f4fab12e5bb7cd291a0,2024-12-02,24500
bca-a8c9fdd523875a844bbbf0ac09ca9061,2024-12-02,85800
bca-6612ec48723fd846ea7de1a2967ad9a5,2024-12-02,81600
bca-a231c8de53a3503868cacaf87b7dc57d,2024-12-02,-78200
bca-259aad186554e605de5925636fde8ffa,2024-12-02,12000
bca-3706319408076dcaae023e6da54f35e3,2024-12-02,10100
bca-0d1dadc5f6dcd83f1f7d2b7986dfed05,2024-12-02,-14600
bca-3fe2ea5fe7bb8d50fc5e9080d3d04ee5,2024-12-02,46200
bca-fdce50cedb23458cf186c549bd5d8b67,2024-12-02,59300
bca-439fafa829cf89f57cda558ab6fb4c2c,2024-12-02,12400
bca-27a4b4373c1277fc64fb6ce5a9aff31a,2024-12-02,13200
bca-ea8b86128abcc78b439f907bdaafffe0,2024-12-02,82900
bca-6a8c0f0a186618d512019dc95fa0f632,2024-12-02,19300
bca-40d932f5d18ac79eeead212d6ee50306,2024-12-02,56300
bca-0b0869870b0fd90b138f4acad89b1317,2024-12-02,47100
bca-fb080f9b78d9b83fee7898849cbe1f73,2024-12-02,29700
bca-bf8d54a4073f1acfa81831522e92992f,2024-12-02,95500
bca-ba35fb1a8439b884c6325256823d1d81,2024-12-02,74200
bca-ab00ad6f5794c5f46a638c7bdee531d5,2024-12-02,47400
bca-ccd7348cf84ca1521d5759d35d1fb1ee,2024-12-02,99600
bca-d06c8c732de25446432379b67eb0a7ac,2024-12-02,49600
bca-18d761ca98c9e20f0e553f3637786062,2024-12-02,65900
bca-2f5177763ec5b088858956afb6c0904a,2024-12-02,-10200
bca-d6525b049186e14200a459de8053bc5a,2024-12-02,-53500
bca-213748885dbf955b1e8f9826b5a72ed6,2024-12-02,72900
bca-e9168f77973f8993005ffa7710d23d2d,2024-12-02,61800
bca-f12d33d58c2ae8e27de729644eadbf37,2024-12-02,90000
bca-447bb7050a16c610385a9f0f8fd2c4f2,2024-12-02,32100
