BCAUniqueIdentifier,BCADate,BCAAmount
bca-13ce5d208a6a3ba3b3de0527e55404a2,2024-12-20,61800
bca-9c2f3af6f9ca8fb4a113db1037ee86ee,2024-12-12,52600
bca-092449e3610c21f49a07bf9705cbea31,2024-12-09,-42400
bca-2e7229bd61786911abd21db7c682d0b1,2024-12-13,98000
bca-072fab0597f0afad057ab62a69e36cf6,2024-11-26,-22200
bca-d8068e39318d433b61c4bb4230d5c966,2024-12-18,6900
bca-006bb4283fabacd9d916d78349d8e20a,2024-12-05,12500
bca-79bcb2a3067b9928ec05ce0c68028a9b,2024-12-14,-25800
bca-0639165d9c079e8b7ec447352c5a6564,2024-12-10,-6400
bca-f54955a892e67864cabdd067d84932d3,2024-12-04,70600
bca-647b2369e5882b8c0e34a0b9e96ec4b0,2024-12-08,51300
bca-8171cf4b5fb64912ffb4ae6e5950bc23,2024-11-29,7700
bca-37d6bd145450177630706ef0357f584f,2024-12-07,35800
bca-1122dad566a2a4f5bb05398f37459c97,2024-12-02,-28600
bca-d38c3a8f3dd908c6be57fc87469aacdd,2024-12-02,11400
bca-403f885096b3e6ef7f55b8c130d31c9d,2024-11-24,-35500
bca-b944c0af5fdff4b6c2c95fb960233500,2024-12-10,12400
bca-56a88385e869ad20af0bc177fcd6a7c1,2024-12-20,88400
bca-0ee4ead6aa48ed8fc2e6638864936544,2024-12-12,86900
bca-c755815edea3c5dc9e8f389e3cbf868a,2024-12-13,37000
bca-02e0eb3bdfaa0eedfcb3aaeab4842e46,2024-12-21,58500
bca-5d1f49eb85b39105b9875aa0f7b0657c,2024-12-08,10700
bca-68ce3f4fae99e892ffc6e6fcd36e0306,2024-12-20,79900
bca-6274c062c1c9cfa73f9dd20750c91b62,2024-12-12,38200
bca-c46c15026408280c4068eb046dbe050d,2024-12-17,40400
bca-bf2f28c15dc6eb5e1390ddab932f1f79,2024-11-23,8300
bca-e55984da2b8a23f60e5cf1145759efa2,2024-11-24,35200
bca-c48f06e64585a7741a8df7907349fd6f,2024-12-15,-55900
bca-148844ef3a5772a331ba74bdb86f5e17,2024-11-27,71200
bca-c63e6c925a6f2898bcff61f565590aaa,2024-12-05,65200
bca-47a997cd470f87753acf6f96d8495a04,2024-12-04,34700
bca-6226714fd36fe12d07c4ee8111c71a38,2024-11-24,73600
bca-c83fc1b453a21f83bab5bdfa8445a2bf,2024-11-30,99200
bca-8e8f15fa1e647990c2d603b619a0d717,2024-12-17,-44200
bca-1699558f7e7934f9bbd5a4409b200c6a,2024-12-11,49400
bca-670e4184bb3cf3d4177a220be125b38d,2024-11-26,38300
bca-138860ed64d5cc27b28f64494a128c2d,2024-11-29,51100
bca-b4cb321277ff8b9d834e8e03596fa197,2024-11-27,64700
bca-14ed98f270a318ef41733d63590e04de,2024-11-28,4600
bca-6a88e77cfec36c1d09b7196c6ef5e55e,2024-12-23,41300
bca-ebb4ce40935379a8a7f69fa7a5319f53,2024-12-15,64100
bca-4914c299e0eaefbe40d7d09585b95209,2024-12-07,41000
bca-ee26ace9535d9120fd4a92fe6bdcce71,2024-12-12,24500
bca-8f88b366724ff48a253371674f15facc,2024-12-11,72700
bca-503e3313c6cba4ff32e633ce881e0c2c,2024-12-01,79900
bca-ff9d22f0923ac9e750d1981e38beae9c,2024-11-29,-33100
bca-6a67016ea1b74ac0eafe4aa8b7eac293,2024-12-07,20800
bca-671076f7d71ac38c5e00f0331348ef68,2024-12-12,24900
bca-d3ab5ccfd6865082b08f4df844a156f5,2024-12-18,65400
bca-b0a4a1c5b17ecde22779eb375c698add,2024-11-26,45600
bca-64e3cecae4b9b16564203023b3d6c90a,2024-12-13,-93200
bca-dbd32004bedf15470307e837587d9385,2024-11-24,45800
bca-346ee22bc3e40c0346298d749db205f1,2024-12-23,53400
bca-bd56ff2deae37f7ceaf3404e1cbb6813,2024-12-12,-48400
bca-a8302305eacb7c99606e8df34d6655b0,2024-12-09,22900
bca-a467d322d59d1896031c5cc32cb4b969,2024-12-01,14000
bca-c36009190dcc78e7df4dde09f56e2289,2024-11-26,31300
