BCAUniqueIdentifier,BCADate,BCAAmount
bca-5671d50aac7a58712be78d8c4746b801,2024-12-18,28800
bca-93403ad3f4c16403c5bbb8b1503982c6,2024-12-12,44000
bca-a09dbf06b1393cdbfe9e44839603baab,2024-12-20,10200
bca-54e714fdfe677325129a597aac2a0f5b,2024-12-19,49700
bca-d439ec7eac3a28d644c8ab90a67277dd,2024-12-14,87200
bca-a89731e5ebb43c2e988ac5846ef54f20,2024-12-11,-19700
bca-31c0b2fe0525e1ebe08577e54624fc7b,2024-12-13,21500
bca-ac666019d93cd67740bcb331db9c7320,2024-12-20,-71500
bca-87837a08738b9784e7f1756e85bc9392,2024-12-20,24200
bca-19378dcc79386d3d6869bc0cdea383ca,2024-12-18,58200
bca-dcef56cea13763307609cfcc70373433,2024-12-12,76000
bca-27af80394b478adfca6ceb26269043de,2024-12-13,75000
bca-b386d3c729de9f3a78d10cbec362e220,2024-12-19,41800
bca-db5ecb59cfb6e34d2eb41d8f9be0bf91,2024-12-14,35300
bca-5408a5792241dacfc10e504c9a0084f1,2024-12-19,-88200
bca-2c454b1c3ec4e2848067b2f94cd36d00,2024-12-18,52900
bca-e09ba75005b8e1493943a51476c83ca1,2024-12-21,9200
bca-721b538dadd014aa6a97e8e4f74b520c,2024-12-19,65700
bca-6fcbe5d9c8df1313562141038048831c,2024-12-16,48300
bca-370286b8c2dd903dc18ac2b43c08f41d,2024-12-13,45100
bca-eb42a25cd72dced32fc3aaa7a7550781,2024-12-17,51800
bca-fbe555de74d3f479f4dad29449eecc03,2024-12-14,99700
bca-1274a6272b85b19562582fb6605535f4,2024-12-16,86300
bca-b77f0f9d56b8c30606b1e2a3cbf0876a,2024-12-11,74100
bca-684607e9c9adaba50aeb7ae71c7d69db,2024-12-17,17600
bca-5bb8d7f139478aaf6971026cff63f90e,2024-12-13,54700
bca-3faa8c053fde9fb9c09379184c2a1c35,2024-12-13,36000
bca-f51ae87ca5f54049836aeb730f210aea,2024-12-18,14800
bca-dd5a04332e95519232c5c041fdbb4c23,2024-12-19,94000
bca-d4ccdfb39033fb96e4b48d97e2317ed9,2024-12-12,46100
bca-5d52762065a2c46378eb2f0ef69a3fe5,2024-12-15,41800
bca-a4202e8fb185c51130b079649ce72843,2024-12-11,69200
bca-90e6f35dae6103583613367aa52b255a,2024-12-12,-91500
bca-e5fb4bd0f9a1531df50f9b0d44037291,2024-12-19,-25900
bca-96e01b4d183333c3006456f403bfeb52,2024-12-15,88700
bca-920078706c91e618deb0ebfddfab9e07,2024-12-17,-91900
bca-2b1141db779404db5cbcc1034934c2c6,2024-12-21,87200
bca-d7d5dc2cfefddb31d430c20859697659,2024-12-13,60700
bca-3964e962aaf0ba74003c6ffc24ecb939,2024-12-16,58600
bca-1dc8f1a3b498521388d333b186fb7519,2024-12-18,-14300
bca-3366067227f3b99454085b160068e424,2024-12-12,-69800
bca-0a17c3f3b9c6378e30697c2bdb4d8839,2024-12-17,77700
bca-89fbca8e09b50e44bc4d7af82ae68c78,2024-12-15,46900
bca-88ac3b35ed8859710d43ce9eb92a85fb,2024-12-16,1000
