BCAUniqueIdentifier,BCADate,BCAAmount
bca-820aff6193193058f3c38eba36467c90,2025-02-02,-24600
bca-d0acfe548d06b39c074b33e3e5b73bb9,2025-01-28,97000
bca-671fc2c96e22875da5b0ed1a457ea73a,2025-01-14,-18000
bca-0a31542b76ca4fdef7004efcb9189b7a,2025-01-24,48200
bca-aa0d4f43b6c1a39e89ec7ebdf1975d87,2025-01-16,44700
bca-7ca0d9962ca3ba46adbaf88d79c66bcc,2025-01-14,9600
bca-10721c8073b7ddbf17c33a0464b38ab8,2025-02-03,-76000
bca-765f4634409f5a1c33ed10b2a8fb1ade,2025-01-24,22100
bca-8df01851688db708bcfd97e354e973c2,2025-01-20,-52400
bca-a190984b8eefbdd32e1cb3fec2549400,2025-01-24,47800
bca-c7a00fcf749656e4d42a0cfeab981f0e,2025-01-20,57600
bca-5fb9e585d8a56f73b77d62502e03d555,2025-01-21,95300
bca-6d0a0770c8d548a86870f4b9ea5abcc1,2025-01-28,15200
bca-00a40609f88dffba0a8a3db151312268,2025-01-31,70100
bca-624c1d8f3049aaf59f7e25440ecd1411,2025-01-22,88700
bca-7622966712fbe0df6b6e96a35b670116,2025-01-30,61600
bca-7a1b5abb35f288dedbe2a1e6f8b65eb7,2025-01-22,99800
bca-7b0e99ac77d8b3a8a97527cc87663372,2025-01-26,20100
bca-c367a9981a3ffe25803acf3975f68841,2025-01-22,-67900
bca-b31b4dbf87cb8466c045525a03899190,2025-01-22,-54400
bca-d836f2a4761431940fb294fc290817e8,2025-01-18,23200
bca-5ac86368ec69e43f7eb51a2a287159b7,2025-02-01,-45200
bca-af24ec681449caf504a75a9652b98256,2025-01-29,43600
bca-18d13a983c478872d03abde8ffa4dcf0,2025-01-31,3900
bca-9edf343812573b8ecad3b516f90e0b31,2025-01-24,21200
bca-eca32b26a26300bedf725978df5910dc,2025-01-14,87400
bca-c62377cb110035c5db4143ff7f72a5fd,2025-01-22,-34700
bca-5f9efaee8609dc618d0e4fdcd5f997af,2025-01-17,66900
bca-ca5774f9428af2c055d4fc6b4d58a36b,2025-01-15,-75600
bca-9044709797be615b6ec31acbee80bd38,2025-01-15,27600
bca-a4f983b2d88834c32fa1113b7b0a26bc,2025-01-21,-29500
bca-77eb5e2076a86870cb003daa62503f2a,2025-01-27,62500
bca-cca4d17b4daf4419060b5f876c2baa72,2025-01-31,-91700
bca-63283ef8199eaee03283fa6f61c74e77,2025-02-02,-79200
bca-52a6e97ccdc846972ef283d7bae91308,2025-01-29,28100
bca-d119d13f09e5062bb0a644044871843b,2025-01-20,18500
bca-1e18dd6a42c6a6a1432d9c083d17362e,2025-01-29,-35400
bca-340c6248dc1ea4b0277b90cccf11c5ac,2025-01-26,28300
bca-a052638c8e1610af339b13b235d2c7be,2025-01-31,-17600
bca-f3139e7cd2250bfb67f8eabb6a52762f,2025-01-15,-95300
bca-9f9fa8c87a263354e81c361bb0c7fd83,2025-01-29,-27600
bca-d08f0df81b3beacf7f023eb0243d9a9b,2025-01-27,65400
bca-fc825c50fec08c9e841d9072977a2694,2025-01-18,72600
bca-b52c3b7a640d6a670bc7c26294d80afa,2025-01-19,22800
bca-94e07625391305f7345d9ab56ced1b31,2025-01-23,81000
bca-5ffdb6920a3bfaa6dfd63ac836f7d20c,2025-01-27,53000
bca-c166fa1bb2435eea9c7f19b4ec6f1526,2025-02-01,14000
bca-ae4601ddcf0edf40b0922c6fd32e92fe,2025-01-23,29900
bca-3026623515e326533359e9ac58ff1995,2025-02-03,-53100
bca-a80eda7a890b864bea3fa170c066a2bc,2025-01-14,-48000
bca-6faf7cfeb0a6b16569ca31824d909feb,2025-01-18,67100
bca-b7d887342582a7752b7fa603ed1ec0f1,2025-01-17,-80600
bca-1b6a4916d15590dd1173d179dcc132c5,2025-01-30,49200
bca-83b5717a534c10efdb7e4d49153c25ba,2025-01-15,-8000
bca-85f433717c51eabe391041e0c9d06acc,2025-01-18,44100
bca-962c24eb5ebf47656faadde443909dd3,2025-02-03,-23100
bca-787778ad59fcf6ffea027161c9a0b950,2025-01-19,58300
bca-d09d7851ba1a4136b3ce6adf28cacbe0,2025-01-30,21900
bca-ae2ece1a91ecac9be9af3dcc3e1372b0,2025-02-03,72500
bca-e404cb778c3c3737a63d0fc5221c0d00,2025-01-31,24400
bca-d04b87caaadd13794863dea223b3d5d7,2025-01-16,10100
bca-ceba08ba8913ae895552adf8d3325bb1,2025-01-28,89200
bca-f26ce505966aa1e153caf1da2b9a384e,2025-01-20,94600
bca-8e4803f09b4bf5ad17d2d614118e308f,2025-01-24,76400
bca-668bbf9ff33709c17daf120da64474de,2025-01-30,8700
bca-7828c4c2eb6b277564d87147bc03594d,2025-01-20,74900
bca-70ce79a4e5820015bb7508aebb50c6d5,2025-01-16,-28500
bca-37bf841845000c540f2e45c5cf088751,2025-01-31,82300
bca-5def4faa18ef2235e3a93fb191a255b4,2025-01-19,61200
bca-354693c1ad3bfce73af8342975006978,2025-02-02,64700
bca-0ef479c349e464027091f2bb76872c49,2025-01-21,67200
bca-3e2acd0efca3028651e23da5e1445392,2025-01-29,33000
bca-627dd6dd598857be9a8116ef5294eb5a,2025-01-16,26400
bca-94267a65736e124c3e6c9c0c11e8777a,2025-01-30,91500
bca-bb536e667a712451af880c139a8c65e5,2025-01-26,55300
bca-915a3fd6f89eccccbeb449c9edeec574,2025-01-28,52900
bca-e5680df9f92f677f397df8100b4936a9,2025-01-17,56600
bca-d2cfa123ef15202fc4bad8c115136bc1,2025-01-24,23300
bca-2fa5863ddf7a678f556cf918322d136e,2025-01-28,7700
