BCAUniqueIdentifier,BCADate,BCAAmount
bca-1a050967662f7717e6462fb2a0d0e1d3,2024-12-21,92600
bca-e4ab156d06a32ec30695da8d6f361939,2024-12-14,-45800
bca-464d92f1878fa0e1716b42de3810629a,2024-12-17,-93400
bca-a9816edc9ae9dbf380039b0f279ae13d,2024-12-18,28800
bca-483c8569ce3a54931026040a66c241c0,2024-12-21,-74500
bca-ce0fb5fac3de69e6e9a0b3830c7d72fb,2024-12-15,-82000
bca-5c21b67a2832179e1916b7f9ec5d9947,2024-12-13,68000
bca-def0fdfa6c4732718702719234c20721,2024-12-12,8200
bca-1209beed0dbd149cf671be8c827c0c92,2024-12-15,23400
bca-103b031e3eefd26e669468f1732ddd2d,2024-12-11,15300
bca-cab3064e63b9b146b031f2f75e0d8fac,2024-12-21,-70500
bca-552cda173dea2a0cb8c218177f5a9acf,2024-12-14,-16300
bca-111cc644980cf7d520a35bafd717a560,2024-12-17,47500
bca-12f8fe200eb7fb7fa2dc755383c214ed,2024-12-12,25600
bca-eef95934722b7c9562def639d1098856,2024-12-15,86700
bca-b5dc193ec3b0e752bf34a694546bbc0a,2024-12-18,-28300
bca-364013d57e45cfa1204699e7ad9a9c70,2024-12-16,67600
bca-7410b1fa85964ae05b2481c2e2720aa9,2024-12-17,-60700
bca-477369964f9e4ed12e78efeea1b44da4,2024-12-14,79700
bca-53d4c66a6a2f97e0013430d3f4eb0206,2024-12-13,28000
bca-d0d85d89c6b10720c6a8655c63f5988e,2024-12-19,41100
bca-74d6b235baaaf6cb79d93fc4719d80d3,2024-12-21,88700
bca-37e704cb9696275198587dc62a74d79b,2024-12-11,44000
bca-24d00731e17906a5f710ae6dc50664eb,2024-12-20,64300
bca-b40815ef17bd60371f501ee4a9c65c1b,2024-12-15,7300
bca-4402ffd2bc75c75c65bcd90436c8f028,2024-12-20,57500
bca-7c4d814d748f78bc00bc7b62e3ad882b,2024-12-20,6700
bca-7f594789f8070aa8a6743cd7f8a72873,2024-12-14,-78800
bca-4119f33c14c58fc217c4cd9da19a551a,2024-12-21,35300
bca-6008719318141bc6166fee7790971e18,2024-12-17,29100
bca-35babb2e34b5b2d2ab9fb58384a366af,2024-12-13,-87800
bca-6913524d31c34de154c1374d9c210cdf,2024-12-17,69600
bca-747bfc3d927e45dacc947664d718f2c8,2024-12-19,1200
bca-55650ad442068f53d2347a2d5d9d9499,2024-12-13,17300
bca-b25ad2922f5dbd71346c3fc29a6556a6,2024-12-13,64400
bca-126949bd0aa97d281c31189099e83c28,2024-12-17,-18800
bca-bd3403adf0e5a8b1c26f90a1f41c95d4,2024-12-13,61300
bca-8ddc2b90007af6ff1fd3b9052eb3b48a,2024-12-15,58800
bca-14c3828aac728a57890729a47bc35ceb,2024-12-21,35800
bca-a341237694df726a94e4e413a191d92f,2024-12-21,52900
bca-7f5ddefedd3cf2fde4f649ba8abab384,2024-12-13,-63200
bca-e6954d04b2c3f87fe5284c0be7314f7b,2024-12-20,87200
