BCAUniqueIdentifier,BCADate,BCAAmount
bca-d922d3d4f6db261eac11ba7ced6bdab2,2024-11-30,45700
bca-77f621d6dbc3720c152453e9850192b4,2024-12-06,60100
bca-25bce6d61a30b89f5982dca2490b0ce8,2024-08-20,65300
bca-a5382de9a524fff669e7823fed2bd295,2024-10-22,79400
bca-078dbb97b335d7ef7d073ace0162aabc,2024-09-12,69600
bca-50995b4a101f7dda3d53b80d47584caf,2024-08-25,54600
bca-3428f01051797befd68151625fcbb87b,2024-12-11,16200
bca-7c4febddf708c0a28d672c9c8520e40f,2024-08-30,19000
bca-120efae05d94173a60f7e028aa95a532,2024-12-10,32600
bca-abae9f95f0856e70dcf54a8e962cb1b6,2024-10-30,24900
bca-cbf9e9047d789cc13e160b8dcdc54747,2024-11-11,11300
bca-e08efca6f6c3574be5bdd60d3a76e1cb,2024-09-27,30800
bca-39fd46a982aec2945983c0cd222e31a9,2024-08-28,56400
bca-92071512608073ce532a3774f2f394a2,2024-09-25,-76600
bca-58a6524108cf0b0ba6500e14a7404d34,2024-11-08,89800
bca-2c3d95156010555af45c76f200f1ff80,2024-09-17,32800
bca-129223f9d9dc7a89beb5895149f9601e,2024-09-22,6600
bca-adc3c6f11375b49f99dcf658f4196544,2024-11-13,42600
bca-2477207c51703e3bbc3155710f77af10,2024-11-27,58200
bca-59f2528b0afd7f62cda376638ac69762,2024-11-08,6700
bca-581d2a0f8e68a6178c2f40e62989962f,2024-11-21,-54200
bca-3be26fdfd518d7c473efa01e587d3d67,2024-09-26,82100
bca-0ecd88d3126e6405601b9e3b05a882ea,2024-09-21,74700
bca-352b908d71555783eea9845037698365,2024-09-13,46800
bca-9df2633419078bfcdc2f9248d6cd32d2,2024-08-15,71000
bca-d0b7513279e0b3ffa69d1a905a4f82ae,2024-10-13,51600
bca-42af59ac859f3a3a60434a29352c41f9,2024-10-21,54300
bca-5b838535ca103825e5ff1e0e28dcf896,2024-11-09,91500
bca-82cce7d352760d9f5804f8889af00b0b,2024-09-26,-4700
bca-65c077dca04262c3e87d35831850cb6c,2024-10-08,85900
bca-056b8fc2855e9dcb2656f99371ba62c5,2024-09-17,87000
bca-b334ba0b51eb86fde971d6f357a6e615,2024-10-02,28100
bca-62fa396690072a9fadd0487aa23e7069,2024-11-23,58400
bca-e1e986d16df9084363897bbb158ebec4,2024-08-15,34900
bca-e2acc22d3bde3409ad830472a3ccfdcc,2024-11-27,30000
bca-2a40fc36ae44a829ac469ca671b8a20a,2024-09-15,48000
bca-b77ef45f37f95567a5c8de812f0eb81e,2024-10-23,11300
bca-b5c0d19a8ce6271c45fc92ae81cc6a50,2024-11-14,67100
bca-fd8e0a163f5c240da96272f116aaccba,2024-12-10,16700
bca-98bfa8286c6e63dc5fa3002c83d24099,2024-09-21,99300
bca-faba8325b9e854ef68a769bc798092e6,2024-10-11,-92600
bca-cd82665249efa9da1cd03d0d4077924f,2024-08-22,-50100
bca-5f18e8e5e3dea123f1cca39a43b271a3,2024-10-27,71700
bca-9af7e9d5b84072dfef24eb4f38fb2c02,2024-11-11,30300
bca-936f08aded5450b1d9367df12b57a6ae,2024-09-14,-35100
bca-d45db161741fc9b2c4bfcd952e7ffb2f,2024-12-01,21300
bca-33c7acd0a34a89cf0e4edfcbc9a493b8,2024-09-29,69100
bca-a4dcd7e7ca18433f8ed01132a125bd6d,2024-11-19,10500
bca-718e764f5467f9c244e945fdd43f14e5,2024-11-01,-66500
bca-bd076c304b6a7d385537de0cde2922da,2024-08-30,-77800
bca-3e38934295ead4f149ad1e3badf96d7a,2024-12-11,81100
bca-42b6828a9b023f83e0b463108d04dd97,2024-12-06,59400
bca-dff3da0a004e303e435349361c289e0c,2024-11-28,54700
