BCAUniqueIdentifier,BCADate,BCAAmount
bca-3e6573a39b7e5d690efd067d4f05753b,2024-12-20,83600
bca-d779963897e1bef3d0360a121b36136e,2024-12-19,72400
bca-d2b2d5365ae3cc6b163a82e0a2a58d91,2024-12-19,-36600
bca-0bceaf0b6e6b9feeba5d15b793921d93,2024-12-20,68800
bca-39b8d07504af3cf334aef9ef998fc5cb,2024-12-19,98800
bca-a3428ea5230c1defbad3702c2b6e0dd2,2024-12-20,61100
bca-7f3d0a57c92639bb85f03829d1c7b954,2024-12-20,78200
bca-ac720b13478599b935077564376fcf90,2024-12-20,62200
bca-7648e01fec7c291852da08fc4674b715,2024-12-20,17800
bca-d8e6dae8c2ccb3501f00d03f280455df,2024-12-19,-23200
bca-de3d11ba2c66b407a8639e7ed72d0d4e,2024-12-20,38600
bca-8c1716c3205e9cce53326bc1a8a2d32a,2024-12-20,42600
bca-0754e9a6dcf901e985b1d89c9ee9a246,2024-12-20,8500
bca-ea1a874b981d6670bc23c3ac63e424b0,2024-12-20,59200
bca-afdef456d4d0279ed9354bf5fddb97de,2024-12-19,13900
bca-5ea5b4aa49bfe807204d269136c21812,2024-12-20,25500
bca-509537df7d8dcb43ab6018e567647581,2024-12-19,-59500
bca-55095218ed73517e962e4517709947a0,2024-12-19,92800
bca-0e8d95b95fdee857a9bf921544842a0d,2024-12-20,63700
bca-76e4846b6fbe7c8bf766a85744be7c2d,2024-12-19,68800
bca-8ffadb9f7c1721913060823e2560a03c,2024-12-19,85300
bca-9a1ca6bc1a205469040bbe91112303e4,2024-12-20,43300
bca-a38e7abf41380c0548994cf440aeed29,2024-12-19,-32400
bca-5831b55511f20c11408a58a452cb758f,2024-12-20,28600
bca-8f8fcdd27c5f6919997f6e216d98ddc5,2024-12-19,53800
bca-3dcf028809635fb0212200f5554471e2,2024-12-19,89200
bca-0c37f21fd645e228c627bbf04f1dd0e5,2024-12-19,62500
bca-777c31248a7fe331642c775359b58057,2024-12-19,76700
bca-6189474c5cdf42d1a8c730a8bc90854a,2024-12-20,89800
bca-cf993a6cca3b4b75ea45b9325b7f8c7b,2024-12-20,16400
bca-7297c3a5ae3f252f876f25c42d95a2a1,2024-12-20,-30300
bca-79b3d127fbd4b35a680580fa2d65e649,2024-12-19,-7400
bca-5ddf4c47b7950dab910e2834aa851ab9,2024-12-20,74400
bca-2f8739db61c880773f59b13ed5ce57ea,2024-12-20,7500
bca-9f5c073a075872776c603c6b3fb3050c,2024-12-20,89000
bca-2cb7cd814863ee6406f4a69954bec0c7,2024-12-19,-8500
bca-0d3cf60fc00d0e51bf8f027f91ba57f2,2024-12-19,40000
bca-055be49938e5cf052de9c05209c293bc,2024-12-19,22900
bca-74d34708b251649f8b538ebc105bca93,2024-12-19,-14500
bca-cffb825c51136a0d1f4e4457ffd55a93,2024-12-20,10200
bca-c572a31593b6b041b14fc724bdc80fad,2024-12-20,46500
bca-4d7c0eafbc38c1f396413f9cea540bce,2024-12-20,91000
bca-ea2031b8d9947764dadf57ef7e83deba,2024-12-20,-72200
bca-1ad53241d32845a2326cfbee69fbcdcd,2024-12-20,45900
bca-3f19a2136c3f5772396fe5f7ceaab9eb,2024-12-20,17800
bca-78b29ae0a606851bdc4c943963febefb,2024-12-19,-47000
bca-cf1284414d1b7dff940386fcf7d54186,2024-12-19,40800
bca-ce1aa046e147300e33d6dd074ac69a40,2024-12-20,78200
bca-9aefc8714cd361e555cb001c5e976fd7,2024-12-20,84000
bca-50fb2accbd5834f0816f6a4d9e3a3631,2024-12-19,43500
bca-b49995a1dcf3b11b134b7ae1f12b2728,2024-12-19,-34800
bca-d49cc62f2bb74c377ffc0280a5f1a792,2024-12-20,-46800
bca-b1efe704f048609d9093b029c51aa23b,2024-12-19,6500
bca-d958655bdfaa8c8a23cae08efd3120b1,2024-12-19,74200
bca-04736de663b5f36c0d0d3f1f6041e5f0,2024-12-19,68300
bca-853bec03171215fd481ad7f05788e781,2024-12-20,45700
