BCAUniqueIdentifier,BCADate,BCAAmount
bca-dad67c6868afa046a033e20d3d099bec,2024-12-01,56700
bca-be9e69c1e8dcf80c1f136fc9e5dac1bb,2024-12-13,48400
bca-6a94adbfd53162222578643032f104a7,2024-11-18,39700
bca-af01c41bac724f82015f0924a43a62a9,2024-11-18,42800
bca-952cd7b4ac06331b17ea373fc042b615,2024-12-03,-71700
bca-eff8c17abecf3f86e8d172c812747862,2024-12-08,41800
bca-da92e35e3d7bd8fe801a5b1e8d08f5e0,2024-12-10,47100
bca-866ed18cd0eca80793417ce960264074,2024-12-03,56400
bca-63f3389792411354a82ca0315c21b630,2024-12-10,85300
bca-511b6d96b5b5507c0b4d777a2bf74dca,2024-11-27,-45000
bca-ae62dafbd779986e736917ff14bfc1f6,2024-12-15,40600
bca-a737c70d8eeceb5f334a6d99c2834c40,2024-12-09,-20400
bca-e38cb8d3e45fdfcb52cc1234f850bfc5,2024-11-24,57000
bca-1db484abf9819f25d1cf6d81117b6d8a,2024-11-27,-37800
bca-73137aee944aca04490ab4b5acda4047,2024-12-17,67000
bca-55d910a964e6837e3ff176e83a27adaa,2024-12-17,12700
bca-ba3c55fc29626bb5c65bdfed6747c22e,2024-12-12,-4800
bca-a7a27772f221ec07af774f87b7eb3464,2024-12-05,61000
bca-6600ce117d293ad145f27f31cc4d9c31,2024-12-10,30700
bca-0bb0cea148e53d4bacb62f0f210d718d,2024-12-15,58500
bca-303d1080da926877565adbeb93ed9e61,2024-12-15,93700
bca-d6b8ab8a7d80df4db644426a5ebdce95,2024-11-24,29400
bca-8cc5337ad9e9527354ad1007fb55bc23,2024-11-19,14200
bca-6ad46d732cdf1c513c184bb71815fac7,2024-12-11,-11500
bca-dd597965d899385225d1df0b400194f1,2024-12-14,36000
bca-426b5ca2a6bc0cff31438fe91affa5cd,2024-12-12,46800
bca-eb6c8e43403f713494d41d25fd7e1316,2024-12-14,60400
bca-99ad0a0a297fdeb03c738ec13af1e27c,2024-11-17,39100
bca-1d58333a1f41e77f85b58cc22fb3fd94,2024-12-16,-75500
bca-ddff71c1a45c654d43a01e7dcbfcdb12,2024-11-30,24200
bca-33032fdc67779989f2673f88792dbcdd,2024-12-01,53200
bca-a350c288dc1d264d0a6791869ab67419,2024-12-12,-25400
bca-bd3bb35b3607fe0155edd53277e734c8,2024-12-01,-24200
bca-3bd49dacf24ce9461c2619fbc5b50454,2024-11-28,75900
bca-51e702614f821186844e795b8cd7930f,2024-11-19,-94300
bca-54081a79c6e427234b25b5d0edfe82cd,2024-12-16,-56000
bca-d067ce8a2771b971add0592b56580896,2024-11-25,70100
bca-52d3b4006b1541ad46e93f8ef6ea6236,2024-11-23,2000
