BCAUniqueIdentifier,BCADate,BCAAmount
bca-0ba9a2303f526dcd1e3f47cb32a3d7ea,2024-12-19,82200
bca-acda06d59587f5d12bc981c68414d7a2,2024-12-19,63100
bca-92d96e3f79b712bba163320b04a7a495,2024-12-19,-90900
bca-6ab97fbe84e49bda90bb070f83169081,2024-12-19,-83700
bca-c63202f4eaecb5ba8aa0e5e42d7d88ef,2024-12-19,72400
bca-af02987ec0f8a1001d29d718c1431f41,2024-12-19,27100
bca-f04edef6e496ace22fa8447ef03b5ff7,2024-12-20,45700
bca-5b71c173dd784d62e9c6df42cd926b04,2024-12-19,-50300
bca-04b179ffcc6613149412ea2dfc1eb086,2024-12-20,24200
bca-1667b51688c9204bbf5247c3cf9a2c17,2024-12-20,22400
bca-30eb4abd5d3f927d44f2beff86f72416,2024-12-20,65200
bca-1d3fee9dae0ef2a6bfe56af48f8adf5c,2024-12-20,21200
bca-ad77dd9aa5cb6b45386fdfa8429b0a7e,2024-12-19,45000
bca-22ecb15175e9d1d4eb6b82d26169869c,2024-12-19,15300
bca-a26556fa91d6d079943984f97f294679,2024-12-19,29200
bca-2ea79a9e514156b20e8edd715ef0faa1,2024-12-19,84300
bca-b5b54cd9e92edaf0d1821585cb0b5922,2024-12-20,-6300
bca-7e2a456e6bd06221c007f6baea70e4d2,2024-12-19,5400
bca-89456d391c449c37972c5e9c390dc8be,2024-12-20,-63900
bca-088a08aba1f77b0e8e7ea3f07bf1512d,2024-12-20,33000
bca-322491e59cf6db3ae770ead6016991a1,2024-12-19,-70200
bca-9bd79651c8760273f31052c6877e1744,2024-12-20,-15100
bca-573f0fbf31cfa3aada0793a0df36796e,2024-12-19,60900
bca-d88078c190fa8158ac0402ce701bfb6f,2024-12-19,-88600
bca-4653f8927a7fd4ad3d2ffb634ead2c49,2024-12-19,90200
bca-eb417c0184ac9cd26955cc697d682036,2024-12-19,36500
bca-4fb00131c2a4d2158d7995e4b9114dc1,2024-12-19,19100
bca-4a447df12f353ab6a3d291e1b209b50f,2024-12-19,99300
bca-5c0c9ad4ff812ae2350832bf7fcbe329,2024-12-20,79700
bca-4bbc2841f5c977969370dc3b5e8c1297,2024-12-19,13900
bca-e2a090586e5581d58481439ff7ca01aa,2024-12-20,81000
bca-2f8fbb5d54830ac25425a7c29fabec4f,2024-12-20,7100
bca-f9631fabefa0510b67ffdf5dbd9889a3,2024-12-19,58100
bca-7ca4b2060c917b5ddadad9847bbe312f,2024-12-19,4500
bca-e7d333210375b0af9501e31bd036b033,2024-12-19,74900
bca-05e5964f85544f9a513f23b6a396b569,2024-12-19,-82800
bca-5f4c02cbba09ad1b1ebb710cf9b51994,2024-12-20,24600
bca-c58adeebbec20a7274e3fc28f22dafe3,2024-12-19,-39200
bca-4fb2ef64492188b8e945420aaf6fef17,2024-12-19,-30300
bca-077561567a98b0f318e9a2be60b3cae3,2024-12-19,72400
bca-2c774bd97c8014f18f2f8f1f54af1cb2,2024-12-20,1800
bca-f7de84f26b7ce4b8bc7a9835a69cd173,2024-12-20,54100
bca-69e1f68ccb902b71177804553caba0ae,2024-12-19,55700
bca-0b9381675526d5c5bdf44532af38acbf,2024-12-20,29400
bca-2e52598966ced6b63426b7b34d1fdd6b,2024-12-19,7100
bca-48e251f0f6c0083c2bc781f8b6a54a65,2024-12-19,-74300
bca-0b8f1bd58b9e914725b296f7593e9e11,2024-12-20,78400
bca-ac0f759e2f2a724029f2221ba49db00c,2024-12-19,29500
bca-a9190e2f07a57a65514740522832b2d2,2024-12-20,-92700
bca-58061dee705bf74b3e20382993779cdb,2024-12-19,9600
bca-23685aa76f5d5024e2e33b7536c22b4d,2024-12-20,-12100
bca-50df9c4fb683bc2e89786e13d99f4603,2024-12-20,77800
bca-bf895b1218f677b5c9414b87c3768618,2024-12-20,8300
bca-5e7dc6699f71862d9f083e7705e0d9fe,2024-12-20,39000
bca-14595d96cb4d4f5afdc8606c050c6d07,2024-12-19,74100
bca-bb1e266dda5fdbb950c52f6a52dccf39,2024-12-20,46900
bca-ebd937e161c9e663588fed41c6b7d329,2024-12-20,51200
bca-4dfb823315213180fa2b8fe5624ff767,2024-12-19,-12800
bca-862ae56b2ec765bc9d97a9f25525a438,2024-12-20,-73400
bca-aac48072ad714386c463782902d6090c,2024-12-20,-79200
bca-3dfb588c8339857bd9e941fef94190f9,2024-12-19,15200
bca-fa446b8ed3048117d7ac09dd6c824ad5,2024-12-20,49400
bca-ea8f5b41fc76c06bbfb514dabfdf0d11,2024-12-20,-83200
bca-7669b2625acf1b398be1136a58bea9fe,2024-12-20,16700
bca-2beb19cc24c08929ef4a03aa07a9fc46,2024-12-19,-37200
bca-111ad3dbce84b185e0c34b4bbb374884,2024-12-19,46500
bca-ac79341b3320b03f58c868b6990c1760,2024-12-20,45800
bca-6ba1ab1e50cd51c52c622ea73ba03b8b,2024-12-19,43400
bca-e628cd3460f707a7f7dd07d5117e957e,2024-12-19,-30200
bca-68bfb8438717ae10b5a92c2ed733a5cf,2024-12-19,60500
bca-65ce207904edc1cce6efbf796bca967f,2024-12-19,20700
bca-d3ea953f9e9a5a19554438ce03744c00,2024-12-20,-61800
bca-7b74fea885fe640bcc294058d7e31c15,2024-12-20,90000
bca-b4b11a84d9b147c25d834f9bb5081c88,2024-12-20,-57800
bca-7a8f49b628a86898d35296cdeb38d04f,2024-12-19,71800
bca-d47274de26c1c61e4b6c8d143025aff4,2024-12-19,-99800
bca-815ecb5f3e24d90417ee8842790f64ef,2024-12-19,-19200
bca-69a0f32e97974d6939990c11503f0437,2024-12-20,-6500
bca-9149e951ff36b265a68c4eb2b8e0700e,2024-12-20,53000
bca-64d96b2d29b96716475209340abd9141,2024-12-19,6600
bca-8c30eca7de4d3c04106f640c418f5f37,2024-12-20,28100
bca-e177adfa6e726b715134c41ccfadb1c0,2024-12-20,-13800
bca-f70787fb3c0bdd7b6e77ffa26ddf1392,2024-12-20,93800
bca-7447914e1e3b702418a2d51688f83e97,2024-12-19,50200
bca-b159ca258ac7dbfd1214321fd8b95516,2024-12-19,14800
bca-ba5cbdb2412bb4431aff78a39cdc1d95,2024-12-19,32900
bca-f96994c3b3e196ea5146faf19fa38d54,2024-12-20,-40400
bca-dc43f67d6e8b43a53fb21e57ef976eb3,2024-12-19,-44400
bca-edf07c26c91e3f72ac0fb114ee96826a,2024-12-20,12000
bca-4321933a7cc305c787a4c266b46f2d3f,2024-12-20,24600
bca-c0674cf477f68879f4c9623c092103cb,2024-12-20,20200
bca-3ff30bdb9af19cd33c9b967d24ffba91,2024-12-19,50100
bca-572026ffc1f367d73f1b4dbb93997a1a,2024-12-19,18000
bca-8155b5b6640bd2db0cc0afdd02e5eb34,2024-12-20,77200
bca-b737e9a86416fddbb92640aa87ae4d59,2024-12-20,90600
bca-251440ddfb292fb688b40f4d5e8a9481,2024-12-19,4800
bca-48e76c592c1dfd0f525ed5b3f87610a1,2024-12-20,80400
bca-0fbb155b6a3b57c9ac317d653d915c51,2024-12-19,-37900
bca-71b9f764742af84c7693dd6d30621a3f,2024-12-19,-61500
bca-cdb6673fe45b068378ac629294a49f0d,2024-12-20,98200
bca-475720ad3aabf040b5a3807404feb8c6,2024-12-20,-71600
bca-4a4bca3d0ffc5dc8dbd97f3d60d1c38c,2024-12-19,-1500
bca-af7dc1479b8a7d73679b950baaedeee9,2024-12-19,25300
bca-fb4e36c2cb7dc5f579a68e77971d3756,2024-12-20,67500
bca-12fa2679f608fa5a6061dbee77b04092,2024-12-20,90200
bca-221b654072bf5155987e920593902b3d,2024-12-20,58900
bca-5c303901fdf869fc605bf85d5c544f17,2024-12-19,-54800
bca-197053099b9f500b67f0729323e248b5,2024-12-19,98300
bca-421bcfabf0b24f5ea10c91a967fb7f94,2024-12-20,63900
bca-c5381beb2ebb908bafd7ff1bd2268f1b,2024-12-20,92100
bca-5962e9042788a3336310a4736c32856f,2024-12-20,3200
bca-59bf6719909a40fe0b571e208d19d6d4,2024-12-19,25000
bca-4db80ffcd97b6b2be91b56034daebcf1,2024-12-20,24300
