BCAUniqueIdentifier,BCADate,BCAAmount
bca-54b962efce0598b249407948083ee481,2024-12-02,93100
bca-6287067720cea7a0503ae7891fb975d6,2024-11-30,9600
bca-9b4e2addaf7f1585ab13d46614921563,2024-11-29,66000
bca-4701b75ed0823ace29993476330e7dd1,2024-12-15,60500
bca-f1cd7c4f4cd6ff93e59bd2db63d975e4,2024-12-15,42900
bca-fd20ecf10f09fd53f5e2e08f92b5840b,2024-12-16,99300
bca-92d56159e82131c1337cd6e97f0ed615,2024-11-28,-23000
bca-7974bc60f8e1bf8ffe8aa4d8cf148e76,2024-12-19,99200
bca-facd0a97df0c5ae6ce3188334f1ec9e1,2024-12-11,35600
bca-a1f9bc8ae475fc9c8379581466efba7c,2024-12-06,-94400
bca-980353b0bfd756da02467576d530c783,2024-12-04,70900
bca-3926f20f0e0b6ab0489a1f3d24cd7f77,2024-11-28,71800
bca-b1008dcc39bdd5a7aa2729d13de75c4d,2024-12-11,59800
bca-9b3f1025a4ce8c180e77cc4715205464,2024-12-15,-84500
bca-208f43b708036129ec8d5bac68e8c1eb,2024-12-18,-89200
bca-52b873d510d828e6f7d50a49f759936f,2024-12-08,44100
bca-41c232bb83bded3e0f45e91c5a6d5fbc,2024-12-21,22000
bca-99795944e5a9e8fbfff22ff417d5d2ed,2024-12-04,96100
bca-c7cadab91f2df2bd834979cc6a072ff0,2024-12-02,67300
bca-2055080299a58c478165af35a18b5108,2024-11-29,19400
bca-21d17955ace4ced09729d1d31777917c,2024-12-17,17600
bca-53663d454ac4d0652f6f73580caa4806,2024-12-23,85000
bca-ac83edc3d5bfb0c501bd349cb0e51d7e,2024-12-08,73100
bca-794e2c58234d5d30dc9cbdc933b706c5,2024-12-22,30300
bca-52bbfa9a785b3be3ce94d3258c4e345e,2024-12-22,93800
bca-57cefcd48dde84dae81c161c0f00c73a,2024-12-16,68300
bca-eea86ea0684593cd74dffdf99b75ec05,2024-11-25,-13500
bca-ea6b6f8e82f6ea2858bf0ec2d149fd99,2024-11-23,49500
bca-cc27ce73e882980f18c4cb1f48b35849,2024-12-12,-35900
bca-dc6c30ee0f0aadb0f88cb7dbf8237c78,2024-11-29,20300
bca-14c56ad104b826486c6867c4a211bb81,2024-12-13,12600
bca-ae7704e1d52e1a225c23a0d8ad7d2a50,2024-12-03,28800
bca-5e1f98db2647da0be55da3a167324920,2024-12-17,20500
bca-640b0fe5f3ccfdc7db42c569ee461106,2024-12-16,89200
bca-fd6507c805bddc0271cbac930e6dce2f,2024-12-17,-55600
bca-ab8e51a62e94d12cd71b1b262166a2f9,2024-12-03,58000
bca-39c96a3fdc84a8271d096b87edfb3a9a,2024-11-30,85300
bca-9ce7c8afec2b8b0a12664d284bc90cee,2024-12-04,25300
bca-5d12399591d376a7bcdc891a33f9213e,2024-12-10,91100
bca-12e0862431944e24e855ec29241b10b6,2024-11-29,85900
bca-edeac5d1ae6cf23082e7ac76f51dcfcf,2024-12-19,70400
bca-5cad40c2395e93b587f0f651c25fca5b,2024-12-06,-22000
bca-614f9c0875d8d2dca823f670a3189cc4,2024-11-24,65400
bca-8c4e2e2aaac6d95bc1c473c4fe0a3fd8,2024-12-08,-83500
bca-328402f65899d45d79bcea8a710f834b,2024-12-06,75200
bca-dab03bf398efe4e121b2db6d8b1f3a6d,2024-12-15,-52700
bca-ea8d2beeefa34c7d10c1ed452d5e6246,2024-12-19,22100
bca-40c2356f08e89dd5feb629c8f571ace0,2024-11-25,15300
bca-a5e3a27b218e3cfd1cdd633835bc1b5b,2024-12-17,64500
bca-e193d9a9aa5d5e3d3e70e82f813fea04,2024-12-18,68400
bca-c98de858d0bcdb15e25db7c754774f81,2024-11-26,34100
bca-aca0873f7c03ee76ecf7216905cbe8ae,2024-12-17,-93900
bca-37d1653344aa27988e0b48d44f6019b6,2024-12-10,45500
bca-d629298236950be4091bf69d77d9b3a1,2024-11-23,22200
bca-2eb1fa35de04469845674d34b6153c49,2024-12-19,-21400
bca-b870decb88e5264c3f286e1108aad7e3,2024-11-30,23400
bca-5bffd1facc9a33d1cb61f821985c0a6b,2024-12-06,-80600
bca-31d5fe6107293369d5f2f6cc30ed0160,2024-12-16,-14600
bca-f8ee1b379f0b1f61a770424ba6e8b356,2024-12-12,77700
bca-62b79799505704338f531b04e6a449e3,2024-12-01,4400
bca-4f5a34b1ac3099dc1d11b2faa20d0ef0,2024-12-22,78200
bca-c14e0a6945c041b5bba41e0f03a68ccd,2024-12-19,-38300
bca-df9529b6b35df074692ab791a259fc15,2024-12-01,2700
bca-7df94cf80180662f1576988436140d7e,2024-11-23,89600
bca-41119c4cbc2f8993066ad38bfc636fdc,2024-11-26,-49800
bca-5fb677db853289ad0118ea08ad473627,2024-12-14,45200
bca-b42fbfbe029f0d99dde9d19856dac421,2024-12-12,13600
bca-2eec7677e9e2bd899defd16bbc5b16cc,2024-12-05,64200
bca-20044b9ab0cdf6788ea7d8576a72234f,2024-12-01,-89500
bca-e8efabbe15ab8dfc4f69912dcfaf7d8f,2024-12-04,7600
bca-f0827d92ac47997bb23862eec83f6347,2024-12-02,77400
bca-43ac5368bdadb31eb31d2f916a6aa462,2024-12-02,61800
bca-d360be46360b18e55949e4593f4b0882,2024-12-12,27200
bca-08f1241ececfd505f6904c3581df0d50,2024-11-25,85600
bca-96afc6c15dd8684b7163b910effe5f82,2024-11-23,-91400
bca-da57846fb2854aec4a3e49693e1b3544,2024-12-21,72900
bca-d330b2a499fea600cdeb5556066c195b,2024-12-15,73100
bca-43274b60e6954b3543cfd2e86aede4f6,2024-11-29,-25200
bca-d7e7a105feaa7fd7e74385c025656024,2024-12-04,81300
bca-8da7f7b961e3188f175572515eb2c842,2024-12-15,11900
bca-5c00afb2f4a5dd521c1d866437bfa451,2024-12-14,20200
bca-07da80e5da0a00e68482b4d8d2088a6f,2024-12-07,-71000
bca-ade5cc2794a60e014198d4a63bc4d409,2024-12-17,89000
bca-901944d560bd95e48eb11daa559fd396,2024-11-29,57800
bca-cf9024761b46a9cf9e34482fc7b4cf91,2024-12-20,-26100
bca-e5c242de263930f807b879089fcedb20,2024-12-12,30100
bca-68605b61ba39e5c1e83087eb6b01d217,2024-12-11,72600
bca-685aff75055af987d99619a5e208f83c,2024-12-08,45600
bca-29acf3d4f11530897ef0e3272b095520,2024-12-09,64700
