BCAUniqueIdentifier,BCADate,BCAAmount
bca-83afd3078e5ff0385ce92483091b15a4,2024-12-08,11900
bca-f856ac130ef8631d6f98503933461790,2024-12-11,67300
bca-6cb85a25753d3f93f8d442ec0c15e421,2024-12-13,23700
bca-12e7933e880267eeb138159564b1c538,2024-12-15,17900
bca-cab8557e773a81e61c3c2ae5d8d35247,2024-12-11,39400
bca-5b40ebe9b8633424031bcbcddaf153a0,2024-12-08,43200
bca-17c77c43f2390cffe65dec510016a079,2024-12-04,81800
bca-a648fb25ac120f9ba39baa17bd5d6f6d,2024-12-01,47000
bca-59ba200b3a7b804f17b97be51ee3d054,2024-12-01,63300
bca-0f452d88c378b894d4df3879acd20282,2024-12-03,-64500
bca-784363568f369734f52fe19be309d129,2024-12-05,14600
bca-e25521bf9cb6c07be8ee52b9eba6dc1c,2024-12-13,5300
bca-1bcea42a5ee32c4aa3a0f72d460544cc,2024-12-14,70800
bca-9a7cfe4c7054940c9925e77340c9ab94,2024-12-11,-21800
bca-a2c73fcbac778fa191f63f49ee1ead74,2024-12-15,-79000
bca-fd42df2a4721252fd90fcbe8987675a9,2024-12-08,17900
bca-f7c30becd2e0ce1aab49b1e8d233313b,2024-12-02,-88700
bca-6ed22565be8634a1e7fe6bb288924cb1,2024-12-11,37200
bca-69360835d33588f1c381756ebc9faaad,2024-12-07,13200
bca-44be157d8749abe108dd1befaa77e9f4,2024-12-01,86700
bca-14411e69832726ba641fa7934e5dcba9,2024-12-09,-51200
bca-7ed7f2c4238e07d550bbf7e93ec13a93,2024-12-11,28000
bca-78974e04541fa1cc40a048c8c4a090db,2024-12-04,38800
bca-eeb33f7732179818819087bbae3fdede,2024-12-06,63800
bca-b94cfd38c44d55e0db16ff0c1b6da143,2024-12-15,29100
bca-c1edf40e6f695c8ec391ad22033200e3,2024-12-10,39000
bca-4422d805745e9946d34cc24dd133b10c,2024-12-09,18500
bca-12b91b0da107ada495124e8ca317ca8b,2024-12-14,10200
bca-2050c337a6378ef74aa9feb017e0159e,2024-12-02,87800
bca-5684dff26949272ef4ed73952c6daaae,2024-12-11,93100
bca-f02784ce71373481ff56db6b4e10ac28,2024-12-15,45900
bca-c6d93625cc9aa2d711cf7e04764b2744,2024-12-04,96100
bca-14d945b994002f2eccb9cb7e80d1165c,2024-12-01,8100
