BCAUniqueIdentifier,BCADate,BCAAmount
bca-c03a3635c95e1dbfdd59fd05e6c02602,2024-12-20,-82000
bca-f3b44529c91edac3b57867fb6fb30adf,2024-10-15,89300
bca-25bd734ccc47fea04d4e0896eacb921f,2024-09-23,-35500
bca-206037bd15d4dbce28ef9a07a8cdba4e,2024-11-10,-27900
bca-782d1dabf8a8e091626a8f99858a4feb,2024-09-01,91700
bca-a2a1951d4fa646dea9963aba96649ebe,2024-11-07,99500
bca-53a55a269c79ad3d818657ca1a185dda,2024-10-25,81400
bca-de305fe8054057d480a2f77b43534bf3,2024-09-12,62600
bca-67faad0980299685232ca684d16046f1,2024-11-15,19900
bca-ac5f0e9a2ff47521a06b1bf9d1dbf94f,2024-10-01,81700
bca-9dde326fa7a19a5b5e2fbf28cd4c3890,2024-08-30,61300
bca-02f0ca46f1069091910103af5e3b4af5,2024-11-09,67300
bca-8abaf0e9295d78a02e8a02bef49182b4,2024-12-16,-3100
bca-ab6e9ec020a3d6c4adf74c70021e6b63,2024-10-09,-36000
bca-da3887d5e9626b0192e617ebf3ac819f,2024-11-03,37400
bca-a2829cd71c659773ba5f211dc8cff501,2024-10-16,33200
bca-1ca6b025e6543188332b526216378c3f,2024-11-13,-10800
bca-c5c015382728e2dd61dcf69c285b34cb,2024-11-05,31500
bca-5e85c38226571dab251824b05d30ed6c,2024-10-23,38200
bca-e35683a654bedc7b3595306b17522575,2024-09-25,1500
bca-6bf3a8319327714342283c629a08d274,2024-09-29,53500
bca-63784f596f4658a01b802d6c6c050291,2024-11-03,-37700
bca-c337a319d5a7c1f0ff3e86a5deabe527,2024-10-28,-43500
bca-b69aa6bec7af0c122aaaaa9b2ee81410,2024-08-29,49200
bca-3348c80c7b92313291a5995862102159,2024-09-27,35100
bca-177ad281d3b304ff38ff371f6d658bab,2024-10-05,8600
bca-c17aece64682c5f06e240a6b67369735,2024-12-17,26900
bca-4cd851a083ec2a75095fe1a30101b1ba,2024-10-21,87600
bca-9138d0e1100e92c1788e4817487a1f6b,2024-12-08,36500
bca-0ac76453784f9d25bf776c35df163347,2024-09-16,-45800
bca-a7be5437764b239479c3e3398aaf0ea7,2024-09-29,-39700
bca-69d6431a15b878e72286aa9d6987c713,2024-12-22,42100
bca-7ed0a6505ecd188410dcb6062dfb3deb,2024-11-07,77600
