BCAUniqueIdentifier,BCADate,BCAAmount
bca-657d494d167d86c77f6f96dafd97ded0,2024-12-02,-14000
bca-cd08088fb0933801265963d71ed62b87,2024-12-02,45100
bca-3768bd43479938fb1ecb3a08c27880b6,2024-12-02,-29500
bca-c28e8339eb966fc335d59fc18b459944,2024-12-02,43200
bca-c36f116ddeb9e0185fbcb44be9557f53,2024-12-02,-5500
bca-99e3ad613cda7beeff28c7f44096a7b5,2024-12-02,72600
bca-a64beb55aeed51fa025ee46003e129cf,2024-12-02,61400
bca-5fcc712ccea99bc28e19da31049d12b0,2024-12-02,-98100
bca-678fdf8a637e8f1848783ba77b9d4a8b,2024-12-02,90900
bca-a0269431ca31099a199499021a6877ae,2024-12-02,-98000
bca-0740f1aef140c53287879a82e320f2c8,2024-12-02,35200
bca-22f3f8cc4e777a9f0ab8472196a78cc4,2024-12-02,67100
bca-ae6b585c15444c187c5cde1a6696b9ac,2024-12-02,55900
bca-3f5161407929fe0922b00a2c9196e5d9,2024-12-02,-67000
bca-39b06baa76922ec6c722b78e3d22298e,2024-12-02,1300
bca-892330313788ff8ab65751303575f0e5,2024-12-02,69700
bca-e18ba13660349f6fbe2edaf13b9a1cb4,2024-12-02,26000
bca-a7c098ab86f8acf5bff7c1321b19d665,2024-12-02,82700
bca-728a71e1bf6647253c1e455303438c49,2024-12-02,85800
bca-ac8a1a5821413455e07e835cb6a4f437,2024-12-02,-67800
bca-e948410ad52d40c5b12903d447e6f683,2024-12-02,41200
bca-4ef2f5348ab1031da6c771d4597d3a8a,2024-12-02,-19400
bca-77a1ad74d0e7bb32347cc55340c3058a,2024-12-02,7700
bca-e427e6bfe68b2a5fe27f0bba445ed731,2024-12-02,49500
bca-1f13ca2fea73dcc44f69949bc4ebf773,2024-12-02,-1000
bca-4762d0a4217f352a3cf44c528e625943,2024-12-02,58600
bca-bf555aebbe89c9d9942903aebb6b29c4,2024-12-02,-10400
bca-f8993628a8770723ea87ba8cf9f3b514,2024-12-02,82400
bca-5c9c3f664ee6b45a8021bd5ca856755e,2024-12-02,-98700
bca-526f0df5f1f85350e818354bf9e4c68c,2024-12-02,1200
bca-93c8381af08e6e0c460b484cc65f52d8,2024-12-02,56800
bca-7ff57643410f1bdf062dfeb34b40cc6f,2024-12-02,-90200
bca-35ba7b927eec0fd473b5464b4eb5dce5,2024-12-02,51100
bca-fc6bb19c0638412a59c50950d330e60c,2024-12-02,26900
bca-d81dee3dd1f8629781f2222ebb04a57e,2024-12-02,26500
bca-729f5bbe744d4f906027e2af48b6d994,2024-12-02,38600
bca-3715ef56990475ffc259a6230ecd5281,2024-12-02,26600
bca-8d4541ede8e33639d6a8e17b39725883,2024-12-02,37600
bca-b6eca022092eae96bbc21a9e9e1ce9dc,2024-12-02,-50800
bca-85c333ed43dcf9032c5f9659efb84144,2024-12-02,34900
bca-eacd05215cefb8d588185655380f0401,2024-12-02,83400
bca-d727322296d6a3fa028dda1a316fe3c0,2024-12-02,66000
bca-27ab7f390663ecae45a139a1b12e07bd,2024-12-02,66700
