BCAUniqueIdentifier,BCADate,BCAAmount
bca-6c8dfdbdf3d256f3f51955aeee3826aa,2024-12-20,-76400
bca-54abd6e06bf1996992e06458e71891b8,2024-12-19,41300
bca-2b3c75e3a3ffc2ca38c5b56573537a67,2024-12-19,-76900
bca-ba764acaa25859bf317cd0fa8bf4e393,2024-12-20,62100
bca-3a0f47629501e5cdd119bbf7c6ef02b0,2024-12-19,82500
bca-acc22b9f50d8158040012e2aa72baf2d,2024-12-19,12300
bca-e892bebdfc6884c9eaeb45d9575a0e62,2024-12-20,66400
bca-9af377ebf46d3c0a06b4236591e9aa37,2024-12-20,4600
bca-e89969dadb7b124425b5df73e95a69de,2024-12-19,25600
bca-c47939f51a4e91b00e9be5ea15ebdab9,2024-12-20,88500
bca-2485ba3e61ddd28d224fcf0c7e71f95c,2024-12-20,-45800
bca-c8ee34f94e413ba9f29e15063f36ab7b,2024-12-19,-17500
bca-380cfde6eb9caf3756e93c93912f544f,2024-12-20,37800
bca-b9b2d03a70f5d700b5526e31d3aad3f5,2024-12-20,33400
bca-7219291cca64bad4534debf05a4cd15f,2024-12-19,99500
bca-767780721e026630adcddc4f9a511128,2024-12-19,4300
bca-54073d7e9600a105235cf64c2b718f56,2024-12-19,79800
bca-e31b786b4ad6c4c3976639f0a9e830fc,2024-12-19,30800
bca-04fb85299002d2abb41d93ec3829d781,2024-12-19,-95100
bca-1ce50d0878a0fa40c475482879b6461a,2024-12-20,6900
bca-c3487ee67e59f4ddd1c9108786b16dff,2024-12-20,16400
bca-374b622fc48940e53f738bb2ddcd1ed5,2024-12-19,48000
bca-0665491bfedaa872aea1741a0e6e2371,2024-12-19,-73000
bca-4903114ffa3bfa0f95f4ad952cd9e9d0,2024-12-20,98900
bca-09176291c52a1cd9b8c85a366d6f6020,2024-12-20,82700
bca-f12544b021e6d038f28e1cb6787a7229,2024-12-20,-83600
bca-40ee014e10dff5daa5067ceee14a7dc6,2024-12-20,43700
bca-d036090c14bbb91a17364275fa490021,2024-12-19,-5000
bca-32493c6275d9d22206837ccb1b38141d,2024-12-20,66200
bca-8d1ce8eb7c7684ba66ebaef990ebccf9,2024-12-19,58100
bca-067b0b1eacbd840c153c254f84b5ce14,2024-12-20,-59000
bca-44ea671ee6396225f5921f15f5614ab4,2024-12-19,-36200
bca-d90c28fa49395191e0cabe432d7d9b99,2024-12-19,32000
bca-bb8cc586cfd09f6aaa6b6eeb1eafce9e,2024-12-20,22600
bca-a8ee71a34ee114173f22410042dfb499,2024-12-19,87300
bca-d362342129f5178b22e521b7bd6bbde9,2024-12-20,21700
bca-c84739c9131caaaab1c08d9b41f38a01,2024-12-20,9600
bca-3057e5add95bc7c5f1ee8edc0eadfe1e,2024-12-19,44900
bca-864566deb43319b6d4f1918f2086ea36,2024-12-19,28100
bca-ff1945f8de1062de1f2cda02a7f3fa2b,2024-12-20,51700
bca-493d2c87b87456e07d401162805930cf,2024-12-20,14400
bca-432fbc52531ffb9554054e3e6e12b2ef,2024-12-19,60000
bca-f23688a38fe3cdcb8624a1fa29d9bf6d,2024-12-19,61700
bca-b9783fb106ab86c4fd9ac1c1909e4810,2024-12-19,40800
bca-ad20cb83bd15d1cda988f1c085f9d9e0,2024-12-20,40300
bca-cdad704a0d6c287519827ea1c05640e0,2024-12-20,1200
bca-521ca9c83a9c37a96e9ddb54f3553efe,2024-12-19,1100
bca-cf368939d08202a8765c4b001fae8475,2024-12-19,-99400
bca-96d96743e75d6957b22b83047949da21,2024-12-20,75800
bca-8d4383d13f1d37b746865e4abc14ecd6,2024-12-19,32300
bca-491ab4144a8c4fbf83a9a00117cc66aa,2024-12-20,88000
bca-f53e3ef9d041355db7feaf8684de2f8b,2024-12-20,56700
bca-3054fd0f3d193d531cc4afe769375e76,2024-12-20,53800
bca-065d16e463e1d6b5ea4e457cecb6f34f,2024-12-19,-92800
bca-b379ddfaca5741d5db40d0384e301e58,2024-12-19,92600
bca-5838f3214b56052a1cd6a1c1aa86db48,2024-12-20,77800
bca-6c2f12d8cd85185f931cd25554062836,2024-12-19,14300
bca-33adcf5f097f28645dd35eab63229848,2024-12-20,59600
bca-00e1b8c730df721715c9616219a6d76f,2024-12-20,-87400
bca-21de063c23af5c261fdda9d2fa996abf,2024-12-19,68200
bca-d7390d0c0b7b990228ab526e2838b828,2024-12-20,-43000
bca-69e50546ff3b326b9b88bbc1d0fff517,2024-12-19,55600
bca-40b262e030e91aa9a4960ec3aced5ef3,2024-12-20,41300
bca-ced14c8bbe354afa55f323062a74b0a0,2024-12-19,44300
bca-59478f17015cf1227637816002c0a580,2024-12-19,97700
bca-de4303cfc6a6bccdeeb0da139a2c6717,2024-12-20,85100
bca-eee643ed6bbb4a851031e7a5faafce13,2024-12-20,-80700
bca-beb78192a0701521bb50d31cc60bd202,2024-12-20,89200
bca-7b3616c91bd1492aec5368ca647dc36b,2024-12-19,36700
bca-3211c13b479262f17ccc8bc93a2b549d,2024-12-20,-55800
bca-533e32d8fe561bcd1dc9a82963031891,2024-12-20,-34700
bca-2e2a752f405523323a36743227845700,2024-12-20,52300
bca-db9324a4aab62fca8a8d0ae8d27e3e32,2024-12-20,53000
bca-45a6cda6de0ae0924b0f11f9ad060eb2,2024-12-19,72900
bca-3cf9041ed1c02d5e3ad9803e64fcae92,2024-12-19,54100
bca-ad1a413f6d690ea368506a0bdd36399e,2024-12-20,-91200
bca-fba4fd0a62fa8a5ee7001cc4139aef1b,2024-12-19,41800
bca-7d0756fb505132f3750af696e995bad6,2024-12-19,34300
bca-623ef30dba0f8a3c468f3e4e38f72de4,2024-12-20,2300
bca-369f90fc1fea30dd5fbab9e18c72e72c,2024-12-19,76400
bca-db3a324aac34e70cc0ed05fefbc7b5f0,2024-12-20,1500
bca-1d618b5c83b5f4ee61e3487c3836d62f,2024-12-19,28700
bca-f0ee16b6ac4ec707e6af2e4749621000,2024-12-19,14200
bca-221b0e13201e7582e0f44792414899b8,2024-12-20,81600
bca-0fdc54bee6d0ce4117cf9d992998594c,2024-12-20,80200
bca-426e0ffe061ff62346d093b5f3ad0714,2024-12-20,68900
bca-bde612cc1042157bf5acd72132e092c5,2024-12-19,-48300
bca-55d4d2138fe63344bf0a33c054f2720b,2024-12-19,-30400
bca-3e934a8bafba84a0b221921ca9370da6,2024-12-20,90700
bca-7443863d00ec46eca2a670a88a8aada7,2024-12-19,12900
bca-5313dcb5a58153e90b1303242a283da8,2024-12-20,57300
bca-036c01007d69be7342194f311ee94baa,2024-12-19,17700
bca-297299e3093f0b17b23aaeecd87ce2e6,2024-12-19,82300
bca-dea5a390745e86ce7e2ba5081c689c1a,2024-12-20,58500
bca-d5a60c3eff2b38bd1e790a4b8b0bd161,2024-12-20,-70500
bca-50ca05705e1fb76c20de58cd91607025,2024-12-20,4500
bca-d712cfa6cda1ad7d50f741817c2b71dc,2024-12-19,52200
bca-75095065e0dcd4bc0f195dc18a55aeb4,2024-12-20,52000
bca-979b391444d70e4404e69d26d3c227a7,2024-12-19,-43700
bca-49abc91a08ac4ab508e7f49d66fec14e,2024-12-19,-44700
bca-e16ab769b0c7590e31a8e87c9e3b5590,2024-12-19,-74900
bca-aaf8e6ee6cf2dba9c65f02694dbd8765,2024-12-20,26100
bca-dee7cffe21d81993133abf3926082bbc,2024-12-20,76800
bca-d303a9264cc4535d054827cb50f705dc,2024-12-19,53800
bca-ca2845e0773a10fcaea16892c580be7c,2024-12-19,11300
bca-7af67745c14b705876b7a413e58c94ba,2024-12-19,59200
bca-972dd1c284dfcb593281e9f73f1ac1dd,2024-12-20,19400
bca-fbc7ed94fecfc00dd6f84e885b86fa57,2024-12-19,16600
