BCAUniqueIdentifier,BCADate,BCAAmount
bca-d3bd14bd17855ecf99028fe66be79a2b,2024-12-16,64800
bca-0c63527e2262dcaf31f4de3bf977ba63,2024-10-24,84000
bca-631048474d86932e2b686eb98e6eaccd,2025-02-10,4200
bca-59bdf6fd7006dbb5853ed89736782d65,2024-11-12,-65600
bca-66527218a5cd793615d042154190e3eb,2025-01-09,96000
bca-54245daba1d15969667aebb057c34dd6,2024-11-28,-56900
bca-27dd166e246352bdf8003eefb1eebaaf,2025-01-26,-60600
bca-82b65ebc80044ebec307d3914708fed7,2025-01-02,-54100
bca-00d88abdc86c4de1b70194038108d337,2025-02-02,42600
bca-bd7f16c393c86f102c1143aecfa9774a,2024-11-26,-39500
bca-b1a00bb506df8f66f1a58a08e39cdcd4,2025-01-10,51200
bca-38480c90f78dee43ca3800d342be247e,2025-01-18,89200
bca-cf7e23edd0ca5967c1733a61e5a8e00f,2025-01-08,-65000
bca-775b1171d3e9ab913a4629c8e9596863,2025-01-18,67500
bca-8d4869397a741c60817f7558cdc8c1ec,2024-12-20,59800
bca-b00b293e479c08866de56aade02cf86b,2025-01-22,73400
bca-b69c8df2521b36e53cdeed2e51ae682f,2024-11-23,49000
bca-643558ec63525e53df7354f8167c58bf,2024-12-17,1400
bca-3bff8dd7b0200ee488aa79cb3ea7e1b7,2024-10-28,-6800
bca-6f66f026a97ce79cf2d445de993a078d,2024-11-09,76500
bca-c0349f596ad0a0c309634f55c1e71d8b,2025-01-29,50500
bca-388de7ab53b0212e1247100858e8e92a,2025-01-09,-49300
bca-812b6a96b7f7b09e02f7137481a99f62,2024-10-29,-92600
bca-6425ba5069b9c222b01ab9aab37130d1,2024-12-09,3900
bca-2a4ad81b96900abc5c733ad3281e5912,2024-11-18,-68200
bca-8fb1708ddcf29f556fa631b463b03f31,2024-11-23,-15600
bca-2ddf7f69121a80306467c3a586311ca7,2025-02-10,-85400
bca-9986f4e64ce3f6fe0f7163e5ae9f18e7,2024-11-30,47400
bca-5a1414ef2adfca4a2727071ef50961ae,2024-12-08,17200
bca-e3b81959d206ba07026c665172763fd6,2024-10-24,61600
bca-a5736534862e9eb8b0a85ad0c4bed7ce,2025-01-23,43200
bca-e253feabdd201b2a3cc1aeb367bf58f8,2025-01-01,-12000
bca-f243db9c893065f420002b45551a0a8f,2025-01-12,28500
bca-e5d7d7aff36680a80cd44da5cbd55608,2024-11-03,36800
bca-4d0e81dd62d7173d5fa6302fa8c95d9b,2025-02-04,-79500
bca-7863443af70dd65fa31e6c7be682a34e,2024-10-28,91800
bca-edf3c27f858e46ace382d21a0f2aefee,2024-12-29,5500
bca-3fa9ea30f32ef54a5db833c32300ad5f,2024-12-23,68400
bca-c91a850ab7a72719c3b6f34ee6b6cb1c,2025-02-01,31300
bca-65366d8cb3ec1c7c29405cd722992402,2025-01-29,38300
bca-be65374e0ba6c33cc6d8cd327c1f634b,2024-12-09,37300
bca-87cb2cbc4542df91876d68a2f0f1b9b2,2024-11-06,71100
bca-05a63af1dce462eba0a1594261d94977,2024-10-24,83200
bca-25d8105947ae0a11a1261850350035c4,2024-10-24,2500
bca-15151da1ee9b6a54e572ad04982a3f7b,2024-11-13,20700
bca-7ed809a524a1a4906aa9a787569268b5,2024-11-16,25200
bca-bcf776bb38b656c2ea809b639a933251,2024-11-11,37900
bca-6d0656933aed46c0cb8054e2d4026d4a,2024-12-15,-24200
bca-068a8e85c4b3229dcd8fe07317e253ee,2025-01-22,1000
bca-ea549fe06fb4cbebabc4f8f29a23e451,2024-12-03,-76700
bca-ff24670d7a0aea3eb67701a5a2aa566f,2025-02-01,13500
bca-b4ec09864c68009aaf055a8a1f09fa6b,2025-02-03,-99500
bca-46acf33e6d6fcd51f2dd1a9570aabf8d,2024-11-15,40200
bca-533dc7b34f3929c6147467203c43a8e6,2024-11-13,19300
bca-2f813a00162d6d61665e422d3343bd69,2024-12-03,-6600
bca-43d7d9334f29c00b33894f35901cac27,2025-02-14,-4300
bca-b85b89edac27aa519c8d61161cc9ab65,2025-01-10,60500
bca-bb2c1796e799c59385b1e179a30c037f,2024-11-26,-97800
bca-030c793e638ad8461735a55657f53523,2024-12-29,45700
bca-b116f55802c47e97c93b88d35347c181,2025-02-17,17600
bca-e232cb9fa2e3b5d90e12c60a240a72d1,2025-02-19,53700
bca-c1bc0317299b890ba359de192d1b38e0,2024-12-14,-72600
bca-cdbe8d1e30d5192053b586b34e25f525,2024-10-28,93600
bca-f05a5c19a9ad11d437d2c9a63ac3c28e,2024-10-25,96100
bca-9d1ecfc13fe3711846933ebeb7cfe185,2024-12-02,51500
bca-81260c71810a5ebe3785ce43b59b0b95,2024-10-26,89600
bca-e24d5975af2212136bedbb2702bb1d4a,2024-12-20,21000
bca-9abf087ef598ec2010295fe3f254409b,2025-01-11,67200
bca-d38c61807c5164dec5ed7896b7b83802,2024-11-15,-55000
bca-ec8e6905cd60bda3218533e928e27aba,2025-02-03,-40800
bca-868f219d32ad7db2b2050a76a5682eeb,2024-11-22,80100
bca-66a3cacbd114a09bfffb7f5736642d1a,2024-12-13,42600
bca-f0725a3bf145407bbf091cd726d91fb6,2024-11-30,-61800
bca-37b342b7be9633a627b1f05fcd4948c9,2024-10-30,-87800
bca-bef181a368629c6db1749a1db7c0d70f,2024-12-05,77500
bca-972660b79762eb3b3f75826fb91614e3,2024-12-01,-97900
bca-696bceacf75bdb5e257bf24e50790490,2024-11-14,-78300
bca-ef565a2187dc65144d09f42e9fcdb090,2025-01-09,3900
bca-4972661ba8cad6bdbe75ce93afcf05c1,2025-02-08,16400
bca-9e761d3c092ba934539c49beead6bdb4,2025-01-31,-46700
bca-7d4367e92c9eb74e27ec97bc30d8b5ab,2024-11-07,-12700
bca-3657a78aa61b0d808187a2bdf2e162a5,2025-02-10,52000
bca-4bd981749e3bf80ee3ba13511515e8f1,2024-12-20,93900
bca-ff23190099209f9d55831d23bfad4ef0,2025-02-04,-38400
bca-df7650bdd7fe02dbe5c61c9ff7ba3368,2025-01-27,-73400
bca-ee5d68525b539f0b4a5b50ea05713c9c,2024-11-08,45500
bca-73d85be3e535dc2790957b08ddcfc74a,2024-11-20,99600
bca-34f0aec85efb6ae7d9fa4895b1e3a3ba,2025-01-02,28300
bca-7caa51eccb74758d9ecd68036bcd3058,2024-12-07,93900
bca-d3415f6313d09e1442b4383506c13795,2024-10-30,72500
bca-55cd34a1d70592738754a12bdedead18,2025-01-08,-94400
bca-f959afd0021cc8d8666a6a8ce1110d32,2024-11-14,43700
bca-c90ab373ac4a16f96447871ae4c602c7,2024-11-28,-19600
bca-e5648c138eb74ddc9c0de2c7dfbd906b,2024-11-11,75200
bca-104c9a3840efdb96dc8753d22f25697f,2025-01-01,56300
bca-93207e563838837f9444e6803b1f214a,2024-11-13,69000
bca-d8d9ca201d9a02318fa1663404a5a1a6,2024-10-31,73600
bca-21410d584d562de7192386b073b5c9a0,2024-11-17,74600
bca-8a6f34579556e9f94817a4682459d43b,2025-02-02,21800
bca-fba033f2ae10495dfade3faaab19e724,2024-10-28,-98100
bca-85fce16f636d84e1a071ef8bbe41ff0b,2025-02-02,87900
bca-23ed2ff8bc07fee489e505fe4f425c33,2025-01-19,45700
bca-e1206f697590eeb3aa946cad95ee9de3,2025-01-14,87300
bca-d2c8d11097c0fae2b16a4d464d0f7a9f,2025-01-28,88200
bca-72b95246db08475da55657642428f593,2025-02-01,82700
bca-a424e0a1b94d3494081568b5836d891a,2025-01-30,99900
bca-24f1f8e684e3dc3462a0a6c380048f23,2025-01-23,95300
