UniqueIdentifier,Date,Amount
danamon-e2e951ecb04a704774eb6475e71b893a,2024-12-14,90900
danamon-87bc54bf5339cf0c416535cd576f4549,2024-12-19,7000
danamon-a911bfea8020155159b6845d2c58acea,2024-12-15,93600
danamon-4ab170dca3101fe818b0fdd2eb5ffc8e,2024-12-14,51900
danamon-4c2bc7c3427ab5c13ae6bba8cab65dfc,2024-12-19,98100
danamon-4fe09597f4548b3970705a8cf1d09440,2024-12-16,-20200
danamon-cf06511d5b7185348dcdd56851805095,2024-12-15,-51300
danamon-54586641ab840c3db4025fa0997404f6,2024-12-11,2800
danamon-ed7add40ed5693b00cb6ba6a0b992b8a,2024-12-12,38400
danamon-cd24e8ce3c8f809ebfd31e4efca3840c,2024-12-11,-82100
danamon-9f4fe6ca43e669af35e56d47ae90422a,2024-12-13,78400
danamon-7cdefba374d48a2fc04b9094906d98cc,2024-12-14,96500
danamon-bfb8f1786c3c18f987b4886e86655ccc,2024-12-11,69400
danamon-aa6d62af5ccf5676e6cf34a13cf75347,2024-12-18,65100
danamon-761e1f88f4a58eb8138e4975d8bcff6f,2024-12-17,39600
danamon-c3696bf823b9197b5c4e4baa5f295268,2024-12-12,92400
danamon-67f5136553f2b3456a19bedc531e9c3c,2024-12-13,7000
danamon-c076421f54952ede06e76e477a430e6e,2024-12-19,54600
danamon-19447bb9a1497c7723f958c2fdac87dd,2024-12-12,90300
danamon-02f08f3ff3c64046714ffd8f83e91684,2024-12-17,-40300
danamon-a5f0c5cf65ed6d7fbeadb81a8fb9f6db,2024-12-21,62700
danamon-ced4d30a4f41280c8c7c4588ecf42eb3,2024-12-13,-66100
danamon-d19e45b5d13c49007e7ec8dabcaf3acb,2024-12-11,19000
danamon-ef212094c04df7886878491b14d80c99,2024-12-17,46300
danamon-e0788fdc2ae37f8293ea4378319f2757,2024-12-20,33400
danamon-689321653f3c76be07f8a416423b91ad,2024-12-21,69900
danamon-7e5cfda84197a289b7e3e97a37186eff,2024-12-20,15700
danamon-b1cbf9270792bb6501149d730b2514a7,2024-12-15,57700
danamon-9e01e3db5a100e2bcfb61fdb09dc9e23,2024-12-13,21200
danamon-7ce4e4438944c4c790267093bd859e3c,2024-12-12,20600
danamon-abcda1ff1c876ac5dac54c53b42df054,2024-12-15,-81700
danamon-70ddd796a398b4cf529f9b6d8153e61b,2024-12-16,55000
danamon-fe3dd187cf58d0906f230dc94a26e959,2024-12-21,19900
danamon-79b381009e93e5c3ba0d6360a4259e5c,2024-12-19,75000
danamon-b39f1032dd18e22d265d9fce21112ed7,2024-12-14,83400
danamon-a0fd8c8ee519645797aaca12bc065f65,2024-12-18,63000
danamon-31cec95b083d282267a48d34670f184e,2024-12-21,60800
