UniqueIdentifier,Date,Amount
danamon-04fee64bdf26db04d286f947ef8a3a7a,2024-12-01,-11400
danamon-8800ad02f97377125ea55ae7bf8c333e,2024-12-12,-72700
danamon-c36b46272150748634f867a68799ae18,2024-12-06,-28500
danamon-a701910040600b038ede7f2a10f3b89d,2024-12-08,27200
danamon-8417c67e0e38de8694a002c179e446d9,2024-12-03,25300
danamon-1fcc893c10b281fc885e1a0801bca05e,2024-12-12,58000
danamon-fd433df441ef19e454561e60086f9a58,2024-12-08,70000
danamon-fb873b14fef7d0c9ac1b1abeab45f424,2024-12-10,97900
danamon-c0c7784fdcd6e34b967d00ec90899e79,2024-12-07,90300
danamon-78e1997527bcec75aa37b647b2129559,2024-12-03,-16600
danamon-5e7beb7323c36e1bb7a24ebcebe9a49f,2024-12-12,50100
danamon-4202ae503b9ea41ef70a3e39ef5dfcd6,2024-12-11,-85700
danamon-5b53fc31e1beb51da811f64c5dcf5245,2024-12-02,46900
danamon-a1fc0c141b8299f1f56969b54afb3537,2024-12-09,8000
danamon-fe3cff23ed7b665def579a70bca126b5,2024-12-04,51400
danamon-3731572b086657859d54d290b51789ca,2024-12-15,-92200
danamon-e64d606c9e5a74eda7651bad67a6b04a,2024-12-09,50400
danamon-8856c84346381296ca0aba2af2d498ec,2024-12-14,58100
danamon-70cec88f4372819e542b3720cc957017,2024-12-14,-70000
danamon-4bec0b34add2179d157ab93eea68524d,2024-12-12,47100
danamon-05a632a1243c4b018086dc224b795321,2024-12-10,-16500
danamon-c3c3d2aeba89ea6c43a674a38de53675,2024-12-12,-80300
danamon-6abdd374a4326e0dde01cab132285fce,2024-12-04,9400
danamon-76cf115bfd2a80138c2179961a518b99,2024-12-09,24300
danamon-c8231ea0f74f79d964d3c3d3441b38c8,2024-12-08,-97900
danamon-92ed6a2fe2b11e047f4d65a8c07109ec,2024-12-01,67600
danamon-0fe7abc653a19f0fb4519e2b55290db1,2024-12-03,-79700
danamon-88b34d69e633407453a42726d32d8697,2024-12-11,90100
danamon-fcba82b3b4939066df4f326de970a09b,2024-12-06,98000
danamon-012ac065e4f9c9733d2436336e9c81fb,2024-12-06,60500
danamon-d8201a93922435654d21e56d170dc2bc,2024-12-10,-73000
danamon-c22887b19cdf0a79ad85f5e0e3c3afdb,2024-12-11,-84200
danamon-3a0ed1692b86a942e035ace52b1b5c73,2024-12-06,34300
danamon-15c1a556897bab61689b87b5845c3edd,2024-12-03,95100
danamon-9d5533d5a4f946041da805943241f11d,2024-12-01,-30000
