UniqueIdentifier,Date,Amount
danamon-c1d6734d04fa805c9898595761bf19ad,2024-12-31,24700
danamon-9bd228fcfedac65f7a6716c93d1b2c7a,2024-11-26,40200
danamon-7b086ec14d39f018f79ffe101452b90c,2024-11-27,84500
danamon-84029cc588812f14dda03b94e7ad8ec0,2025-02-06,43100
danamon-450e2f8c3c094eff60f3148799f02983,2025-01-25,-60600
danamon-e2b3e0f01032923c14858919567dec2d,2025-01-29,1100
danamon-d1dbd0c33b8bc0bb80be66d3f64e03a3,2025-01-01,-86000
danamon-b733c1d3b48bf4ecb21838d1067233eb,2025-02-18,46300
danamon-2ef39d4e851e41fd62588d364056248c,2024-11-21,4300
danamon-b68d779d671680a7604532c07d4604fc,2024-12-25,88800
danamon-b1ef9526dc8310dbc9a03957ae4903f6,2025-01-27,31500
danamon-79a570eb3da08390c6ef550d34be6350,2025-01-21,5400
danamon-d414df167e73cb73e61445ddb52acaec,2024-11-29,-50400
danamon-cc91f00f6db866fd30a52bdaeb7b5dfa,2024-12-27,-24400
danamon-7c1e00fc8e5024a89ab97d48af877688,2025-01-31,-69400
danamon-2a1f5a46bbbfb229cbe9407d30bda123,2025-02-13,75300
danamon-c6b76e7ffb8c06aa8ae8fa338fdc5cea,2025-01-22,97700
danamon-19a2e0fd06d32279d8ff720e29d9b069,2025-01-01,86600
danamon-cd466366639cb73871dec90cc614e03a,2024-10-27,-95900
danamon-30e562b19494e403048f39947c006197,2025-01-18,21800
danamon-395254c3eafaf4fb37bb05cf1b59f564,2024-11-04,-26900
danamon-d583d7b6fd88520689501af0984ed40d,2025-02-01,3300
danamon-9a94304a996864e10cb17c34454af0d0,2024-11-30,55700
danamon-67ef68715cbc4b2fd92b5cd4bbcc9ad3,2024-12-23,68900
danamon-035471dbdcd387264a5d74c883efe663,2025-01-06,31800
danamon-7463fafa7910874dcbc788e01f88f0bb,2024-11-26,-86700
danamon-756267320c165570542bf692c1521f4d,2025-01-28,3000
