UniqueIdentifier,Date,Amount
danamon-35ea558b75014c03162bd8cdf78c5886,2024-12-01,-31900
danamon-4a0380538d46c1f2ea816a6ae1edad8b,2024-12-01,-41400
danamon-2252e594af1fb5b4a4d1f0dfe1567b4f,2024-12-01,50800
danamon-5476fdd97bbd89df179b5c9f49b0a248,2024-12-01,13600
danamon-497aee683d29fd0a3cfff316b58f4891,2024-12-01,38200
danamon-cf3b398445ef2ff8221914907e1fe4eb,2024-12-01,-10800
danamon-f230ae73ad5fe8607ffd32a4112b617a,2024-12-01,79100
danamon-0a1734ec5172eef6a9cb5ea1551fda62,2024-12-01,27300
danamon-b0fb010599c79f66d8111f1a8ed6552c,2024-12-01,68300
danamon-cee0b5afecc79e96ae30dcc7901bd75b,2024-12-01,-77700
danamon-bd9d3229fb8bea9ed6772e93bd90df9f,2024-12-01,60800
danamon-0451b90e93a922a4fdcd33db5fc84425,2024-12-01,47300
danamon-c805c5276040c3d8e319bfe07256d4d5,2024-12-01,-67000
danamon-d71edd9f595a3b2d03b3564fdf7b3ae9,2024-12-01,74100
danamon-518e646302fcd28097db9603deb73f59,2024-12-01,-42500
danamon-103c07b2b364754569db3da6f75f8449,2024-12-01,86800
danamon-20711c875da6af2536646d4d14eea8fb,2024-12-01,44700
danamon-96abbb6094e9fef99d6083c9c62bcec4,2024-12-01,34500
danamon-ffcd959a1ade170abc2868981c6fc123,2024-12-01,76900
danamon-59ebb71233f4863f5e275e75c71c7040,2024-12-01,22300
danamon-aa97a418af5f0e0ccaad9190207e55a8,2024-12-01,1400
danamon-c6b05b79ebb8c6afcd15f7c8f1628dee,2024-12-01,67200
danamon-a56a2b45c647142cb630e8cd0fc4a91d,2024-12-01,-29300
danamon-aab9d695142113b9768705f620358c50,2024-12-01,58800
danamon-b96e31f710fcd3dad58cd3b4be1b176d,2024-12-01,67100
danamon-5c6bd05d6fa4c90cfeccf1d57e9faf35,2024-12-01,21700
danamon-ddd01162a3afbda244f345792e05de72,2024-12-01,64300
danamon-921255695604843a1121c9a0be21edf0,2024-12-01,24100
danamon-7f6986938e50d950e11d9e55cfe7d9f8,2024-12-01,59900
danamon-52e84e8ac1e4e7da9f1067c498976797,2024-12-01,-95100
danamon-31a59530a33ce5758ec36656b8ff18d7,2024-12-01,20100
danamon-e77304d7a0aaa995277495e9482d42ec,2024-12-01,76900
danamon-515e845658f100ebab21c00cffb1c654,2024-12-01,75800
danamon-4c14c985f4330b4e08c63025a665a017,2024-12-01,91100
danamon-2872784f4e3359bcfd6a9424bd54f02a,2024-12-01,77600
danamon-0670a7c8a0908d86f34ffcad3b1b18de,2024-12-01,81600
danamon-5012dbce70595164033ef16421513504,2024-12-01,53900
danamon-d478846f50798f93fdb89549d9994249,2024-12-01,90100
danamon-c6542325245daf638173fefa26b2aac9,2024-12-01,11600
danamon-b642328389206b4f45172353bcd80280,2024-12-01,25500
danamon-9872a82fa985b416b7344c18d62537b0,2024-12-01,82900
danamon-54de7b5c5448d0a6aacae19401e190e1,2024-12-01,6100
danamon-44b456c804d975b1ec9d24b59fbcdfee,2024-12-01,70400
danamon-a384341e92183396a752333903ea1878,2024-12-01,19900
danamon-ec2cdb3056c881c8035c9eff0484bd68,2024-12-01,59600
danamon-134ad23d21b3b1a5ae509b05062ff8e6,2024-12-01,63000
danamon-93cd2d79b60d379222bcdac49a1bf783,2024-12-01,49000
danamon-e6160a2aa05c3fe0ef9024c729916e82,2024-12-01,34700
danamon-14215d709d6a1bece8e4f3395543b711,2024-12-01,20400
