UniqueIdentifier,Date,Amount
danamon-4a56083d18f9029a8690299ef2897622,2024-09-10,79900
danamon-b3758058435e4d4608dfe6ab69ea3c11,2024-09-21,75800
danamon-f11f0a2529e29392c4016868052c8e87,2024-08-30,53300
danamon-fcedb4dcf5c7f15a237a7ca6daf03322,2024-10-09,72700
danamon-48fbb268459dc61059cee94e1db54530,2024-11-11,78300
danamon-46382681427f7109cc9d2ca44ff8aa31,2024-09-17,-10400
danamon-67ec0f149440f47a628dabe6aeaa2009,2024-10-06,93300
danamon-aef69d2cf4953f086f4c0e89722bda0e,2024-11-24,-39900
danamon-143512d9dd24573044d0dec2a4418e32,2024-08-29,-58200
danamon-2275b88dcc944deeea25903d6dcd9d42,2024-11-07,10100
danamon-a0906346b84c04a7ae1ba0c6fef658da,2024-08-21,3000
danamon-a0edc97b75a5e06808182533a2098a5e,2024-11-09,61500
danamon-5e4f08704ede25a912546d17cd9112b5,2024-09-14,73100
danamon-6a82e668cbcaaa604badf161030cea5e,2024-11-10,-85400
danamon-68ebf6a7b4aee20abfcaac12d53a0065,2024-09-16,-61000
danamon-01c90a1e37f46dfa03d6188355720d8d,2024-10-30,54600
danamon-e273f37971e1f7e1b53143c64cba3915,2024-10-14,95500
danamon-e1f1a60e3af4dd43ae255bc5503a53db,2024-08-26,36600
danamon-3c200ad43a64b841cd1db89e0f544ad3,2024-12-10,-17000
danamon-d3838a215989f3612dec0ad43a1c5e49,2024-09-04,-46200
danamon-1fe1b87407edf3330ca4b31e5270f890,2024-09-01,5100
danamon-c6769d25d42311973f0888fb2e0740b1,2024-08-16,76100
danamon-5e27aec1fe79ebd03301e4b31ff90937,2024-09-19,80100
danamon-72dcc94dc536d49294dee245d4ad468b,2024-10-15,56000
danamon-a7c93acd8f2ffd5a2c73078e3eb0c90f,2024-09-12,39200
danamon-82bde64a3318fd43fb41d1b49446b164,2024-11-04,85700
danamon-7fce8702cdf4cd77fccf8d6c8445f8bf,2024-12-12,72100
danamon-80944232d75cf38e16317ac52cb333c1,2024-10-03,51500
danamon-e9342414b1bfcfb35d28c1c947807bcc,2024-09-16,45600
danamon-c113ebb1cd179426b4e1a796851da432,2024-09-02,93200
danamon-e260d12dc28b7331b75911a794022091,2024-09-22,34900
danamon-340746013643923756beb02ba368b4e0,2024-09-20,-18600
danamon-c48672f60a44034b4122f9a1c7706c16,2024-10-25,58500
danamon-a205ba618a104758aa7e9cc60a8088c3,2024-09-23,93100
danamon-21fcb137a8470ebe937fdc3145139a2c,2024-09-04,45600
danamon-466651ca55766313eab8ed80b7ab8a95,2024-08-22,55300
danamon-360f9bc4ee4552a565212c8a71be4b5e,2024-10-03,46600
danamon-5c9976fe92c56cae1dd9e1c0e31a5058,2024-11-15,98800
danamon-a1ddbfb5abbb3efb2ef92bfc504541ea,2024-08-23,33400
danamon-b3d89bf988faf746c6fda4ccf95d8392,2024-12-06,21600
danamon-04d324cf4b3d46bb3e01c737109ff010,2024-11-04,-4100
danamon-1ed88c905192439656dd3e8750f74726,2024-11-19,87300
danamon-4246db15d12c336d7959e5d8009b90df,2024-09-15,6400
danamon-26cd6ac842e76f65158f230b3c0f52e7,2024-09-16,81100
danamon-25a2a48635bf3e814b75cfac46b997e6,2024-09-17,39200
danamon-736a3d4575db8533212bd37a5ff657c2,2024-11-09,27400
danamon-0c3aebb987211a774c25062c00e07ca7,2024-10-21,-28400
danamon-7132997f2f2b4c96ade11b264f4baf56,2024-11-21,65100
danamon-8e81b3be26c4b3b38b1e5764e823db00,2024-10-05,1600
danamon-899e6face8ee7aa30e663eb84003f0b1,2024-11-22,21900
danamon-b286d5985b1efafc3faaf216eb3f7c74,2024-10-27,-40000
danamon-b9e7498a8f6a58f3bdb8634225db1673,2024-11-13,-20800
danamon-d0ef976f4167294e66aa5e2b5d998075,2024-12-07,59100
danamon-e1a46369f40e14662e7a4c135403ffaa,2024-09-24,-35200
danamon-dab14797126509efce890d76ad35f3f4,2024-10-30,48700
danamon-a25e37011c54bebe8725f33596ff3026,2024-08-16,38600
danamon-ac71c76159fc1928385c81fd5d37f0f2,2024-08-31,1900
danamon-5824f71d43a4fa28e324170ebd528677,2024-09-07,51100
danamon-f5382fcd7bd1bc91e92c22435cab8a49,2024-12-07,45800
danamon-4475db19d8d6f46464e58cd8cbdb5c2b,2024-10-09,48600
danamon-9ce0a4b010216f8c18caa32e56e4f2a4,2024-08-16,68600
danamon-71e8671e89d52261ef7392584deba8fe,2024-09-12,16900
danamon-6d60313fd9940bf51d8362c28afe5fb3,2024-11-15,-44500
danamon-8512de2b1de596e7ce12d75796522d73,2024-11-03,48700
danamon-d45ee80cf6382f41c3327fbcec801edd,2024-09-14,-47700
danamon-8c196fc1b879309f168851da4c189324,2024-09-16,14400
danamon-9042a92f127002a83754daedc80c247a,2024-10-19,-53600
danamon-7558cd60f23d9c162fb77b48fae21fe5,2024-08-30,35500
danamon-0d69a75959c7deaa10406a91d7acda4a,2024-09-05,99200
danamon-2df5ad30ef931ffc592e134bbef3764e,2024-11-10,-62200
danamon-9745439d74bdbef0b63804f61e99d3d0,2024-10-21,90600
danamon-d1de191ef03df56e24fd21f24d414d6b,2024-08-14,2300
danamon-52949fd3eb22d523aff481008611cf5a,2024-09-17,64600
danamon-b82e13ffaefd93e39054bbe1ca86ad52,2024-09-12,31000
danamon-cfd40b84cd06f075d9beae7555a50797,2024-10-14,8900
danamon-04d5116dc2253ab8bf3b6f4a6ddf5c81,2024-11-23,40700
danamon-578c8d34b3b54f9b5a5b5aff7ccc0687,2024-09-22,12200
danamon-b8373ae9372990e780bb2713b17153a4,2024-08-23,96600
danamon-3fb80e039b25f887f94783fce61a4cdb,2024-09-13,31000
danamon-3fa092c2e2c54caabb5c7a70610d9bac,2024-11-25,79300
danamon-4619d59ec05d7bb45cf9e0dca908d5da,2024-08-20,71000
danamon-cad85459721c6333c4cdf228c347c748,2024-11-03,33400
danamon-eb64eb8d6ee00cba96196b8ae55073b2,2024-10-16,8200
danamon-8c5a9a4fccc411957edf59d9445d7ad8,2024-10-24,-27800
danamon-638717bd436a00210421feaffd048fa7,2024-10-18,34100
danamon-9b0ac2d7254ee2b210c78c3caf790bdf,2024-08-25,-64300
danamon-46fe2eb889f1767e52da19efa1e396ec,2024-12-11,75200
danamon-12b21454d5a11e23c3de0ac64b7deb9f,2024-10-23,-26100
danamon-2115cd5d7c662d059592332e9d7ac6b0,2024-11-25,68400
danamon-4889e3e54b5053bde66c62752e47bfa6,2024-09-05,52800
danamon-3ad9b0740b7aab0c79085de38c18e133,2024-10-25,33500
danamon-0aea6be72b3125b10b60d0a6ac6b88b9,2024-09-28,22800
danamon-61c0b790f4e640627b82a93b27498587,2024-11-24,62800
danamon-8263b4960fbfb5619a7e763829b8a76b,2024-09-09,57000
danamon-9637621a0c662089a86763bb96961a53,2024-09-23,13000
danamon-a4edb2b600df4bbabd6fa062ab38b708,2024-08-26,7700
danamon-21f8e5e9c106b7617032d91cae8efa31,2024-12-05,-78900
danamon-b71a3ae248899d0a2e3c8b25bfd78c8a,2024-09-04,58500
danamon-a914ac5f0406dfc79743eec7b0972657,2024-09-04,23600
danamon-7e841498c0ee109b88ed692db6e71176,2024-11-23,13100
danamon-4fc09207fa7ff83b68844489feee2f8d,2024-08-14,39300
